"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
70,0,2019544,"520110","2"
44,0,2166714,"520110","2"
73,0,2033694,"520110","2"
39,0,2020834,"520110","2"
45,0,2041384,"520110","2"
75,0,2041254,"520110","2"
77,0,2041254,"520110","2"
53,1,2171223,"520110","2"
34,0,2182483,"520110","2"
87,1,2187603,"520110","2"
44,0,2189353,"520110","2"
55,0,2172293,"520110","2"
58,0,2178083,"520110","2"
42,0,2194383,"520110","2"
42,0,2187153,"520110","2"
37,0,2183093,"520110","2"
35,0,2203812,"520110","2"
56,2,2200322,"520110","2"
94,0,2196335,"520110","2"
53,0,2222522,"520110","2"
95,0,2210662,"520110","2"
54,0,2210192,"520110","2"
51,0,2198652,"520110","2"
52,0,2198652,"520110","2"
63,0,2226704,"520110","2"
78,0,2002195,"520110","2"
81,0,2002195,"520110","2"
46,0,2027484,"520110","2"
65,0,2024084,"520110","2"
55,0,2038714,"520110","2"
69,0,2022314,"520110","2"
63,0,2026914,"520110","2"
81,0,2182223,"520110","2"
42,0,2190733,"520110","2"
50,0,2215652,"520110","2"
56,0,2215122,"520110","2"
91,0,2219725,"520110","2"
62,0,2204092,"520110","2"
63,0,2204092,"520110","2"
64,0,2204092,"520110","2"
63,0,2214092,"520110","2"
57,0,2004995,"520110","2"
50,0,2013775,"520110","2"
44,0,2019715,"520110","2"
62,0,2195195,"520110","2"
56,0,2025764,"520110","2"
58,0,2035444,"520110","2"
50,0,2030074,"520110","2"
48,0,2040314,"520110","2"
36,0,2022204,"520110","2"
35,0,2020574,"520110","2"
42,0,2032924,"520110","2"
55,0,2177623,"520110","2"
56,0,2172853,"520110","2"
39,0,2175813,"520110","2"
54,0,2180993,"520110","2"
35,0,2175294,"520110","2"
72,0,2208412,"520110","2"
55,2,2198962,"520110","2"
103,0,2210432,"520110","2"
85,0,2014765,"520110","2"
93,0,2004955,"520110","2"
57,0,2010285,"520110","2"
43,0,2006365,"520110","2"
49,0,2025304,"520110","2"
63,0,2027334,"520110","2"
63,0,2027254,"520110","2"
21,0,2227604,"520110","2"
55,0,2031744,"520110","2"
73,0,2023914,"520110","2"
74,0,2023914,"520110","2"
61,0,2021014,"520110","2"
67,0,2019454,"520110","2"
84,0,2171973,"520110","2"
43,0,2039415,"520110","2"
53,0,2187723,"520110","2"
65,0,2183203,"520110","2"
78,0,2176743,"520110","2"
79,0,2189053,"520110","2"
39,0,2210032,"520110","2"
73,0,2206842,"520110","2"
38,0,2202833,"520110","2"
69,0,2222602,"520110","2"
46,0,2227083,"520110","2"
135,1,2001415,"520110","2"
54,0,2017475,"520110","2"
57,0,2017535,"520110","2"
58,0,2017535,"520110","2"
45,0,2001455,"520110","2"
85,0,1997045,"520110","2"
37,0,2039994,"520110","2"
68,0,2021034,"520110","2"
61,0,2032834,"520110","2"
79,0,2170063,"520110","2"
67,0,2175393,"520110","2"
62,0,2201042,"520110","2"
52,1,2209012,"520110","2"
50,0,2210972,"520110","2"
53,0,2226673,"520110","2"
