"SEQNO","ALCNO","NEWID","UCC","PUBFLAG"
59,0,2208774,"520110","2"
48,0,2211574,"520110","2"
66,0,2210884,"520110","2"
59,0,2213064,"520110","2"
61,0,2198754,"520110","2"
50,0,2210224,"520110","2"
48,0,2210364,"520110","2"
39,0,2218944,"520110","2"
82,0,2203734,"520110","2"
57,0,2203574,"520110","2"
58,0,2203574,"520110","2"
93,0,2198634,"520110","2"
32,0,2281144,"520110","2"
38,0,2223264,"520110","2"
25,0,2211854,"520110","2"
45,0,2222834,"520110","2"
46,0,2222834,"520110","2"
63,0,2243293,"520110","2"
64,0,2243293,"520110","2"
27,0,2232873,"520110","2"
28,0,2232873,"520110","2"
87,0,2246243,"520110","2"
74,0,2231143,"520110","2"
52,0,2230423,"520110","2"
60,0,2247933,"520110","2"
61,0,2247933,"520110","2"
43,0,2248283,"520110","2"
94,0,2232933,"520110","2"
63,0,2249313,"520110","2"
64,0,2249313,"520110","2"
56,0,2240293,"520110","2"
54,0,2278893,"520110","2"
40,0,2278623,"520110","2"
41,0,2278623,"520110","2"
62,0,2275933,"520110","2"
60,0,2264403,"520110","2"
38,0,2264003,"520110","2"
35,0,2269613,"520110","2"
45,0,2263103,"520110","2"
44,0,2284743,"520110","2"
49,0,2281113,"520110","2"
50,0,2281113,"520110","2"
23,0,2289783,"520110","2"
73,0,2290693,"520110","2"
84,0,2251052,"520110","2"
85,0,2251052,"520110","2"
57,0,2237442,"520110","2"
58,0,2237442,"520110","2"
33,0,2237982,"520110","2"
105,0,2231612,"520110","2"
106,0,2231612,"520110","2"
68,0,2228962,"520110","2"
78,0,2236262,"520110","2"
71,0,2239462,"520110","2"
45,0,2279272,"520110","2"
46,0,2279272,"520110","2"
52,0,2262612,"520110","2"
53,0,2262612,"520110","2"
32,0,2260782,"520110","2"
55,0,2272832,"520110","2"
51,0,2275322,"520110","2"
52,0,2275322,"520110","2"
36,0,2262672,"520110","2"
37,0,2262672,"520110","2"
73,0,2261382,"520110","2"
65,0,2277762,"520110","2"
52,0,2281442,"520110","2"
53,0,2281442,"520110","2"
33,0,2286632,"520110","2"
42,0,2298852,"520110","2"
43,0,2291392,"520110","2"
78,0,2288402,"520110","2"
41,0,2289542,"520110","2"
41,0,2310004,"520110","2"
42,0,2310004,"520110","2"
34,0,2338145,"520110","2"
35,0,2338145,"520110","2"
57,0,2193305,"520110","2"
58,1,2193305,"520110","2"
118,0,2175915,"520110","2"
61,0,2176645,"520110","2"
45,0,2179255,"520110","2"
60,0,2187075,"520110","2"
65,0,2178615,"520110","2"
37,0,2182135,"520110","2"
68,0,2187605,"520110","2"
48,0,2189355,"520110","2"
40,0,2179295,"520110","2"
39,0,2179735,"520110","2"
52,0,2199904,"520110","2"
83,0,2199274,"520110","2"
84,0,2199274,"520110","2"
85,0,2199274,"520110","2"
41,0,2198954,"520110","2"
64,0,2199194,"520110","2"
59,0,2222524,"520110","2"
50,0,2198394,"520110","2"
48,0,2213634,"520110","2"
61,0,2232693,"520110","2"
38,0,2230803,"520110","2"
75,0,2228373,"520110","2"
38,0,2242823,"520110","2"
54,1,2233393,"520110","2"
31,2,2233043,"520110","2"
67,0,2272183,"520110","2"
45,0,2279553,"520110","2"
59,0,2274483,"520110","2"
47,0,2291193,"520110","2"
70,0,2286973,"520110","2"
37,0,2298373,"520110","2"
38,1,2298373,"520110","2"
68,0,2240572,"520110","2"
69,0,2240572,"520110","2"
27,0,2243242,"520110","2"
67,0,2255202,"520110","2"
92,0,2265342,"520110","2"
94,1,2265342,"520110","2"
36,0,2281642,"520110","2"
47,0,2283982,"520110","2"
57,0,2290302,"520110","2"
78,0,2284042,"520110","2"
63,0,2181555,"520110","2"
64,0,2177525,"520110","2"
40,0,2175105,"520110","2"
61,2,2202624,"520110","2"
51,0,2215654,"520110","2"
43,0,2210954,"520110","2"
44,0,2210954,"520110","2"
64,0,2215124,"520110","2"
71,0,2219254,"520110","2"
55,0,2208794,"520110","2"
56,0,2208794,"520110","2"
58,1,2208794,"520110","2"
72,0,2202334,"520110","2"
66,0,2204094,"520110","2"
58,0,2236463,"520110","2"
79,0,2277783,"520110","2"
59,0,2270693,"520110","2"
50,0,2267593,"520110","2"
29,0,2255543,"520110","2"
30,0,2287313,"520110","2"
46,0,2306283,"520110","2"
81,0,2277982,"520110","2"
42,0,2254642,"520110","2"
66,0,2291022,"520110","2"
28,0,2309445,"520110","2"
38,0,2169655,"520110","2"
71,0,2179375,"520110","2"
60,0,2193505,"520110","2"
96,0,2173695,"520110","2"
97,0,2173695,"520110","2"
98,0,2173695,"520110","2"
33,0,2241894,"520110","2"
108,0,2210434,"520110","2"
109,0,2210434,"520110","2"
46,0,2232853,"520110","2"
71,0,2233753,"520110","2"
47,0,2294603,"520110","2"
48,0,2266852,"520110","2"
49,0,2266852,"520110","2"
50,0,2266852,"520110","2"
36,0,2259342,"520110","2"
56,0,2306222,"520110","2"
36,0,2288912,"520110","2"
42,2,2302072,"520110","2"
92,0,2193205,"520110","2"
116,0,2176225,"520110","2"
67,0,2183205,"520110","2"
58,0,2169925,"520110","2"
80,0,2176745,"520110","2"
72,0,2189885,"520110","2"
67,0,2173355,"520110","2"
84,0,2189055,"520110","2"
109,0,2176815,"520110","2"
76,0,2206844,"520110","2"
54,0,2198364,"520110","2"
45,0,2202835,"520110","2"
94,0,2215714,"520110","2"
65,0,2207874,"520110","2"
55,0,2230283,"520110","2"
78,0,2238193,"520110","2"
47,0,2252263,"520110","2"
81,0,2267773,"520110","2"
55,0,2259213,"520110","2"
69,0,2300323,"520110","2"
55,0,2287733,"520110","2"
56,0,2287733,"520110","2"
81,0,2288263,"520110","2"
33,0,2250622,"520110","2"
44,0,2274472,"520110","2"
44,0,2271335,"520110","2"
45,0,2271335,"520110","2"
41,0,2307382,"520110","2"
59,0,2286435,"520110","2"
68,0,2281772,"520110","2"
76,0,2192285,"520110","2"
70,0,2215484,"520110","2"
92,0,2210704,"520110","2"
108,0,2204464,"520110","2"
56,0,2219474,"520110","2"
64,0,2199114,"520110","2"
46,0,2246943,"520110","2"
81,0,2241713,"520110","2"
49,0,2250853,"520110","2"
94,0,2231013,"520110","2"
85,0,2258113,"520110","2"
75,0,2262413,"520110","2"
82,0,2285703,"520110","2"
105,0,2252922,"520110","2"
55,0,2235262,"520110","2"
44,0,2259552,"520110","2"
46,0,2285233,"520110","2"
60,0,2186675,"520110","2"
32,0,2237164,"520110","2"
52,0,2200644,"520110","2"
42,0,2236183,"520110","2"
43,0,2236183,"520110","2"
32,0,2293003,"520110","2"
48,0,2265692,"520110","2"
50,0,2284912,"520110","2"
79,0,2179685,"520110","2"
80,0,2179685,"520110","2"
54,0,2173295,"520110","2"
67,0,2192065,"520110","2"
56,0,2190295,"520110","2"
57,0,2190295,"520110","2"
62,0,2185475,"520110","2"
54,0,2176335,"520110","2"
49,0,2181805,"520110","2"
85,0,2186155,"520110","2"
69,0,2170575,"520110","2"
62,0,2182835,"520110","2"
68,0,2192105,"520110","2"
65,0,2179175,"520110","2"
54,0,2177975,"520110","2"
44,0,2204144,"520110","2"
48,0,2208724,"520110","2"
35,0,2205804,"520110","2"
60,0,2213544,"520110","2"
55,0,2209964,"520110","2"
46,0,2210354,"520110","2"
55,0,2202064,"520110","2"
54,0,2212954,"520110","2"
32,0,2200904,"520110","2"
38,0,2216374,"520110","2"
123,1,2216254,"520110","2"
64,0,2214424,"520110","2"
45,1,2238233,"520110","2"
38,0,2242353,"520110","2"
49,0,2243773,"520110","2"
49,0,2238203,"520110","2"
31,0,2248453,"520110","2"
52,0,2246403,"520110","2"
49,0,2271323,"520110","2"
58,0,2257003,"520110","2"
63,0,2282593,"520110","2"
77,0,2305643,"520110","2"
76,0,2230322,"520110","2"
45,0,2246972,"520110","2"
88,0,2234992,"520110","2"
55,0,2228242,"520110","2"
37,0,2231162,"520110","2"
58,0,2278812,"520110","2"
65,0,2257492,"520110","2"
90,0,2260572,"520110","2"
95,0,2273772,"520110","2"
42,0,2267022,"520110","2"
69,0,2294832,"520110","2"
64,0,2308062,"520110","2"
42,0,2298042,"520110","2"
35,0,2283212,"520110","2"
38,0,2289752,"520110","2"
24,0,2328095,"520110","2"
43,2,2336074,"520110","2"
75,0,2189785,"520110","2"
76,0,2189785,"520110","2"
60,0,2187965,"520110","2"
47,0,2171995,"520110","2"
100,0,2220174,"520110","2"
101,0,2220174,"520110","2"
66,0,2209894,"520110","2"
67,0,2209894,"520110","2"
43,0,2214684,"520110","2"
79,0,2225694,"520110","2"
84,0,2229913,"520110","2"
85,0,2229913,"520110","2"
55,0,2248943,"520110","2"
55,0,2252313,"520110","2"
71,0,2266273,"520110","2"
33,0,2261543,"520110","2"
46,0,2289913,"520110","2"
47,0,2288963,"520110","2"
46,0,2247492,"520110","2"
49,1,2235054,"520110","2"
53,1,2233232,"520110","2"
52,0,2286592,"520110","2"
37,0,2291112,"520110","2"
58,0,2324513,"520110","2"
64,0,2176805,"520110","2"
61,0,2180805,"520110","2"
40,1,2182235,"520110","2"
49,0,2192345,"520110","2"
81,0,2178665,"520110","2"
36,0,2201294,"520110","2"
33,1,2217204,"520110","2"
33,2,2217204,"520110","2"
41,1,2262154,"520110","2"
89,0,2210404,"520110","2"
34,0,2228073,"520110","2"
42,0,2258773,"520110","2"
37,0,2273503,"520110","2"
67,0,2292503,"520110","2"
34,1,2284853,"520110","2"
34,2,2284853,"520110","2"
48,0,2242562,"520110","2"
57,0,2294022,"520110","2"
42,0,2202285,"520110","2"
38,0,2202314,"520110","2"
48,0,2205624,"520110","2"
33,0,2206604,"520110","2"
37,0,2231543,"520110","2"
55,0,2243203,"520110","2"
52,0,2272503,"520110","2"
33,0,2254513,"520110","2"
39,0,2272963,"520110","2"
37,0,2300583,"520110","2"
38,0,2300583,"520110","2"
48,0,2250112,"520110","2"
32,0,2256712,"520110","2"
49,0,2269705,"520110","2"
28,0,2273722,"520110","2"
79,0,2295312,"520110","2"
39,0,2301522,"520110","2"
49,0,2183805,"520110","2"
43,0,2188725,"520110","2"
45,0,2209054,"520110","2"
50,0,2210744,"520110","2"
66,0,2224934,"520110","2"
62,0,2238813,"520110","2"
65,0,2271363,"520110","2"
50,0,2271373,"520110","2"
65,0,2271152,"520110","2"
66,0,2271152,"520110","2"
53,0,2256902,"520110","2"
50,0,2293092,"520110","2"
60,0,2295742,"520110","2"
35,0,2191355,"520110","2"
68,0,2172545,"520110","2"
76,0,2179475,"520110","2"
69,0,2186005,"520110","2"
56,0,2176535,"520110","2"
43,0,2187455,"520110","2"
44,0,2187455,"520110","2"
56,0,2173845,"520110","2"
51,0,2182285,"520110","2"
47,0,2172975,"520110","2"
43,0,2169545,"520110","2"
64,0,2173945,"520110","2"
62,0,2187865,"520110","2"
62,0,2169105,"520110","2"
62,0,2189995,"520110","2"
30,0,2195335,"520110","2"
100,0,2188785,"520110","2"
102,0,2188785,"520110","2"
33,0,2181095,"520110","2"
34,0,2181095,"520110","2"
84,0,2187475,"520110","2"
85,0,2187475,"520110","2"
50,0,2170135,"520110","2"
65,0,2169845,"520110","2"
29,0,2194875,"520110","2"
84,0,2220224,"520110","2"
34,0,2209744,"520110","2"
39,0,2219774,"520110","2"
40,0,2219774,"520110","2"
78,2,2201944,"520110","2"
47,0,2204274,"520110","2"
46,0,2214214,"520110","2"
47,0,2214214,"520110","2"
76,0,2216704,"520110","2"
64,0,2209714,"520110","2"
65,0,2209714,"520110","2"
48,0,2208094,"520110","2"
64,0,2204564,"520110","2"
65,0,2204564,"520110","2"
31,0,2208044,"520110","2"
48,0,2223824,"520110","2"
90,0,2201864,"520110","2"
30,0,2212184,"520110","2"
56,0,2201344,"520110","2"
55,0,2206614,"520110","2"
31,0,2218954,"520110","2"
32,0,2218954,"520110","2"
40,0,2230163,"520110","2"
43,0,2241133,"520110","2"
44,0,2241133,"520110","2"
35,0,2228793,"520110","2"
60,0,2234373,"520110","2"
