"NEWID","MEMBNO","PYMT2009","HWUSED09","QSTIMPYX","PYMT_009","HWUS_D09","QSTI_PYX"
2010683,1,"1","2",250,"D","D","D"
2010683,2,"1","2",250,"D","D","D"
1998013,1,"1","1",250,"D","D","D"
2011193,1,"1","2",250,"D","D","D"
2011193,2,"1","2",250,"D","D","D"
2002953,2,"2",,.,"D","A","A"
2003453,1,"1","3",250,"D","D","D"
1996243,1,"2",,.,"D","A","A"
2005843,1,"1","1",250,"D","D","D"
2015053,1,"1","3",250,"D","D","D"
2015053,2,"1","3",250,"D","D","D"
2009553,2,"1","1",250,"D","D","D"
2014923,2,"1","2",250,"D","D","D"
2000923,1,"1","2",250,"D","D","D"
2005474,1,"1","1",250,"D","D","D"
1979814,1,"1","2",250,"D","D","D"
1983214,1,"2",,.,"D","A","A"
1985994,1,"1","2",250,"D","D","D"
1975284,2,"1","2",250,"D","D","D"
1977574,1,,,.,"C","A","A"
1977574,2,,,.,"C","A","A"
1986814,1,"1","3",250,"D","D","D"
1978944,1,"1","2",250,"D","D","D"
2012804,1,"1","3",250,"D","D","D"
1980224,1,"1",,250,"D","C","D"
1973484,1,"1","3",250,"D","D","D"
1992374,3,"1","2",250,"D","D","D"
1973944,1,"1","3",250,"D","D","D"
1973944,2,"1","3",250,"D","D","D"
1982324,2,"1","1",250,"D","D","D"
1988054,1,"1","1",250,"D","D","D"
1988054,2,"1","1",250,"D","D","D"
1975984,1,"1","2",250,"D","D","D"
1988134,2,"1","2",250,"D","D","D"
1976524,1,"1",,250,"D","C","D"
1982974,1,"1","3",250,"D","D","D"
1982974,2,"2",,.,"D","A","A"
1985314,1,"2",,.,"D","A","A"
2008433,1,"1","2",250,"D","D","D"
2008433,2,"1","2",250,"D","D","D"
2002943,1,"1","3",250,"D","D","D"
2015433,1,"1","1",250,"D","D","D"
2011273,5,"2",,.,"D","A","A"
2009453,4,"2",,.,"D","A","A"
2007443,1,"1","2",250,"D","D","D"
1995883,1,"1","3",250,"D","D","D"
2016403,1,"2",,.,"D","A","A"
2016403,2,"2",,.,"D","A","A"
1999793,1,"1","1",250,"D","D","D"
1999793,2,"1","1",250,"D","D","D"
1999793,3,"1","2",250,"D","D","D"
1995773,2,"1","3",250,"D","D","D"
1999363,1,"2",,.,"D","A","A"
2000833,1,"1","1",250,"D","D","D"
2006593,1,"1","2",250,"D","D","D"
2013863,3,"1","2",250,"D","D","D"
2001383,1,"2",,.,"D","A","A"
2017263,2,"2",,.,"D","A","A"
2010383,1,"1","2",250,"D","D","D"
2004053,1,"1","1",250,"D","D","D"
1997223,1,"1","3",250,"D","D","D"
1983094,1,"1","1",250,"D","D","D"
1983094,2,"1","1",250,"D","D","D"
1981534,2,"1","2",250,"D","D","D"
1975434,1,"1","1",250,"D","D","D"
1975434,2,"1","1",250,"D","D","D"
1980724,1,"1","1",250,"D","D","D"
1983664,1,"2",,.,"D","A","A"
1982294,1,"1","1",250,"D","D","D"
1973724,1,"1","3",250,"D","D","D"
1977064,1,"1",,250,"D","C","D"
1977064,2,"1",,250,"D","C","D"
1993634,1,"1","2",250,"D","D","D"
1994654,1,"2",,.,"D","A","A"
1975934,1,,,.,"C","A","A"
1985854,1,"1","1",250,"D","D","D"
1981034,2,"1","1",250,"D","D","D"
1995793,1,"2",,.,"D","A","A"
2003583,2,"1","3",250,"D","D","D"
2012003,1,"1","3",250,"D","D","D"
1997923,1,"1","3",250,"D","D","D"
1997923,2,"1","3",250,"D","D","D"
1997403,1,"1","2",250,"D","D","D"
2001433,1,"1","3",250,"D","D","D"
2001433,2,"1","2",250,"D","D","D"
2011643,1,,,.,"C","A","A"
2011643,2,,,.,"C","A","A"
1996623,1,"2",,.,"D","A","A"
2010333,6,"1","3",250,"D","D","D"
2016533,2,"2",,.,"D","A","A"
2010863,1,"1","3",250,"D","D","D"
2010863,2,"1","1",250,"D","D","D"
2010163,1,"1","3",250,"D","D","D"
2006313,1,"2",,.,"D","A","A"
2007074,1,"1","3",250,"D","D","D"
1989844,1,"1","3",250,"D","D","D"
1977624,1,"1","3",250,"D","D","D"
1977624,2,"1","3",250,"D","D","D"
1981464,1,"1","3",250,"D","D","D"
1981464,2,"2",,.,"D","A","A"
1977384,1,"2",,.,"D","A","A"
2003903,1,"1","1",250,"D","D","D"
2007563,1,"1","2",250,"D","D","D"
2007563,2,"1","2",250,"D","D","D"
1997243,1,"1","1",250,"D","D","D"
1997243,2,"1","1",250,"D","D","D"
2010663,1,"1","2",250,"D","D","D"
