"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR1","CRED_TR1","CREDITX1","CRED_TX1"
"20081",1817745,20,0,"4","130","D",21000,"D"
"20081",1817745,21,0,"4","800","D",12000,"D"
"20081",1817755,22,0,"4","130","D",2000,"D"
"20081",1817755,23,0,"4","130","D",1500,"D"
"20081",1817805,22,0,"4","130","D",4000,"D"
"20081",1817885,19,0,"4","130","D",700,"D"
"20081",1817895,21,0,"4","130","D",2000,"D"
"20081",1817895,22,0,"4","130","D",1000,"D"
"20081",1817955,15,0,"4","120","D",700,"D"
"20081",1817955,16,0,"4","130","D",2500,"D"
"20081",1817995,17,0,"4","120","D",3000,"D"
"20081",1817995,18,0,"4","120","D",1300,"D"
"20081",1817995,19,0,"4","130","D",12000,"D"
"20081",1818015,18,0,"4","130","D",2000,"D"
"20081",1818025,20,0,"4","130","D",20000,"D"
"20081",1818025,21,0,"4","200","D",900,"D"
"20081",1818055,28,0,"4","130","D",5000,"D"
"20081",1818065,28,0,"4","700","D",900,"D"
"20081",1818205,24,0,"4","130","D",2000,"D"
"20081",1818205,25,0,"4","800","D",4200,"D"
"20081",1818255,17,0,"4","130","D",900,"D"
"20081",1818255,18,0,"4","130","D",300,"D"
"20081",1818285,21,0,"4","130","D",1000,"F"
"20081",1818315,28,0,"4","130","D",400,"D"
"20081",1818315,29,0,"4","130","D",200,"D"
"20081",1818315,30,0,"4","130","D",200,"D"
"20081",1818325,24,0,"4","130","D",2000,"D"
"20081",1818345,18,0,"4","120","D",50,"D"
"20081",1818345,19,0,"4","200","D",35,"D"
"20081",1818375,33,0,"4","130","D",7100,"D"
"20081",1818385,25,0,"4","120","D",800,"D"
"20081",1818385,26,0,"4","800","D",700,"D"
"20081",1818445,23,0,"4","510","D",6000,"D"
"20081",1818445,24,0,"4","800","D",32000,"D"
"20081",1818455,18,0,"4","110","D",125,"D"
"20081",1818455,19,0,"4","120","D",75,"D"
"20081",1818465,36,0,"4","110","D",800,"D"
"20081",1818465,37,0,"4","120","D",300,"D"
"20081",1818465,38,0,"4","120","D",161,"D"
"20081",1818465,39,0,"4","130","D",500,"D"
"20081",1818465,40,0,"4","510","D",9100,"D"
"20081",1818465,41,0,"4","800","D",6300,"D"
"20081",1818495,21,0,"4","130","D",60,"D"
"20081",1818545,17,0,"4","130","D",18000,"D"
"20081",1818595,25,0,"4","700","D",2000,"D"
"20081",1818595,26,0,"4","510","D",30000,"D"
"20081",1818605,19,0,"4","120","D",20,"D"
"20081",1818605,20,0,"4","130","D",1500,"D"
"20081",1818605,21,0,"4","130","D",1500,"D"
"20081",1818605,22,0,"4","800","D",18000,"D"
"20081",1818625,24,0,"4","120","D",75,"D"
"20081",1818625,25,0,"4","130","D",3000,"D"
"20081",1818665,16,0,"4","700","D",307,"D"
"20081",1818845,20,0,"4","120","D",100,"D"
"20081",1818955,17,0,"4","130","D",2000,"D"
"20081",1818975,18,0,"4","120","D",400,"D"
"20081",1818975,19,0,"4","130","D",16000,"D"
"20081",1818995,19,0,"4","130","D",14000,"D"
"20081",1819035,21,0,"4","120","D",200,"D"
