"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX"
"20081",1817705,58,0,"1","150","D","1","D",25,"D"
"20081",1817885,46,0,"1","150","D","1","D",22,"D"
"20081",1817885,47,0,"1","150","D","1","D",14,"D"
"20081",1817905,51,0,"1","150","D","1","D",16,"D"
"20081",1817945,39,0,"1","150","D","1","D",26,"D"
"20081",1818005,45,0,"1","150","D","1","D",45,"D"
"20081",1818005,46,0,"1","810","D","1","D",100,"D"
"20081",1818015,51,0,"1","150","D","1","D",12,"D"
"20081",1818025,55,0,"1","150","D","1","D",24,"D"
"20081",1818055,56,0,"1","150","D","1","D",20,"D"
"20081",1818205,58,0,"1","150","D","1","D",34,"D"
"20081",1818235,49,0,"1","150","D","1","D",25,"D"
"20081",1818235,50,0,"1","150","D","1","D",0,"D"
"20081",1818255,62,0,"1","150","D","1","D",100,"D"
"20081",1818285,58,0,"1","200","D","1","D",30,"D"
"20081",1818285,59,0,"1","150","D","1","D",56,"D"
"20081",1818305,60,0,"1","830","D","1","D",120,"D"
"20081",1818325,52,0,"1","500","D","1","D",150,"D"
"20081",1818325,53,0,"1","150","D","1","D",80,"D"
"20081",1818345,37,0,"1","830","D","1","D",78,"D"
"20081",1818365,57,0,"1","150","D","1","D",212,"D"
"20081",1818365,58,0,"1","830","D","1","D",64,"D"
"20081",1818465,95,0,"1","150","D","1","D",37,"D"
"20081",1818465,96,0,"1","950","D","1","D",294,"D"
"20081",1818495,58,0,"1","150","D","1","D",24,"D"
"20081",1818545,33,0,"1","150","D","1","D",18,"D"
"20081",1818545,34,0,"1","150","D","1","D",52,"D"
"20081",1818595,49,0,"1","150","D","2","D",20,"D"
"20081",1818595,50,0,"1","810","D","1","D",70,"D"
"20081",1818695,40,0,"1","150","D","1","D",20,"D"
"20081",1818715,48,0,"1","200","D","1","D",50,"D"
"20081",1818715,49,0,"1","800","D","1","D",0,"D"
"20081",1818755,27,0,"1","830","D","1","D",80,"D"
"20081",1818765,32,0,"1","830","D","1","D",50,"D"
"20081",1818775,75,0,"1","150","D","1","D",0,"D"
"20081",1818845,47,0,"1","830","D","1","D",90,"D"
"20081",1818855,93,0,"1","810","D","1","D",75,"D"
"20081",1818955,30,0,"1","150","D","1","D",12,"D"
"20081",1818975,55,0,"1","150","D","1","D",108,"D"
"20081",1818995,51,0,"1","150","D","1","D",36,"D"
"20081",1819005,43,0,"1","150","D","1","D",68,"D"
"20081",1819015,38,0,"1","150","D","1","D",0,"D"
"20081",1819025,71,0,"1","150","D","1","D",0,"D"
"20081",1819025,72,0,"1","150","D","1","D",38,"D"
"20081",1819025,73,0,"1","500","D","1","D",190,"D"
"20081",1819065,44,0,"1","830","D","1","D",99,"D"
"20081",1819065,45,0,"1","840","D","1","D",35,"D"
"20081",1819065,46,0,"1","930","D","1","D",20,"D"
"20081",1819095,46,0,"1","150","D","1","D",34,"D"
"20081",1819125,82,0,"1","600","D","1","D",174,"D"
"20081",1819125,83,0,"1","830","D","1","D",300,"D"
"20081",1819125,84,0,"1","950","D","1","D",110,"D"
"20081",1819205,37,0,"1","150","D","1","D",102,"D"
"20081",1819215,48,0,"1","150","D","1","D",9,"D"
"20081",1819225,25,0,"1","150","D","1","D",60,"D"
"20081",1819315,61,0,"1","840","D","1","D",40,"D"
"20081",1819385,55,0,"1","150","D","1","D",59,"D"
"20081",1819445,67,0,"1","800","D","1","D",0,"D"
"20081",1819445,68,0,"1","800","D","1","D",0,"D"
"20081",1819465,49,0,"1","150","D","1","D",20,"D"
"20081",1819465,50,0,"1","830","D","1","D",134,"D"
"20081",1819465,51,0,"1","800","D","1","D",75,"D"
"20081",1819475,56,0,"1","830","D","1","D",0,"D"
"20081",1819495,47,0,"1","150","D","1","D",35,"D"
"20081",1819555,94,0,"1","150","D","1","D",58,"D"
"20081",1819555,95,0,"1","150","D","1","D",0,"D"
"20081",1819555,96,0,"1","150","D","1","D",80,"D"
"20081",1819555,97,0,"1","830","D","1","D",60,"D"
"20081",1819575,55,0,"1","150","D","1","D",40,"D"
"20081",1819675,53,0,"1","150","D","1","D",54,"D"
"20081",1819675,54,0,"1","830","D","1","D",20,"D"
"20081",1819675,55,0,"1","840","D","1","D",40,"D"
"20081",1819745,30,0,"1","150","D","1","D",0,"D"
"20081",1819795,49,0,"1","830","D","1","D",34,"D"
"20081",1819845,37,0,"1","150","D","1","D",0,"D"
"20081",1819945,46,0,"1","150","D","1","D",54,"D"
"20081",1819985,49,0,"1","800","D","1","D",25,"D"
"20081",1820015,43,0,"1","150","D","1","D",52,"D"
"20081",1820065,66,0,"1","830","D","1","D",57,"D"
"20081",1820075,37,0,"1","840","D","1","D",35,"D"
"20081",1820165,46,0,"1","150","D","1","D",47,"D"
"20081",1820165,47,0,"1","830","D","1","D",66,"D"
"20081",1820185,65,0,"1","150","D","1","D",0,"D"
"20081",1820195,32,0,"1","150","D","1","D",67,"D"
"20081",1820225,75,0,"1","150","D","1","D",75,"D"
"20081",1820225,76,0,"1","150","D","1","D",36,"D"
"20081",1820225,77,0,"1","830","D","1","D",134,"D"
"20081",1820275,58,0,"1","150","D","1","D",80,"D"
"20081",1820275,59,0,"1","150","D","1","D",150,"F"
"20081",1820345,75,0,"1","150","D","1","D",108,"D"
"20081",1820345,76,0,"1","150","D","1","D",50,"D"
"20081",1820345,77,0,"1","840","D","1","D",20,"D"
"20081",1820405,36,0,"1","150","D","1","D",26,"D"
"20081",1820405,37,0,"1","830","D","1","D",78,"D"
"20081",1820485,71,0,"1","150","D","2","D",0,"D"
"20081",1820505,63,0,"1","150","D","1","D",0,"D"
"20081",1820505,64,0,"1","830","D","1","D",116,"D"
"20081",1820505,65,0,"1","840","D","1","D",40,"D"
"20081",1820565,71,0,"1","150","D","1","D",90,"D"
"20081",1820575,75,0,"1","150","D","1","D",64,"D"
"20081",1820575,76,0,"1","150","D","1","D",31,"D"
"20081",1820575,77,0,"1","150","D","1","D",20,"D"
"20081",1820575,78,0,"1","150","D","1","D",24,"D"
"20081",1820575,79,0,"1","830","D","1","D",60,"D"
"20081",1820595,48,0,"1","150","D","1","D",42,"D"
"20081",1820605,50,0,"1","150","D","1","D",75,"D"
"20081",1820615,61,0,"1","150","D","1","D",70,"D"
"20081",1820665,85,0,"1","150","D","1","D",42,"D"
"20081",1820665,86,0,"1","830","D","1","D",360,"D"
"20081",1820675,44,0,"1","150","D","1","D",150,"D"
"20081",1820675,45,0,"1","200","D","1","D",125,"D"
"20081",1820695,57,0,"1","800","D","1","D",1000,"D"
"20081",1820705,75,0,"1","150","D","1","D",35,"D"
"20081",1820705,76,0,"1","500","D","2","D",100,"D"
"20081",1820705,77,0,"1","840","D","1","D",100,"D"
"20081",1820715,46,0,"1","150","D","1","D",155,"D"
"20081",1820715,47,0,"1","810","D","1","D",20,"D"
"20081",1820815,39,0,"1","830","D","1","D",1800,"D"
"20081",1820865,40,0,"1","150","D","1","D",30,"D"
"20081",1820865,41,0,"1","150","D","1","D",25,"D"
