"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MAJAPPLY","MAJA_PLY","GFTC_MAJ","GFTC0MAJ","MAJ_MO","MAJ_MO_","MAJPURX","MAJPURX_","MAJRENTX","MAJR_NTX","MAJINSTX","MAJI_STX","MJAPPL1","MJAPPL1_","MJAPPL2","MJAPPL2_","MJAPPL3","MJAPPL3_","MJAPPL4","MJAPPL4_","MJAPPL5","MJAPPL5_","MJAPPL6","MJAPPL6_","MJAPPL7","MJAPPL7_","MJAPPL8","MJAPPL8_","MJAPPL9","MJAPPL9_"
"20081",1818245,1,0,"1","225","D","1","D","02","D",.,"H",.,"A",.,"A","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1818245,1,1,"1","200","D","1","D","02","D",734,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818245,1,2,"1","190","D","1","D","02","D",766,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818465,1,0,"1","180","D","1","D","02","D",272,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819065,1,0,"1","100","D","1","D","01","D",1000,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819375,1,0,"2","140","D","1","D","10","D",550,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819645,1,0,"1","120","D","1","D","10","D",40,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820165,1,0,"1","180","D","1","D","11","D",180,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820375,1,0,"1","120","D","1","D","11","D",15,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820455,1,0,"2","100","D","1","D","11","D",534,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820545,1,0,"1","225","D","1","D","10","D",.,"H",.,"A",.,"H","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1820545,1,1,"1","200","D","1","D","10","D",490,"E",.,"A",24,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820545,1,2,"1","190","D","1","D","10","D",510,"E",.,"A",26,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820545,2,0,"1","200","D","1","D","10","D",500,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820585,1,0,"1","100","D","1","D","11","D",250,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820935,1,0,"1","225","D","1","D","12","D",.,"H",.,"A",.,"A","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1820935,1,1,"1","200","D","1","D","12","D",784,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820935,1,2,"1","190","D","1","D","12","D",816,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821415,1,0,"1","140","D","3","D","12","D",120,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821605,1,0,"1","120","D","1","D","11","D",253,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822355,1,0,"1","120","D","1","D","01","D",30,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822355,2,0,"2","120","D","1","D","11","D",33,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822365,1,0,"1","100","D","1","D","12","D",350,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822365,2,0,"1","140","D","1","D","12","D",400,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822495,1,0,"1","120","D","1","D","12","D",80,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822725,1,0,"1","120","D","1","D","12","D",170,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823125,1,0,"1","225","D","1","D","11","D",.,"H",.,"A",.,"A","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1823125,1,1,"1","200","D","1","D","11","D",685,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823125,1,2,"1","190","D","1","D","11","D",715,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823335,1,0,"1","200","D","1","D","12","D",360,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823945,1,0,"1","100","D","1","D","12","D",5000,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824535,1,0,"1","140","D","1","D","01","D",1000,"D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824565,1,0,"1","160","D","1","D","12","D",500,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824715,1,0,"1","190","D","1","D","10","D",1200,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825345,1,0,"1","120","D","1","D","12","D",45,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825385,1,0,"1","170","D","1","D","11","D",511,"D",.,"A",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825835,1,0,"1","220","D","1","D","12","D",.,"H",.,"A",.,"A","100","D","140","D","160","D","120","D","","A","","A","","A","","A","","A"
"20081",1825835,1,1,"1","100","D","1","D","12","D",298,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825835,1,2,"1","140","D","1","D","12","D",485,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825835,1,3,"1","160","D","1","D","12","D",358,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825835,1,4,"1","120","D","1","D","12","D",59,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825855,1,0,"1","140","D","1","D","01","D",488,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825865,1,0,"2","200","D","1","D","11","D",90,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825885,1,0,"1","120","D","1","D","02","D",50,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826165,1,0,"1","140","D","1","D","11","D",650,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826615,1,0,"1","140","D","2","D","","A",.,"A",80,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826845,1,0,"1","120","D","1","D","11","D",108,"D",.,"A",120,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826845,2,0,"1","100","D","3","D","01","D",90,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1827225,1,0,"1","120","D","1","D","02","D",100,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1827245,1,0,"1","100","D","1","D","12","D",325,"D",.,"A",100,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1827335,1,0,"1","140","D","1","D","02","D",42,"D",.,"A",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1827815,1,0,"1","170","D","1","D","12","D",503,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828105,1,0,"1","160","D","1","D","12","D",767,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828185,1,0,"1","190","D","1","D","12","D",1500,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828185,2,0,"1","200","D","1","D","12","D",800,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828465,1,0,"1","225","D","1","D","10","D",.,"H",.,"A",.,"A","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1828465,1,1,"1","200","D","1","D","10","D",106,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828465,1,2,"1","190","D","1","D","10","D",111,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828735,1,0,"1","120","D","3","D","12","D",75,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828955,1,0,"1","200","D","1","D","01","D",700,"D",.,"A",75,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828985,1,0,"1","120","D","1","D","11","D",63,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1829095,1,0,"1","140","D","1","D","12","D",2500,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1829455,1,0,"1","225","D","1","D","12","D",.,"H",.,"A",.,"A","200","D","190","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1829455,1,1,"1","200","D","1","D","12","D",392,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1829455,1,2,"1","190","D","1","D","12","D",408,"E",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1830165,1,0,"1","190","D","1","D","01","D",125,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1830215,1,0,"1","200","D","1","D","02","D",477,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1830485,1,0,"2","120","D","1","D","12","D",74,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1830505,1,0,"1","140","D","1","D","12","D",174,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1830555,1,0,"2","190","D","1","D","12","D",748,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831255,1,0,"1","190","D","1","D","11","D",750,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831785,1,0,"1","140","D","1","D","12","D",1500,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831855,1,0,"1","190","D","1","D","01","D",1078,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831865,1,0,"1","100","D","1","D","12","D",1100,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831865,2,0,"1","120","D","1","D","12","D",450,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831865,3,0,"1","160","D","1","D","12","D",800,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1832575,1,0,"1","120","D","1","D","11","D",350,"D",.,"A",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
