"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20081",1817895,45,0,"1",1,"D",.,"H","","A"
"20081",1817895,45,1,"1",.,"A",3,"E","120","D"
"20081",1817895,45,2,"1",.,"A",3,"E","140","D"
"20081",1817895,45,3,"1",.,"A",32,"E","150","D"
"20081",1817895,45,4,"1",.,"A",4,"E","160","D"
"20081",1817895,45,5,"1",.,"A",2,"E","170","D"
"20081",1817895,45,6,"1",.,"A",2,"E","180","D"
"20081",1817895,45,7,"1",.,"A",4,"E","190","D"
"20081",1818595,52,0,"1",1,"D",.,"H","","A"
"20081",1818595,52,1,"1",.,"A",12,"E","120","D"
"20081",1818595,52,2,"1",.,"A",2,"E","140","D"
"20081",1818595,52,3,"1",.,"A",92,"E","150","D"
"20081",1818595,52,4,"1",.,"A",13,"E","160","D"
"20081",1818595,52,5,"1",.,"A",6,"E","170","D"
"20081",1818595,52,6,"1",.,"A",3,"E","180","D"
"20081",1818595,52,7,"1",.,"A",10,"E","190","D"
"20081",1819315,62,0,"1",1,"D",.,"H","","A"
"20081",1819315,62,1,"1",.,"A",100,"E","130","D"
"20081",1821465,75,0,"1",9,"D",.,"H","","A"
"20081",1821465,75,1,"1",.,"A",93,"E","200","D"
"20081",1821465,75,2,"1",.,"A",124,"E","210","D"
"20081",1821465,75,3,"1",.,"A",233,"E","220","D"
"20081",1821485,65,0,"1",1,"D",.,"H","","A"
"20081",1821485,65,1,"1",.,"A",21,"E","120","D"
"20081",1821485,65,2,"1",.,"A",2,"E","140","D"
"20081",1821485,65,3,"1",.,"A",161,"E","150","D"
"20081",1821485,65,4,"1",.,"A",20,"E","160","D"
"20081",1821485,65,5,"1",.,"A",10,"E","170","D"
"20081",1821485,65,6,"1",.,"A",10,"E","180","D"
"20081",1821485,65,7,"1",.,"A",21,"E","190","D"
"20081",1821835,50,0,"1",1,"D",.,"H","","A"
"20081",1821835,50,1,"1",.,"A",48,"E","120","D"
"20081",1821835,50,2,"1",.,"A",8,"E","140","D"
"20081",1821835,50,3,"1",.,"A",323,"E","150","D"
"20081",1821835,50,4,"1",.,"A",49,"E","160","D"
"20081",1821835,50,5,"1",.,"A",23,"E","170","D"
"20081",1821835,50,6,"1",.,"A",11,"E","180","D"
"20081",1821835,50,7,"1",.,"A",38,"E","190","D"
"20081",1821845,29,0,"1",1,"D",.,"H","","A"
"20081",1821845,29,1,"1",.,"A",38,"E","120","D"
"20081",1821845,29,2,"1",.,"A",4,"E","140","D"
"20081",1821845,29,3,"1",.,"A",195,"E","150","D"
"20081",1821845,29,4,"1",.,"A",41,"E","160","D"
"20081",1821845,29,5,"1",.,"A",25,"E","170","D"
"20081",1821845,29,6,"1",.,"A",35,"E","190","D"
"20081",1822335,70,0,"1",1,"D",.,"H","","A"
"20081",1822335,70,1,"1",.,"A",381,"E","100","D"
"20081",1822335,70,2,"1",.,"A",119,"E","110","D"
"20081",1823375,37,0,"1",1,"D",.,"H","","A"
"20081",1823375,37,1,"1",.,"A",30,"E","120","D"
"20081",1823375,37,2,"1",.,"A",3,"E","140","D"
"20081",1823375,37,3,"1",.,"A",176,"E","150","D"
"20081",1823375,37,4,"1",.,"A",17,"E","160","D"
"20081",1823375,37,5,"1",.,"A",39,"E","170","D"
"20081",1823375,37,6,"1",.,"A",101,"E","180","D"
"20081",1823375,37,7,"1",.,"A",34,"E","190","D"
"20081",1823645,41,0,"1",1,"D",.,"H","","A"
"20081",1823645,41,1,"1",.,"A",28,"E","120","D"
"20081",1823645,41,2,"1",.,"A",4,"E","140","D"
"20081",1823645,41,3,"1",.,"A",369,"E","150","D"
"20081",1823645,41,4,"1",.,"A",59,"E","160","D"
"20081",1823645,41,5,"1",.,"A",7,"E","170","D"
"20081",1823645,41,6,"1",.,"A",33,"E","190","D"
"20081",1828835,76,0,"1",2,"D",.,"H","","A"
"20081",1828835,76,1,"1",.,"A",55,"E","120","D"
"20081",1828835,76,2,"1",.,"A",7,"E","140","D"
"20081",1828835,76,3,"1",.,"A",460,"E","150","D"
"20081",1828835,76,4,"1",.,"A",58,"E","160","D"
"20081",1828835,76,5,"1",.,"A",30,"E","170","D"
"20081",1828835,76,6,"1",.,"A",29,"E","180","D"
"20081",1828835,76,7,"1",.,"A",61,"E","190","D"
"20081",1829605,59,0,"1",1,"D",.,"H","","A"
"20081",1829605,59,1,"1",.,"A",22,"E","100","D"
"20081",1829605,59,2,"1",.,"A",11,"E","110","D"
"20081",1829605,59,3,"1",.,"A",23,"E","120","D"
"20081",1829605,59,4,"1",.,"A",62,"E","130","D"
"20081",1829605,59,5,"1",.,"A",1,"E","140","D"
"20081",1829605,59,6,"1",.,"A",104,"E","150","D"
"20081",1829605,59,7,"1",.,"A",10,"E","160","D"
"20081",1829605,59,8,"1",.,"A",23,"E","170","D"
"20081",1829605,59,9,"1",.,"A",59,"E","180","D"
"20081",1829605,59,10,"1",.,"A",20,"E","190","D"
"20081",1829605,59,11,"1",.,"A",19,"E","200","D"
"20081",1829605,59,12,"1",.,"A",20,"E","210","D"
"20081",1829605,59,13,"1",.,"A",26,"E","220","D"
"20081",1830315,58,0,"1",1,"D",.,"H","","A"
"20081",1830315,58,1,"1",.,"A",96,"E","100","D"
"20081",1830315,58,2,"1",.,"A",24,"E","110","D"
"20081",1830315,58,3,"1",.,"A",61,"E","200","D"
"20081",1830315,58,4,"1",.,"A",60,"E","210","D"
"20081",1830315,58,5,"1",.,"A",59,"E","220","D"
"20081",1830815,50,0,"1",1,"D",.,"H","","A"
"20081",1830815,50,1,"1",.,"A",77,"E","120","D"
"20081",1830815,50,2,"1",.,"A",13,"E","140","D"
"20081",1830815,50,3,"1",.,"A",517,"E","150","D"
"20081",1830815,50,4,"1",.,"A",78,"E","160","D"
"20081",1830815,50,5,"1",.,"A",37,"E","170","D"
"20081",1830815,50,6,"1",.,"A",17,"E","180","D"
"20081",1830815,50,7,"1",.,"A",61,"E","190","D"
"20081",1830855,59,0,"1",1,"D",.,"H","","A"
"20081",1830855,59,1,"1",.,"A",14,"E","120","D"
"20081",1830855,59,2,"1",.,"A",1,"E","140","D"
"20081",1830855,59,3,"1",.,"A",98,"E","150","D"
"20081",1830855,59,4,"1",.,"A",12,"E","160","D"
"20081",1830855,59,5,"1",.,"A",6,"E","170","D"
"20081",1830855,59,6,"1",.,"A",6,"E","180","D"
"20081",1830855,59,7,"1",.,"A",13,"E","190","D"
"20081",1831365,105,0,"1",1,"D",.,"H","","A"
"20081",1831365,105,1,"1",.,"A",33,"G","100","D"
"20081",1831365,105,2,"1",.,"A",16,"G","110","D"
"20081",1831365,105,3,"1",.,"A",25,"G","120","D"
"20081",1831365,105,4,"1",.,"A",98,"G","130","D"
"20081",1831365,105,5,"1",.,"A",2,"G","140","D"
"20081",1831365,105,6,"1",.,"A",155,"G","150","D"
"20081",1831365,105,7,"1",.,"A",15,"G","160","D"
"20081",1831365,105,8,"1",.,"A",34,"G","170","D"
"20081",1831365,105,9,"1",.,"A",89,"G","180","D"
"20081",1831365,105,10,"1",.,"A",30,"G","190","D"
"20081",1833655,64,0,"1",1,"D",.,"H","","A"
"20081",1833655,64,1,"1",.,"A",24,"E","120","D"
"20081",1833655,64,2,"1",.,"A",3,"E","140","D"
"20081",1833655,64,3,"1",.,"A",213,"E","150","D"
"20081",1833655,64,4,"1",.,"A",26,"E","160","D"
"20081",1833655,64,5,"1",.,"A",13,"E","170","D"
"20081",1833655,64,6,"1",.,"A",13,"E","180","D"
"20081",1833655,64,7,"1",.,"A",28,"E","190","D"
"20081",1833795,78,0,"1",2,"D",.,"H","","A"
"20081",1833795,78,1,"1",.,"A",99,"E","200","D"
"20081",1833795,78,2,"1",.,"A",132,"E","210","D"
"20081",1833795,78,3,"1",.,"A",249,"E","220","D"
"20081",1834155,94,0,"1",1,"D",.,"H","","A"
"20081",1834155,94,1,"1",.,"A",56,"E","120","D"
"20081",1834155,94,2,"1",.,"A",11,"E","140","D"
"20081",1834155,94,3,"1",.,"A",493,"E","150","D"
"20081",1834155,94,4,"1",.,"A",62,"E","160","D"
"20081",1834155,94,5,"1",.,"A",32,"E","170","D"
"20081",1834155,94,6,"1",.,"A",31,"E","180","D"
"20081",1834155,94,7,"1",.,"A",65,"E","190","D"
"20081",1834765,75,0,"1",1,"D",.,"H","","A"
"20081",1834765,75,1,"1",.,"A",37,"E","120","D"
"20081",1834765,75,2,"1",.,"A",9,"E","140","D"
"20081",1834765,75,3,"1",.,"A",328,"E","150","D"
"20081",1834765,75,4,"1",.,"A",41,"E","160","D"
"20081",1834765,75,5,"1",.,"A",21,"E","170","D"
"20081",1834765,75,6,"1",.,"A",21,"E","180","D"
"20081",1834765,75,7,"1",.,"A",43,"E","190","D"
"20081",1834955,92,0,"1",1,"D",.,"H","","A"
"20081",1834955,92,1,"1",.,"A",191,"E","100","D"
"20081",1834955,92,2,"1",.,"A",60,"E","110","D"
"20081",1834955,92,3,"1",.,"A",113,"E","120","D"
"20081",1834955,92,4,"1",.,"A",397,"E","130","D"
"20081",1834955,92,5,"1",.,"A",15,"E","140","D"
"20081",1834955,92,6,"1",.,"A",771,"E","150","D"
"20081",1834955,92,7,"1",.,"A",135,"E","160","D"
"20081",1834955,92,8,"1",.,"A",76,"E","170","D"
