"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20081",1817695,14,0,"1","360","D","03","D","6","D","13","D",.,"A",400,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817695,15,0,"1","360","D","04","D","6","D","13","D",.,"A",400,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817735,15,0,"1","350","D","55","D","6","D","12","D",.,"A",100,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817745,15,0,"1","100","D","03","D","6","D","13","D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817745,16,0,"1","100","D","04","D","6","D","13","D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817745,17,0,"1","200","D","04","D","3","D","13","D",.,"A",90,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817745,18,0,"1","300","D","02","D","1","D","12","D",.,"A",300,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817755,20,0,"1","100","D","02","D","6","D","13","D",.,"A",35,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,26,0,"1","360","D","04","D","2","D","02","D",.,"A",7,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,27,0,"1","350","D","04","D","2","D","01","D",.,"A",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818015,16,0,"1","200","D","04","D","3","D","13","D",.,"A",450,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818035,24,0,"1","100","D","01","D","6","D","13","D",.,"A",189,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818235,19,0,"1","200","D","03","D","4","D","13","D",.,"A",381,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818285,19,0,"1","100","D","01","D","6","D","01","D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,23,0,"1","100","D","05","D","6","D","10","D",.,"A",80,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,24,0,"1","100","D","06","D","6","D","12","D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,25,0,"1","350","D","55","D","2","D","12","D",.,"A",25,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818325,22,0,"1","100","D","02","D","6","D","02","D",.,"A",300,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818465,33,0,"1","300","D","55","D","1","D","12","D",.,"A",165,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818575,16,0,"1","360","D","01","D","6","D","12","D",.,"A",125,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818605,17,0,"1","300","D","02","D","1","D","01","D",.,"A",600,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818625,19,0,"1","360","D","03","D","2","D","01","D",.,"A",1950,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818625,20,0,"1","300","D","04","D","1","D","01","D",.,"A",607,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818625,21,0,"1","300","D","04","D","1","D","02","D",.,"A",447,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818625,22,0,"1","350","D","04","D","1","D","01","D",.,"A",300,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818695,15,0,"1","100","D","02","D","6","D","13","D",.,"A",34,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818775,29,0,"1","300","D","01","D","1","D","12","D",.,"A",400,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818845,17,0,"1","100","D","03","D","6","D","13","D",.,"A",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818845,18,0,"1","100","D","03","D","6","D","13","D",.,"A",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818855,45,0,"1","300","D","03","D","2","D","13","D",.,"A",466,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818855,46,0,"1","350","D","02","D","1","D","01","D",.,"A",40,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819005,19,0,"1","300","D","55","D","1","D","13","D",.,"A",68,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
