"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CLOTHYB","CLOTHYB_","CLOGFTB","CLOGFTB_","CLOTHQB","CLOTHQB_","CLOTHMOB","CLOT_MOB","CLOTHXB","CLOTHXB_","AGE_SEXB","AGE__EXB","CLOTHB1","CLOTHB1_","CLOTHB2","CLOTHB2_","CLOTHB3","CLOTHB3_","CLOTHB4","CLOTHB4_","CLOTHB5","CLOTHB5_","CLOTHB6","CLOTHB6_","CLOTHB7","CLOTHB7_","CLOTHB8","CLOTHB8_","CLOTHB9","CLOTHB9_"
"20081",1817805,16,0,"2","380","D","1","D",1,"D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817875,20,0,"1","390","D","1","D",5,"D","01","D",26,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817885,15,0,"1","300","D","2","D",1,"D","12","D",25,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817895,16,0,"1","300","D","2","D",5,"D","12","D",52,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,20,0,"1","300","D","1","D",.,"C","01","D",70,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,21,0,"1","340","D","1","D",1,"D","01","D",22,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,22,0,"1","340","D","1","D",1,"D","02","D",22,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,23,0,"1","340","D","1","D",1,"D","12","D",22,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,24,0,"1","340","D","1","D",4,"D","01","D",36,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1817925,25,0,"2","310","D","1","D",4,"D","12","D",22,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818065,24,0,"1","380","D","1","D",2,"D","12","D",7,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818075,16,0,"1","380","D","1","D",1,"D","12","D",480,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818125,15,0,"1","310","D","2","D",1,"D","12","D",39,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818145,17,0,"1","380","D","1","D",.,"C","12","D",27,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818145,18,0,"1","370","D","1","D",1,"D","12","D",13,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818185,17,0,"1","370","D","1","D",1,"D","12","D",120,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818205,20,0,"1","310","D","1","D",2,"D","11","D",32,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818205,21,0,"1","310","D","1","D",2,"D","12","D",32,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818205,22,0,"1","310","D","1","D",2,"D","01","D",32,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818215,25,0,"1","300","D","2","D",3,"D","01","D",40,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818215,26,0,"1","380","D","1","D",3,"D","12","D",30,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818235,13,0,"1","310","D","2","D",5,"D","12","D",60,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818235,14,0,"1","310","D","2","D",5,"D","01","D",60,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818235,15,0,"1","300","D","2","D",3,"D","12","D",45,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818235,16,0,"2","310","D","2","D",4,"D","11","D",45,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,18,0,"1","360","D","2","D",.,"C","12","D",.,"H","5","D","320","D","300","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,18,1,"1","320","D","2","D",.,"B","12","D",11,"E","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818305,18,2,"1","300","D","2","D",.,"B","12","D",9,"E","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818345,16,0,"1","340","D","2","D",1,"D","12","D",32,"D","5","D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1818365,16,0,"1","360","D","2","D",1,"D","12","D",.,"H","5","D","300","D","340","D","","A","","A","","A","","A","","A","","A","","A"
