"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20081",1817705,45,0,"5","01","D","100","D",.07,"D",25000,"D",15,"D",296,"D","","B","","B","","B","","B",71,"D",83,"D",84,"D",84,"D",142,"D",141,"D",141,"D","","A","02","D","2007","D","1","D","","A",24273,"D",24190,"D",24107,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1817875,47,0,"5","01","D","100","D",.06,"F",272376,"V",15,"F",3034,"V","","B","","B","","B","","B",168,"F",1796,"V",1808,"V",1820,"V",1272,"F",1266,"F",1260,"F","","A","06","F","2004","F","1","F","","A",226619,"T",226394,"T",227050,"T","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1818565,34,0,"5","01","D","100","D",.09,"D",18733,"D",15,"D",190,"D","","A","","A","","A","","A",0,"D",53,"D",54,"D",54,"D",137,"D",136,"D",136,"D","","A","12","D","2006","D","1","D","","A",18221,"D",18168,"D",18114,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1819125,64,0,"5","01","D","100","D",.0734,"F",272376,"V",16,"F",1400,"F","","A","","A","","A","","A",0,"F",459,"F",461,"F",464,"F",941,"F",939,"F",936,"F","","A","03","F","2007","F","1","F","","A",226619,"T",226394,"T",227050,"T","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1819435,30,0,"5","01","D","100","D",.06,"D",84137,"D",15,"D",710,"D","","A","","A","","A","","A",0,"D",306,"D",307,"D",309,"D",404,"D",403,"D",401,"D","","A","12","D","2006","D","1","D","","A",80874,"D",80568,"D",80261,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1819635,51,0,"5","01","D","100","D",.075,"D",39190,"D",13,"D",394,"D","","A","","A","","A","","A",0,"D",160,"D",161,"D",162,"D",234,"D",233,"D",232,"D","","A","12","D","2006","D","1","D","","A",37498,"D",37338,"D",37178,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1819815,34,0,"5","02","D","400","D",.0775,"D",5000,"D",15,"D",125,"D","","B","","B","","B","","B",78,"D",15,"D",16,"D",16,"D",32,"D",32,"D",31,"D","","A","03","D","2007","D","1","D","","A",4895,"D",4879,"D",4864,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1820475,50,0,"5","01","D","100","D",.085,"F",12000,"F",10,"F",253,"F","","B","","B","","B","","B",104,"F",128,"F",129,"F",130,"F",21,"F",20,"F",19,"F","","A","08","F","1999","F","1","F","","A",2894,"D",2766,"D",2637,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1820485,58,0,"5","01","D","100","D",.12,"D",41661,"D",15,"D",500,"D","","A","","A","","A","","A",0,"D",204,"D",206,"D",208,"D",296,"D",294,"D",292,"D","","A","06","D","2000","D","1","D","","A",29581,"D",29377,"D",29170,"D","01","D","","A","","A","","A",.,"A",.,"A",.,"A","1","D","2","D"
"20081",1821055,30,0,"5","01","D","100","D",.0549,"D",272376,"T",10,"D",.,"A","3","D","4","D","5","D","","A",0,"D",1796,"T",1808,"T",1820,"T",433,"D",426,"D",419,"D","","A","05","D","2002","D","2","D","","A",94756,"D",93237,"D",91711,"D","01","D","1","D","","A","","A",1953,"D",1953,"D",2119,"T","1","D","2","D"
