"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20081",1817685,13,0,"1","170","D","12","D",2000,"D"
"20081",1817695,13,0,"1","140","D","12","D",4800,"D"
"20081",1817705,14,0,"1","170","D","12","D",90,"D"
"20081",1817735,13,0,"1","170","D","12","D",200,"D"
"20081",1817745,14,0,"1","150","D","13","D",100,"D"
"20081",1817755,19,0,"1","150","D","13","D",65,"D"
"20081",1817805,17,0,"1","170","D","12","D",800,"D"
"20081",1817805,18,0,"2","140","D","12","D",25,"D"
"20081",1817805,19,0,"2","160","D","12","D",20,"D"
"20081",1817805,20,0,"2","160","D","12","D",20,"D"
"20081",1817855,13,0,"1","170","D","12","D",200,"D"
"20081",1817875,21,0,"1","150","D","13","D",50,"D"
"20081",1817875,22,0,"1","160","D","13","D",30,"D"
"20081",1817885,16,0,"1","170","D","12","D",250,"D"
"20081",1817895,18,0,"1","170","D","12","D",120,"D"
"20081",1817895,19,0,"1","150","D","13","D",1000,"D"
"20081",1817905,13,0,"1","150","D","12","D",1400,"D"
"20081",1817915,13,0,"1","160","D","02","D",2,"D"
"20081",1817915,14,0,"2","150","D","12","D",1,"D"
"20081",1817945,14,0,"1","150","D","13","D",430,"D"
"20081",1817985,15,0,"1","170","D","12","D",100,"D"
"20081",1818015,15,0,"1","150","D","13","D",100,"D"
"20081",1818025,17,0,"1","170","D","12","D",400,"D"
"20081",1818025,18,0,"2","170","D","10","D",100,"D"
"20081",1818035,18,0,"2","170","D","12","D",159,"D"
"20081",1818035,19,0,"2","170","D","12","D",85,"D"
"20081",1818035,20,0,"2","170","D","12","D",15,"D"
"20081",1818035,21,0,"2","170","D","12","D",10,"D"
"20081",1818035,22,0,"2","160","D","12","D",250,"D"
"20081",1818035,23,0,"2","160","D","12","D",40,"D"
"20081",1818055,23,0,"1","150","D","12","D",50,"D"
"20081",1818055,24,0,"1","150","D","01","D",75,"D"
"20081",1818055,25,0,"1","150","D","02","D",75,"D"
"20081",1818055,26,0,"2","150","D","12","D",25,"D"
"20081",1818065,26,0,"1","160","D","11","D",20,"D"
"20081",1818135,18,0,"2","150","D","10","D",100,"D"
"20081",1818145,21,0,"1","160","D","12","D",50,"D"
"20081",1818185,18,0,"1","170","D","12","D",60,"D"
"20081",1818215,27,0,"1","150","D","13","D",430,"D"
"20081",1818215,28,0,"1","160","D","13","D",30,"D"
"20081",1818215,29,0,"1","160","D","13","D",30,"D"
"20081",1818225,15,0,"1","170","D","12","D",27,"D"
"20081",1818235,17,0,"1","160","D","01","D",60,"D"
"20081",1818245,15,0,"1","170","D","12","D",1500,"D"
"20081",1818245,16,0,"1","150","D","13","D",100,"D"
"20081",1818245,17,0,"1","160","D","12","D",100,"D"
"20081",1818255,14,0,"1","160","D","01","D",100,"D"
"20081",1818255,15,0,"1","160","D","02","D",100,"D"
"20081",1818285,16,0,"1","150","D","12","D",200,"D"
"20081",1818285,17,0,"1","150","D","01","D",280,"D"
"20081",1818285,18,0,"1","150","D","02","D",280,"D"
"20081",1818305,19,0,"1","170","D","12","D",200,"D"
"20081",1818305,20,0,"1","170","D","12","D",600,"D"
"20081",1818305,21,0,"1","170","D","12","D",75,"D"
"20081",1818305,22,0,"1","150","D","13","D",150,"D"
"20081",1818315,17,0,"1","170","D","12","D",120,"D"
"20081",1818315,18,0,"1","170","D","02","D",25,"D"
"20081",1818315,19,0,"1","170","D","02","D",100,"D"
"20081",1818315,20,0,"1","150","D","12","D",20,"D"
"20081",1818315,21,0,"1","150","D","01","D",15,"D"
"20081",1818315,22,0,"1","150","D","02","D",15,"D"
"20081",1818315,23,0,"1","160","D","12","D",50,"D"
"20081",1818315,24,0,"2","170","D","12","D",60,"D"
"20081",1818315,25,0,"2","170","D","12","D",25,"D"
"20081",1818325,18,0,"1","170","D","12","D",350,"D"
"20081",1818325,19,0,"1","130","D","13","D",10,"D"
"20081",1818325,20,0,"1","130","D","02","D",150,"D"
"20081",1818325,21,0,"2","170","D","12","D",50,"D"
"20081",1818365,17,0,"1","170","D","12","D",2025,"D"
"20081",1818365,18,0,"1","160","D","12","D",1500,"D"
"20081",1818375,27,0,"1","170","D","12","D",210,"D"
"20081",1818375,28,0,"1","170","D","12","D",500,"D"
"20081",1818445,21,0,"2","170","D","12","D",20,"D"
"20081",1818455,16,0,"1","150","D","13","D",200,"D"
"20081",1818465,26,0,"1","100","D","02","D",400,"D"
"20081",1818465,27,0,"1","150","D","13","D",200,"D"
"20081",1818465,28,0,"1","150","D","01","D",60,"D"
"20081",1818465,29,0,"2","100","D","12","D",25,"D"
"20081",1818465,30,0,"2","170","D","12","D",10,"D"
"20081",1818525,13,0,"1","150","D","13","D",200,"D"
"20081",1818525,14,0,"1","160","D","13","D",200,"D"
"20081",1818595,21,0,"1","140","D","11","D",40,"D"
"20081",1818605,14,0,"1","100","D","01","D",300,"D"
"20081",1818605,15,0,"1","150","D","13","D",100,"D"
"20081",1818605,16,0,"1","160","D","02","D",248,"F"
"20081",1818615,13,0,"1","160","D","13","D",50,"D"
"20081",1818625,18,0,"2","160","D","12","D",200,"D"
"20081",1818685,13,0,"1","150","D","13","D",20,"D"
"20081",1818695,14,0,"1","150","D","13","D",250,"D"
"20081",1818705,13,0,"1","170","D","12","D",800,"D"
"20081",1818715,15,0,"1","140","D","12","D",100,"D"
"20081",1818715,16,0,"1","130","D","12","D",100,"D"
"20081",1818715,17,0,"1","160","D","12","D",100,"D"
"20081",1818765,13,0,"1","170","D","13","D",5,"D"
