"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_"
"20081",1818375,49,0,"1","200","D","1","D","12","D",122,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819315,42,0,"1","200","D","1","D","11","D",72,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819515,44,0,"2","420","D","1","D","10","D",50,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821465,39,0,"1","900","D","1","D","01","D",.,"H","420","D","200","D","","A","","A","","A","","A","","A","","A","","A"
"20081",1821465,39,1,"1","420","D","1","D","01","D",213,"E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821465,39,2,"1","200","D","1","D","01","D",387,"E","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821685,40,0,"2","420","D","1","D","11","D",45,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821685,41,0,"2","110","D","1","D","11","D",55,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822335,53,0,"1","420","D","1","D","01","D",151,"F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822335,54,0,"2","200","D","1","D","11","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1824785,69,0,"2","630","D","1","D","11","D",15,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825025,38,0,"1","420","D","1","D","02","D",47,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825295,36,0,"2","620","D","1","D","12","D",11,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825635,33,0,"2","200","D","1","D","10","D",358,"F","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825675,29,0,"1","620","D","1","D","11","D",24,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825675,30,0,"1","620","D","1","D","12","D",24,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825675,31,0,"1","620","D","1","D","01","D",24,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826735,34,0,"1","120","D","1","D","10","D",60,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
