"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CRMCODEA","CRMC_DEA","ADVMATX","ADVMATX_","MATNSPCX","MATN_PCX","CRMCDA1","CRMCDA1_","CRMCDA2","CRMCDA2_","CRMCDA3","CRMCDA3_","CRMCDA4","CRMCDA4_","CRMCDA5","CRMCDA5_","CRMCDA6","CRMCDA6_","CRMCDA7","CRMCDA7_","CRMCDA8","CRMCDA8_","CRMCDA9","CRMCDA9_"
"20081",1817875,23,0,"1","120","D",50,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1819955,18,0,"1","130","D",60,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820185,17,0,"1","140","D",100,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820345,39,0,"1","","A",.,"A",20,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820565,28,0,"1","","A",.,"A",56,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1820575,23,0,"1","","A",.,"A",250,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1821635,27,0,"1","","A",.,"A",35,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1822005,16,0,"1","280","D",240,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1823035,18,0,"1","170","D",100,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825815,15,0,"1","190","D",12,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1825855,39,0,"1","","A",.,"A",8,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1826845,48,0,"1","170","D",75,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1828315,18,0,"1","300","D",140,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1829515,14,0,"1","130","D",216,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831245,14,0,"1","120","D",2000,"D",.,"A","","A","","A","","A","","A","","A","","A","","A","","A","","A"
"20081",1831555,24,0,"1","","A",.,"A",150,"D","","A","","A","","A","","A","","A","","A","","A","","A","","A"
