"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20082",1899183,28,0,"1",.,"A",468,"D"
"20082",1900593,20,0,"1",324,"D",.,"A"
"20082",1900963,27,0,"1",.,"A",1040,"D"
"20082",1903093,23,0,"1",.,"A",25,"D"
"20082",1903813,30,0,"1",276,"D",.,"A"
"20082",1906742,29,0,"1",.,"A",0,"D"
"20082",1906785,16,0,"1",230,"D",.,"A"
"20082",1907753,24,0,"1",127,"D",.,"A"
"20082",1908372,24,0,"1",.,"A",500,"D"
"20082",1910102,22,0,"1",.,"A",700,"D"
"20082",1911054,28,0,"1",.,"A",600,"D"
"20082",1913752,41,0,"1",.,"A",26,"D"
"20082",1913825,15,0,"1",.,"A",.,"A"
"20082",1914342,25,0,"1",.,"A",0,"D"
"20082",1914422,31,0,"1",.,"A",0,"D"
"20082",1915162,19,0,"1",350,"D",.,"A"
"20082",1915532,19,0,"1",.,"A",675,"D"
"20082",1915632,22,0,"1",200,"D",.,"A"
"20082",1917042,20,0,"1",.,"A",0,"D"
"20082",1917705,25,0,"1",400,"D",.,"A"
"20082",1919243,20,0,"1",.,"A",.,"A"
"20082",1919624,26,0,"1",.,"A",50,"D"
"20082",1920652,14,0,"1",.,"A",.,"A"
"20082",1920942,37,0,"1",.,"A",1694,"D"
"20082",1921572,27,0,"1",.,"A",100,"D"
"20082",1922882,29,0,"1",.,"A",343,"F"
"20082",1926095,15,0,"1",.,"A",.,"A"
"20082",1926282,17,0,"1",.,"A",100,"D"
"20082",1926822,22,0,"1",480,"D",.,"A"
"20082",1927002,28,0,"1",.,"A",9,"D"
"20083",1862735,26,0,"1",.,"A",50,"D"
"20083",1864565,32,0,"1",.,"A",0,"D"
"20083",1864685,23,0,"1",.,"A",.,"A"
"20083",1865775,32,0,"1",.,"A",20,"D"
"20083",1866015,32,0,"1",.,"A",20,"D"
"20083",1867665,30,0,"1",.,"A",75,"D"
"20083",1867955,22,0,"1",330,"D",.,"A"
"20083",1873795,30,0,"1",.,"A",27,"D"
"20083",1877275,42,0,"1",.,"A",20,"D"
"20083",1879935,19,0,"1",.,"A",0,"D"
"20083",1880885,23,0,"1",.,"A",0,"D"
"20083",1881655,25,0,"1",.,"A",420,"D"
"20083",1883494,16,0,"1",.,"A",.,"A"
"20083",1885384,36,0,"1",0,"D",.,"A"
"20083",1887154,20,0,"1",.,"A",1000,"D"
"20083",1887494,19,0,"1",.,"A",123,"D"
"20083",1888484,19,0,"1",900,"D",.,"A"
"20083",1888655,30,0,"1",.,"A",260,"D"
"20083",1889405,33,0,"1",.,"A",1450,"D"
"20083",1891264,30,0,"1",.,"A",80,"D"
"20083",1894075,30,0,"1",.,"A",50,"D"
"20083",1895224,25,0,"1",.,"A",80,"D"
"20083",1895854,26,0,"1",.,"A",0,"D"
"20083",1898084,19,0,"1",.,"A",0,"D"
"20083",1899184,43,0,"1",.,"A",105,"D"
"20083",1900594,25,0,"1",168,"D",.,"A"
"20083",1901945,34,0,"1",.,"A",0,"D"
"20083",1902025,33,0,"1",.,"A",25,"D"
"20083",1904524,19,0,"1",.,"A",135,"D"
"20083",1904764,14,0,"1",.,"A",.,"A"
"20083",1905624,22,0,"1",0,"D",.,"A"
"20083",1907754,26,0,"1",381,"D",.,"A"
"20083",1908613,32,0,"1",.,"A",0,"D"
"20083",1909243,17,0,"1",.,"A",.,"A"
"20083",1909733,23,0,"1",348,"D",.,"A"
"20083",1911213,37,0,"1",.,"A",57,"D"
"20083",1911343,25,0,"1",.,"A",0,"D"
"20083",1913473,19,0,"1",.,"A",4000,"D"
"20083",1914423,30,0,"1",.,"A",1300,"D"
"20083",1915133,15,0,"1",.,"A",.,"A"
"20083",1916683,15,0,"1",.,"A",1000,"D"
"20083",1917183,18,0,"1",90,"D",.,"A"
"20083",1918013,24,0,"1",102,"D",.,"A"
"20083",1918263,32,0,"1",.,"A",2,"D"
"20083",1925743,25,0,"1",.,"A",40,"D"
"20083",1928432,14,0,"1",0,"D",.,"A"
"20083",1928482,20,0,"1",1560,"D",.,"A"
"20083",1928512,24,0,"1",26,"D",.,"A"
"20083",1928792,15,0,"1",.,"A",.,"A"
"20083",1930192,20,0,"1",.,"A",.,"A"
"20083",1930232,30,0,"1",.,"A",330,"D"
"20083",1931002,19,0,"1",.,"A",.,"A"
"20083",1932062,18,0,"1",.,"A",50,"D"
"20083",1933203,22,0,"1",.,"A",.,"A"
"20083",1933212,21,0,"1",.,"A",400,"D"
"20083",1933992,33,0,"1",.,"A",90,"D"
"20083",1934485,27,0,"1",360,"D",.,"A"
"20083",1934892,53,0,"1",.,"A",10,"D"
"20083",1935292,15,0,"1",.,"A",.,"A"
"20083",1935344,26,0,"1",105,"D",.,"A"
"20083",1936002,38,0,"1",.,"A",20,"D"
"20083",1938142,24,0,"1",402,"D",.,"A"
"20083",1938905,28,0,"1",.,"A",10,"D"
