"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR5","CRED_TR5","CREDITX5","CRED_TX5","OWEMONEY","OWEM_NEY"
"20081",1817665,19,0,"1","130","D",255,"D",255,"D"
"20081",1817705,16,0,"1","130","D",3000,"D",0,"D"
"20081",1817705,17,0,"1","700","D",500,"D",0,"D"
"20081",1817735,17,0,"1","130","D",350,"D",200,"D"
"20081",1817745,22,0,"1","130","D",2500,"D",2500,"D"
"20081",1817755,24,0,"1","200","D",300,"D",300,"D"
"20081",1817805,23,0,"1","120","D",1600,"D",0,"D"
"20081",1817875,25,0,"1","130","D",1200,"D",3000,"D"
"20081",1817875,26,0,"1","120","D",1200,"D",1200,"D"
"20081",1817875,27,0,"1","120","D",1650,"D",800,"D"
"20081",1817955,17,0,"1","120","D",400,"D",1600,"D"
"20081",1817955,18,0,"1","700","D",1113,"D",0,"D"
"20081",1817955,19,0,"1","800","D",8000,"D",0,"D"
"20081",1817955,20,0,"1","800","D",35000,"D",0,"D"
"20081",1818015,19,0,"1","130","D",6000,"D",8000,"D"
"20081",1818025,22,0,"1","130","D",10000,"D",7000,"D"
"20081",1818055,29,0,"1","130","D",5000,"D",2000,"D"
"20081",1818065,29,0,"1","130","D",2300,"D",2300,"D"
"20081",1818065,30,0,"1","130","D",35,"D",0,"D"
"20081",1818065,31,0,"1","700","D",62,"D",0,"D"
"20081",1818075,18,0,"1","130","D",1600,"D",0,"D"
"20081",1818145,23,0,"1","130","D",300,"D",356,"D"
"20081",1818175,14,0,"1","130","D",10000,"D",6000,"D"
"20081",1818205,26,0,"1","130","D",600,"D",2000,"D"
"20081",1818215,32,0,"1","130","D",2000,"D",2000,"D"
"20081",1818215,33,0,"1","510","D",3000,"D",0,"D"
"20081",1818215,34,0,"1","700","D",108,"D",0,"D"
"20081",1818245,19,0,"1","130","D",2000,"D",0,"D"
"20081",1818255,19,0,"1","130","D",1500,"D",1500,"D"
"20081",1818285,22,0,"1","130","D",4800,"D",7800,"D"
"20081",1818285,23,0,"1","700","D",2000,"D",0,"D"
"20081",1818315,31,0,"1","130","D",500,"D",0,"D"
"20081",1818315,32,0,"1","130","D",300,"D",0,"D"
"20081",1818375,34,0,"1","130","D",5000,"D",12000,"D"
"20081",1818405,22,0,"1","120","D",4000,"F",.,"C"
"20081",1818445,25,0,"1","120","D",1000,"D",0,"D"
"20081",1818445,26,0,"1","800","D",28000,"D",27000,"D"
"20081",1818455,20,0,"1","110","D",1,"D",0,"D"
"20081",1818465,42,0,"1","130","D",5950,"D",0,"D"
"20081",1818465,43,0,"1","200","D",8309,"D",0,"D"
"20081",1818465,44,0,"1","510","D",9500,"D",10000,"D"
"20081",1818545,18,0,"1","130","D",8000,"D",10000,"D"
"20081",1818565,16,0,"1","130","D",400,"D",1000,"D"
"20081",1818595,27,0,"1","130","D",1900,"D",2300,"D"
"20081",1818595,28,0,"1","510","D",18000,"D",23000,"D"
"20081",1818605,23,0,"1","130","D",1000,"D",1500,"D"
"20081",1818625,26,0,"1","130","D",1700,"D",0,"D"
"20081",1818625,27,0,"1","130","D",5000,"D",8000,"D"
"20081",1818625,28,0,"1","510","D",3500,"D",2900,"D"
"20081",1818625,29,0,"1","120","D",200,"D",0,"D"
"20081",1818685,15,0,"1","130","D",210,"D",210,"D"
"20081",1818765,16,0,"1","130","D",1000,"F",.,"C"
"20081",1818765,17,0,"1","800","D",11000,"D",11000,"D"
"20081",1818845,21,0,"1","130","D",4500,"D",0,"D"
"20081",1818855,49,0,"1","800","D",50000,"D",39000,"D"
"20081",1818955,18,0,"1","120","D",200,"D",0,"D"
"20081",1818995,20,0,"1","120","D",700,"D",0,"D"
"20081",1818995,21,0,"1","130","D",14000,"D",10000,"D"
"20081",1818995,22,0,"1","510","D",19000,"D",15000,"D"
"20081",1819035,23,0,"1","120","D",80,"D",0,"D"
"20081",1819035,24,0,"1","120","D",30,"D",100,"D"
"20081",1819065,22,0,"1","130","D",9800,"D",0,"D"
"20081",1819125,28,0,"1","130","D",10500,"D",550,"D"
"20081",1819125,29,0,"1","130","D",20000,"D",0,"D"
"20081",1819205,18,0,"1","110","D",800,"F",.,"C"
"20081",1819205,19,0,"1","130","D",7500,"F",.,"C"
"20081",1819315,19,0,"1","130","D",482,"D",255,"D"
"20081",1819335,25,0,"1","130","D",40,"D",60,"D"
"20081",1819345,17,0,"1","120","D",25,"D",25,"D"
"20081",1819435,19,0,"1","120","D",78,"D",0,"D"
"20081",1819445,34,0,"1","120","D",600,"D",0,"D"
"20081",1819445,35,0,"1","130","D",2000,"D",1000,"D"
"20081",1819475,22,0,"1","110","D",70,"F",.,"C"
"20081",1819475,23,0,"1","120","D",160,"D",.,"C"
"20081",1819475,24,0,"1","120","D",2200,"D",.,"C"
"20081",1819475,25,0,"1","120","D",90,"D",.,"C"
"20081",1819475,26,0,"1","120","D",275,"D",.,"C"
"20081",1819475,27,0,"1","120","D",135,"D",.,"C"
"20081",1819475,28,0,"1","120","D",1700,"D",.,"C"
"20081",1819475,29,0,"1","130","D",3235,"F",.,"C"
"20081",1819475,30,0,"1","200","D",100,"D",.,"C"
"20081",1819475,31,0,"1","200","D",225,"D",.,"C"
"20081",1819505,20,0,"1","130","D",700,"D",0,"D"
"20081",1819515,27,0,"1","130","D",35000,"D",35000,"D"
"20081",1819555,35,0,"1","120","D",1700,"D",400,"D"
"20081",1819555,36,0,"1","130","D",14000,"D",12000,"D"
"20081",1819555,37,0,"1","510","D",17000,"D",18000,"D"
"20081",1819555,38,0,"1","800","D",18000,"D",20000,"D"
"20081",1819605,21,0,"1","130","D",10000,"D",11000,"D"
"20081",1819615,21,0,"1","130","D",14000,"F",.,"C"
"20081",1819635,21,0,"1","130","D",15000,"F",.,"C"
"20081",1819635,22,0,"1","130","D",5000,"D",300,"D"
"20081",1819645,20,0,"1","130","D",11000,"D",11000,"D"
"20081",1819675,27,0,"1","130","D",1357,"D",805,"D"
"20081",1819675,28,0,"1","130","D",607,"D",356,"D"
"20081",1819695,29,0,"1","130","D",300,"D",200,"D"
"20081",1819695,30,0,"1","130","D",400,"D",0,"D"
"20081",1819695,31,0,"1","800","D",5000,"D",5500,"D"
"20081",1819725,19,0,"1","130","D",2200,"D",1600,"D"
"20081",1819735,25,0,"1","130","D",300,"D",0,"D"
"20081",1819795,27,0,"1","130","D",2000,"D",3200,"D"
"20081",1819855,37,0,"1","130","D",2000,"D",1000,"D"
"20081",1819855,38,0,"1","800","D",20000,"D",20000,"D"
"20081",1819865,18,0,"1","800","D",300,"D",300,"D"
"20081",1819945,18,0,"1","130","D",500,"D",0,"D"
"20081",1819945,19,0,"1","130","D",852,"D",0,"D"
"20081",1819955,20,0,"1","130","D",10000,"D",10000,"D"
"20081",1819985,21,0,"1","130","D",586,"D",.,"C"
"20081",1820015,20,0,"1","130","D",10000,"D",.,"C"
"20081",1820045,19,0,"1","130","D",3000,"D",.,"C"
"20081",1820075,19,0,"1","130","D",8000,"D",1500,"D"
"20081",1820185,23,0,"1","120","D",200,"D",400,"D"
"20081",1820185,24,0,"1","120","D",1600,"D",0,"D"
"20081",1820185,25,0,"1","130","D",3400,"D",4000,"D"
"20081",1820195,16,0,"1","130","D",500,"D",0,"D"
"20081",1820225,39,0,"1","120","D",1100,"D",2500,"D"
"20081",1820225,40,0,"1","130","D",6000,"D",12000,"D"
"20081",1820225,41,0,"1","800","D",15490,"D",0,"D"
"20081",1820245,17,0,"1","130","D",1000,"D",1,"D"
"20081",1820275,25,0,"1","120","D",450,"D",.,"C"
"20081",1820275,26,0,"1","130","D",900,"D",500,"D"
"20081",1820275,27,0,"1","130","D",2000,"D",3000,"D"
"20081",1820345,43,0,"1","120","D",108,"D",.,"C"
"20081",1820345,44,0,"1","130","D",226,"D",1000,"D"
"20081",1820405,17,0,"1","130","D",400,"D",600,"D"
"20081",1820405,18,0,"1","130","D",200,"D",400,"D"
"20081",1820455,22,0,"1","110","D",250,"D",.,"C"
"20081",1820475,26,0,"1","120","D",300,"D",300,"D"
"20081",1820475,27,0,"1","130","D",3000,"D",3000,"D"
"20081",1820485,30,0,"1","120","D",1600,"D",1600,"D"
"20081",1820485,31,0,"1","130","D",19000,"F",.,"C"
"20081",1820485,32,0,"1","700","D",7000,"D",7600,"D"
"20081",1820505,27,0,"1","130","D",10000,"D",2000,"D"
"20081",1820535,44,0,"1","130","D",3235,"D",2000,"D"
"20081",1820535,45,0,"1","130","D",16000,"D",14000,"D"
"20081",1820555,24,0,"1","130","D",283,"D",200,"D"
"20081",1820565,33,0,"1","800","D",6000,"D",7000,"D"
"20081",1820615,21,0,"1","130","D",20000,"D",5000,"D"
"20081",1820625,23,0,"1","130","D",4000,"D",1000,"D"
"20081",1820665,20,0,"1","130","D",7000,"D",7000,"D"
"20081",1820705,31,0,"1","130","D",600,"D",1100,"D"
"20081",1820725,20,0,"1","120","D",206,"D",200,"D"
"20081",1820765,27,0,"1","130","D",6000,"D",6000,"D"
"20081",1820805,22,0,"1","130","D",7000,"D",0,"D"
"20081",1820865,17,0,"1","130","D",1000,"D",.,"C"
"20081",1820935,20,0,"1","130","D",7000,"D",6000,"D"
"20081",1820935,21,0,"1","130","D",10000,"D",9000,"D"
"20081",1820975,42,0,"1","120","D",1500,"D",2000,"D"
"20081",1820975,43,0,"1","130","D",3000,"D",1000,"D"
"20081",1820975,44,0,"1","800","D",31000,"D",15000,"D"
"20081",1821105,62,0,"1","130","D",3000,"D",0,"D"
"20081",1821115,17,0,"1","130","D",1000,"F",.,"C"
"20081",1821165,19,0,"1","130","D",1000,"F",.,"C"
"20081",1821215,16,0,"1","130","D",690,"D",1,"D"
"20081",1821235,19,0,"1","130","D",200,"D",0,"D"
"20081",1821245,20,0,"1","110","D",450,"D",.,"C"
"20081",1821245,21,0,"1","130","D",2200,"D",.,"C"
"20081",1821275,22,0,"1","120","D",121,"D",0,"D"
"20081",1821375,18,0,"1","130","D",800,"D",0,"D"
"20081",1821415,43,0,"1","120","D",350,"D",0,"D"
"20081",1821415,44,0,"1","120","D",50,"D",0,"D"
"20081",1821415,45,0,"1","130","D",450,"D",0,"D"
"20081",1821415,46,0,"1","130","D",1650,"D",200,"D"
"20081",1821415,47,0,"1","130","D",12000,"D",8000,"D"
"20081",1821415,48,0,"1","130","D",1300,"D",500,"D"
"20081",1821415,49,0,"1","800","D",4500,"D",4500,"D"
"20081",1821415,50,0,"1","510","D",30000,"D",33000,"D"
"20081",1821415,51,0,"1","700","D",3000,"D",0,"D"
"20081",1821415,52,0,"1","700","D",250,"D",0,"D"
"20081",1821465,24,0,"1","130","D",6500,"D",0,"D"
"20081",1821475,29,0,"1","110","D",700,"D",200,"D"
"20081",1821475,30,0,"1","120","D",4000,"D",4000,"D"
"20081",1821475,31,0,"1","130","D",20000,"D",20000,"D"
"20081",1821485,34,0,"1","800","D",1,"D",60000,"D"
"20081",1821555,27,0,"1","130","D",4500,"D",6000,"D"
"20081",1821565,37,0,"1","120","D",400,"D",.,"C"
"20081",1821565,38,0,"1","130","D",5900,"D",9800,"D"
"20081",1821655,19,0,"1","110","D",100,"D",0,"D"
"20081",1821675,26,0,"1","120","D",200,"D",300,"D"
"20081",1821675,27,0,"1","120","D",400,"D",700,"D"
"20081",1821675,28,0,"1","130","D",300,"D",500,"D"
"20081",1821695,21,0,"1","130","D",4000,"D",6000,"D"
"20081",1821695,22,0,"1","800","D",75000,"D",85000,"D"
"20081",1821775,36,0,"1","800","D",9000,"D",.,"C"
"20081",1821775,37,0,"1","800","D",15000,"D",0,"D"
"20081",1821915,27,0,"1","130","D",6000,"D",9000,"D"
"20081",1821955,25,0,"1","130","D",5200,"D",0,"D"
"20081",1821995,22,0,"1","120","D",175,"D",0,"D"
"20081",1821995,23,0,"1","800","D",8900,"D",0,"D"
"20081",1822005,28,0,"1","120","D",1000,"D",1500,"D"
"20081",1822005,29,0,"1","800","D",900,"D",700,"D"
"20081",1822015,26,0,"1","800","D",26000,"D",12000,"D"
"20081",1822085,23,0,"1","130","D",1700,"D",0,"D"
"20081",1822195,17,0,"1","700","D",1100,"F",0,"D"
"20081",1822265,18,0,"1","130","D",1400,"D",0,"D"
"20081",1822275,19,0,"1","200","D",127,"D",0,"D"
"20081",1822295,17,0,"1","130","D",1000,"D",0,"D"
"20081",1822295,18,0,"1","510","D",500,"D",500,"D"
"20081",1822335,35,0,"1","110","D",175,"F",.,"C"
"20081",1822345,29,0,"1","120","D",200,"D",200,"D"
"20081",1822345,30,0,"1","130","D",2200,"D",0,"D"
"20081",1822345,31,0,"1","800","D",30000,"D",30000,"D"
"20081",1822365,17,0,"1","130","D",1300,"D",1100,"D"
"20081",1822365,18,0,"1","200","D",800,"D",0,"D"
"20081",1822385,34,0,"1","120","D",47,"D",57,"D"
"20081",1822385,35,0,"1","120","D",32,"D",27,"D"
"20081",1822385,36,0,"1","120","D",22,"D",0,"D"
"20081",1822385,37,0,"1","130","D",459,"D",525,"D"
"20081",1822395,25,0,"1","120","D",80,"D",200,"D"
"20081",1822415,29,0,"1","510","D",3000,"F",.,"C"
"20081",1822435,25,0,"1","120","D",150,"D",300,"D"
"20081",1822435,26,0,"1","120","D",650,"D",0,"D"
"20081",1822435,27,0,"1","130","D",4500,"D",5000,"D"
"20081",1822435,28,0,"1","130","D",2800,"D",0,"D"
"20081",1822435,29,0,"1","120","D",1800,"D",600,"D"
"20081",1822445,18,0,"1","130","D",6000,"D",.,"C"
"20081",1822445,19,0,"1","700","D",3000,"D",.,"C"
"20081",1822455,35,0,"1","130","D",1400,"D",1500,"D"
"20081",1822455,36,0,"1","120","D",500,"D",.,"C"
"20081",1822455,37,0,"1","120","D",500,"D",.,"C"
"20081",1822525,23,0,"1","130","D",4000,"D",0,"D"
"20081",1822525,24,0,"1","510","D",12000,"D",0,"D"
"20081",1822555,35,0,"1","130","D",1500,"D",5000,"D"
"20081",1822645,23,0,"1","130","D",10000,"D",12000,"D"
"20081",1822675,44,0,"1","120","D",2000,"D",2500,"D"
"20081",1822675,45,0,"1","120","D",350,"D",0,"D"
"20081",1822675,46,0,"1","130","D",20000,"D",18000,"D"
"20081",1822675,47,0,"1","130","D",4000,"D",7000,"D"
"20081",1822675,48,0,"1","130","D",11000,"D",8000,"D"
"20081",1822675,49,0,"1","130","D",5000,"D",1000,"D"
"20081",1822675,50,0,"1","800","D",11500,"D",13000,"D"
"20081",1822675,51,0,"1","800","D",6800,"D",7500,"D"
"20081",1822675,52,0,"1","800","D",10500,"D",0,"D"
"20081",1822745,18,0,"1","120","D",1000,"D",1000,"D"
"20081",1822745,19,0,"1","120","D",600,"D",0,"D"
"20081",1822785,25,0,"1","130","D",1356,"D",700,"D"
"20081",1822785,26,0,"1","110","D",120,"D",90,"D"
"20081",1822895,18,0,"1","800","D",6000,"D",6700,"D"
"20081",1822925,32,0,"1","130","D",3500,"D",3150,"D"
"20081",1822925,33,0,"1","800","D",20230,"D",24000,"D"
"20081",1822985,26,0,"1","130","D",2000,"D",2000,"D"
"20081",1823025,20,0,"1","120","D",100,"F",.,"C"
