"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20081",1817755,34,0,"5","01","D","110","D","2006","D",.,"A",36,"D","04","D",329,"D","3","D",.,"A",3500,"D",.,"A",.,"A","","A",329,"D",329,"D",329,"D",.,"A",.,"A",.,"A",.,"A",.,"A","DODAD","D","","A"
"20081",1817755,35,0,"1","02","D","110","D","2006","D",.,"A",36,"D","04","D",339,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",339,"D",339,"D",339,"D",.,"A",.,"A",.,"A",.,"A",.,"A","DODAD","D","","A"
"20081",1818245,29,0,"5","01","D","100","D","2007","D",.,"A",24,"D","01","D",342,"D","3","D",.,"A",.,"A",4000,"D",.,"A","","A",342,"D",342,"D",342,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","DODXX","D","","A"
"20081",1818465,68,0,"5","01","D","100","D","2005","D",.,"A",60,"D","02","D",225,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",225,"D",225,"D",225,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBN","D","","A"
"20081",1818625,49,0,"1","01","D","100","D","2008","D",.,"A",36,"D","03","D",279,"D","3","D",.,"A",.,"A",3000,"D",.,"A","","A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",3000,"D",.,"A","TOYAC","D","","A"
"20081",1818855,65,0,"5","02","D","110","D","2007","D",.,"A",37,"D","07","D",396,"D","3","D",.,"A",.,"A",1200,"D",.,"A","","A",396,"D",396,"D",396,"D",.,"A",.,"A",.,"A",1200,"D",.,"A","MECAF","D","","A"
"20081",1818855,66,0,"5","03","D","100","D","2007","D",.,"A",24,"D","06","D",406,"D","3","D",.,"A",.,"A",1000,"D",.,"A","","A",406,"D",406,"D",406,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","MAZXX","D","","A"
"20081",1818955,26,0,"5","01","D","100","D","2006","D",.,"A",36,"D","01","D",310,"D","3","D",.,"A",1000,"D",200,"D",.,"A","","A",310,"D",310,"D",310,"D",.,"A",.,"A",.,"A",200,"D",.,"A","BUIAQ","D","","A"
"20081",1818975,37,0,"5","02","D","110","D","2007","D",.,"A",24,"D","06","D",251,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",251,"D",251,"D",251,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAB","D","","A"
"20081",1819215,37,0,"5","01","D","110","D","2005","D",.,"A",36,"D","07","D",299,"D","3","D",.,"A",.,"A",3600,"D",.,"A","","A",299,"D",299,"D",299,"D",.,"A",.,"A",.,"A",3600,"D",.,"A","FORAM","D","","A"
"20081",1819445,48,0,"5","01","D","110","D","2006","D",.,"A",36,"D","08","D",398,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",398,"D",398,"D",398,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAQ","D","","A"
"20081",1819515,41,0,"5","01","D","100","D","2006","D",.,"A",48,"D","01","D",259,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",259,"D",259,"D",259,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MAZXX","D","","A"
"20081",1819955,33,0,"5","01","D","100","D","2004","D",.,"A",36,"D","11","D",697,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",697,"D",697,"D",697,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAK","D","","A"
"20081",1820345,63,0,"5","02","D","100","D","2007","D",.,"A",36,"D","09","D",250,"D","3","D",.,"A",.,"A",1150,"D",.,"A","","A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",1150,"D",.,"A","TOYAC","D","","A"
"20081",1820435,24,0,"5","01","D","100","D","2007","D",.,"A",39,"D","01","D",245,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",245,"D",245,"D",245,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D","","A"
"20081",1820535,63,0,"5","01","D","100","D","2006","D",.,"A",27,"D","12","D",310,"D","3","D",.,"A",.,"A",1700,"D",.,"A","","A",310,"D",310,"D",310,"D",.,"A",.,"A",.,"A",1700,"D",.,"A","JEEAJ","D","","A"
"20081",1820595,36,0,"5","01","D","110","D","2007","D",.,"A",24,"D","04","D",215,"D","3","D",.,"A",5000,"D",.,"A",.,"A","","A",215,"D",215,"D",215,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MAZXX","D","","A"
"20081",1820805,34,0,"5","01","D","110","D","1996","D",.,"A",36,"D","11","D",396,"D","3","D",.,"A",.,"A",1500,"D",.,"A","","A",396,"D",396,"D",396,"D",.,"A",.,"A",.,"A",1500,"D",.,"A","GMCAM","D","","A"
"20081",1820905,25,0,"5","02","D","100","D","2007","D",.,"A",36,"D","09","D",227,"D","3","D",.,"A",.,"A",1800,"D",.,"A","","A",227,"D",227,"D",227,"D",.,"A",.,"A",.,"A",1800,"D",.,"A","HONAA","D","","A"
"20081",1821115,28,0,"5","01","D","100","D","2005","D",.,"A",36,"D","01","F",583,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",583,"D",583,"D",583,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHRAA","D","","A"
"20081",1821115,29,0,"5","02","D","100","D","2005","D",.,"A",.,"C","08","F",683,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",683,"D",683,"D",683,"D",.,"A",.,"A",.,"A",.,"A",.,"A","DODBG","D","","A"
"20081",1821635,45,0,"5","01","D","110","D","2005","D",.,"A",48,"D","11","D",476,"D","3","D",.,"A",7000,"D",3500,"D",.,"A","","A",476,"D",476,"D",476,"D",.,"A",.,"A",.,"A",3500,"D",.,"A","LEXAE","D","","A"
"20081",1821875,29,0,"5","01","D","100","D","2006","D",.95,"D",36,"D","05","D",680,"D","3","D",500,"D",.,"A",2500,"D",2500,"D","12","D",180,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A","BMWAA","D","","A"
"20081",1822235,35,0,"5","01","D","100","D","2005","D",.,"A",39,"D","06","D",450,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",450,"D",450,"D",450,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAA","D","","A"
"20081",1822455,56,0,"5","01","D","110","D","2005","D",.,"A",48,"D","02","D",500,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBE","D","","A"
"20081",1822535,26,0,"5","02","D","110","D","2007","D",.,"A",60,"D","08","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A","","A",400,"F",400,"F",400,"F",.,"A",.,"A",.,"A",.,"A",.,"A","NISAF","D","","A"
"20081",1823455,32,0,"5","01","D","110","D","2001","D",.,"A",60,"D","02","D",245,"D","3","D",.,"A",.,"A",.,"A",.,"A","","A",245,"D",245,"D",245,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBG","D","","A"
"20081",1823525,49,0,"5","01","D","100","D","2006","D",.,"A",24,"D","01","D",595,"D","3","D",.,"A",.,"A",1600,"D",.,"A","12","D",595,"D",595,"D",595,"D",.,"A",.,"A",.,"A",1600,"D",.,"A","BMWAN","D","","A"
"20081",1823525,50,0,"1","02","D","100","D","2007","D",.,"A",24,"D","01","D",518,"D","3","D",.,"A",.,"A",2500,"D",.,"A","","A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2500,"D",.,"A","BMWAA","D","","A"
"20081",1823675,31,0,"5","01","D","110","D","2005","D",.,"A",30,"D","08","D",437,"D","3","D",.,"A",.,"A",1400,"D",.,"A","","A",437,"D",437,"D",437,"D",.,"A",.,"A",.,"A",1400,"D",.,"A","CHEBP","D","","A"
"20081",1823675,32,0,"5","02","D","110","D","2007","D",.2,"D",48,"D","10","D",449,"D","3","D",.,"A",.,"C",1200,"D",.,"A","","A",449,"D",449,"D",449,"D",20,"D",20,"D",20,"D",1200,"D",.,"A","CHEAZ","D","","A"
"20081",1824015,38,0,"5","01","D","110","D","2005","D",.,"A",36,"D","11","D",358,"D","3","D",.,"A",2500,"D",.,"A",.,"A","","A",358,"D",358,"D",358,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAI","D","","A"
