"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD"
"20081",1817665,45,0,"1",1950,"D",520,"D",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",1430,"D","2","D"
"20081",1817685,37,0,"1",650,"D",168,"F",.,"A",390,"D",216,"F",.,"A",.,"A",.,"A",764,"F","2","D"
"20081",1817695,39,0,"1",3250,"D",325,"D",650,"D",1300,"D",150,"D",.,"A",.,"A",240,"D",2925,"D","2","D"
"20081",1817705,71,0,"1",1820,"D",520,"D",.,"A",208,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20081",1817735,43,0,"1",260,"D",130,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",130,"D","2","D"
"20081",1817745,59,0,"1",1690,"D",390,"D",260,"D",780,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20081",1817755,47,0,"1",455,"D",65,"D",130,"D",65,"D",.,"A",.,"A",.,"A",.,"A",390,"D","2","D"
"20081",1817765,33,0,"1",1300,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20081",1817805,56,0,"1",975,"D",65,"D",.,"A",195,"D",0,"D",.,"A",.,"A",.,"A",910,"D","2","D"
"20081",1817835,38,0,"1",780,"D",130,"D",156,"D",130,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20081",1817855,38,0,"1",364,"D",165,"F",.,"A",325,"D",.,"A",.,"A",.,"A",.,"A",604,"F","2","D"
"20081",1817865,36,0,"1",1300,"D",130,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D"
"20081",1817875,63,0,"1",1300,"D",0,"D",65,"D",130,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D"
"20081",1817885,57,0,"1",780,"D",65,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",715,"D","2","D"
"20081",1817895,55,0,"1",325,"D",65,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",260,"D","2","D"
"20081",1817905,70,0,"1",2067,"D",0,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",2067,"D","2","D"
"20081",1817915,41,0,"1",455,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",455,"D","2","D"
"20081",1817925,57,0,"1",1950,"D",780,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",1170,"D","2","D"
"20081",1817945,49,0,"1",1040,"D",260,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D"
"20081",1817955,41,0,"1",260,"D",65,"D",.,"A",1820,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D"
"20081",1817985,35,0,"1",520,"D",65,"D",130,"D",0,"D",0,"D",.,"A",.,"A",.,"A",455,"D","2","D"
"20081",1817995,54,0,"1",3250,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",2925,"D","2","D"
"20081",1818005,55,0,"1",975,"D",260,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",715,"D","2","D"
"20081",1818015,60,0,"1",910,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20081",1818025,66,0,"1",975,"D",260,"D",.,"A",455,"D",375,"D",.,"A",.,"A",.,"A",715,"D","2","D"
"20081",1818035,50,0,"1",260,"D",0,"D",.,"A",390,"D",150,"D",.,"A",.,"A",.,"A",260,"D","2","D"
"20081",1818055,68,0,"1",650,"D",130,"D",.,"A",195,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D"
"20081",1818065,79,0,"1",650,"D",130,"D",.,"A",520,"D",.,"A",144,"D",576,"D",192,"D",520,"D","2","D"
"20081",1818075,60,0,"1",1560,"D",520,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",1040,"D","2","D"
"20081",1818125,27,0,"1",1040,"D",130,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",910,"D","2","D"
"20081",1818135,45,0,"1",650,"D",0,"D",975,"D",104,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D"
"20081",1818145,50,0,"1",585,"D",130,"D",455,"D",195,"D",.,"A",.,"A",.,"A",.,"A",455,"D","2","D"
"20081",1818175,38,0,"1",559,"D",0,"D",.,"A",260,"D",0,"D",.,"A",.,"A",.,"A",559,"D","2","D"
