"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20081",1817895,44,0,"1",1,"D",.,"H","","A"
"20081",1817895,44,1,"1",.,"A",21,"E","120","D"
"20081",1817895,44,2,"1",.,"A",5,"E","140","D"
"20081",1817895,44,3,"1",.,"A",150,"E","150","D"
"20081",1817895,44,4,"1",.,"A",8,"E","160","D"
"20081",1817895,44,5,"1",.,"A",6,"E","170","D"
"20081",1817895,44,6,"1",.,"A",10,"E","190","D"
"20081",1817945,40,0,"1",1,"D",.,"H","","A"
"20081",1817945,40,1,"1",.,"A",44,"E","100","D"
"20081",1817945,40,2,"1",.,"A",16,"E","110","D"
"20081",1819065,47,0,"1",1,"D",.,"H","","A"
"20081",1819065,47,1,"1",.,"A",9,"E","120","D"
"20081",1819065,47,2,"1",.,"A",78,"E","150","D"
"20081",1819065,47,3,"1",.,"A",13,"E","190","D"
"20081",1819475,59,0,"1",4,"D",.,"H","","A"
"20081",1819475,59,1,"1",.,"A",2,"E","100","D"
"20081",1819475,59,2,"1",.,"A",1,"E","110","D"
"20081",1819475,59,3,"1",.,"A",1,"E","120","D"
"20081",1819475,59,4,"1",.,"A",6,"E","130","D"
"20081",1819475,59,5,"1",.,"A",6,"E","140","D"
"20081",1819475,59,6,"1",.,"A",11,"E","150","D"
"20081",1819475,59,7,"1",.,"A",1,"E","200","D"
"20081",1819475,59,8,"1",.,"A",2,"E","210","D"
"20081",1820075,38,0,"1",3,"D",.,"H","","A"
"20081",1820075,38,1,"1",.,"A",113,"E","100","D"
"20081",1820075,38,2,"1",.,"A",15,"E","110","D"
"20081",1820075,38,3,"1",.,"A",347,"E","130","D"
"20081",1820475,61,0,"1",1,"D",.,"H","","A"
"20081",1820475,61,1,"1",.,"A",106,"E","100","D"
"20081",1820475,61,2,"1",.,"A",14,"E","110","D"
"20081",1820535,101,0,"1",2,"D",.,"H","","A"
"20081",1820535,101,1,"1",.,"A",19,"E","200","D"
"20081",1820535,101,2,"1",.,"A",25,"E","210","D"
"20081",1820535,101,3,"1",.,"A",6,"E","220","D"
"20081",1820665,88,0,"1",1,"D",.,"H","","A"
"20081",1820665,88,1,"1",.,"A",35,"E","100","D"
"20081",1820665,88,2,"1",.,"A",15,"E","110","D"
"20081",1821105,104,0,"1",1,"D",.,"H","","A"
"20081",1821105,104,1,"1",.,"A",8,"E","100","D"
"20081",1821105,104,2,"1",.,"A",3,"E","110","D"
"20081",1821105,104,3,"1",.,"A",5,"E","200","D"
"20081",1821105,104,4,"1",.,"A",6,"E","210","D"
"20081",1821105,104,5,"1",.,"A",1,"E","220","D"
"20081",1821185,57,0,"1",2,"D",.,"H","","A"
"20081",1821185,57,1,"1",.,"A",5,"E","100","D"
"20081",1821185,57,2,"1",.,"A",1,"E","110","D"
"20081",1821185,57,3,"1",.,"A",2,"E","200","D"
"20081",1821185,57,4,"1",.,"A",2,"E","210","D"
"20081",1821685,71,0,"1",5,"D",.,"H","","A"
"20081",1821685,71,1,"1",.,"A",163,"E","100","D"
"20081",1821685,71,2,"1",.,"A",77,"E","110","D"
"20081",1821735,43,0,"1",16,"D",.,"H","","A"
"20081",1821735,43,1,"1",.,"A",765,"E","100","D"
"20081",1821735,43,2,"1",.,"A",535,"E","110","D"
