"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20081",1817695,16,0,"1",.,"A",.,"A",250,"D",.,"A",.,"A",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A"
"20081",1817705,15,0,"1",.,"A",.,"A",.,"A",16,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1817745,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",30,"D"
"20081",1817805,21,0,"1",.,"A",.,"A",25,"D",50,"D",.,"A",7,"D",35,"D",.,"A",.,"A",13,"D",2,"D"
"20081",1817865,14,0,"1",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1817875,24,0,"1",.,"A",.,"A",70,"D",25,"D",.,"A",.,"A",.,"A",32,"D",.,"A",8,"D",.,"A"
"20081",1817885,17,0,"1",.,"A",.,"A",10,"D",.,"A",28,"F",.,"A",.,"A",.,"A",7,"D",.,"A",.,"A"
"20081",1817895,20,0,"1",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D"
"20081",1817945,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",16,"D",34,"D",.,"A",.,"A"
"20081",1817955,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",0,"D"
"20081",1817985,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,"D"
"20081",1817995,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",120,"D",30,"D",.,"A",.,"A",.,"A"
"20081",1818005,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",19,"D",.,"A"
"20081",1818025,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D"
"20081",1818035,25,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818055,27,0,"1",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818065,27,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",23,"D",40,"D",.,"A",24,"D",11,"D"
"20081",1818075,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D"
"20081",1818135,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",.,"A",30,"D",68,"D",3,"D"
"20081",1818145,22,0,"1",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",300,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1818185,19,0,"1",.,"A",27,"D",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818205,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1818215,31,0,"1",.,"A",15,"D",.,"A",.,"A",.,"A",7,"D",.,"A",27,"D",.,"A",.,"A",17,"D"
"20081",1818235,20,0,"1",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",150,"D",.,"A",.,"A",136,"D",30,"D"
"20081",1818255,16,0,"1",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1818285,20,0,"1",.,"A",.,"A",9,"D",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1818305,26,0,"1",.,"A",.,"A",.,"A",15,"D",.,"A",80,"D",.,"A",20,"D",.,"A",20,"D",.,"A"
"20081",1818315,26,0,"1",.,"A",.,"A",150,"D",30,"D",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A"
"20081",1818325,23,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",60,"D",.,"A"
"20081",1818345,17,0,"1",.,"A",.,"A",57,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818365,20,0,"1",.,"A",.,"A",34,"D",.,"A",.,"A",.,"A",.,"A",16,"D",.,"A",16,"D",.,"A"
"20081",1818375,32,0,"1",.,"A",.,"A",56,"D",.,"A",.,"A",9,"D",15,"D",.,"A",.,"A",30,"D",.,"A"
"20081",1818385,23,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",490,"D",18,"D",.,"A",.,"A",.,"A"
"20081",1818395,13,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818405,21,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",18,"D",16,"D",.,"A",10,"D",.,"A"
"20081",1818445,22,0,"1",150,"D",.,"A",140,"D",.,"A",.,"A",.,"A",.,"A",11,"D",.,"A",65,"D",46,"D"
"20081",1818455,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",23,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818465,34,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",49,"D",0,"D",.,"A",20,"D",.,"A"
"20081",1818495,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",26,"D",.,"A"
"20081",1818545,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",22,"D",.,"A",.,"A",150,"D",.,"A"
"20081",1818555,13,0,"1",.,"A",.,"A",.,"A",0,"D",0,"D",.,"A",0,"D",0,"D",160,"D",0,"D",.,"A"
"20081",1818595,24,0,"1",50,"D",.,"A",.,"A",13,"D",.,"A",.,"A",.,"A",.,"A",40,"D",35,"D",.,"A"
"20081",1818605,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",10,"D"
"20081",1818625,23,0,"1",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",80,"D"
"20081",1818675,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",18,"D",.,"A"
"20081",1818715,18,0,"1",.,"A",.,"A",25,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",25,"D"
"20081",1818765,15,0,"1",100,"D",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",9,"D"
"20081",1818775,30,0,"1",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",20,"D"
"20081",1818785,17,0,"1",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818795,22,0,"1",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818845,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",27,"D",.,"A",.,"A",.,"A"
"20081",1818855,47,0,"1",.,"A",.,"A",75,"D",50,"D",.,"A",40,"D",.,"A",108,"D",.,"A",2,"D",.,"A"
"20081",1818915,14,0,"1",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1818975,17,0,"1",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A"
"20081",1818995,18,0,"1",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819025,29,0,"1",.,"A",.,"A",84,"D",24,"D",0,"D",0,"D",0,"D",24,"D",.,"A",26,"D",.,"A"
"20081",1819035,20,0,"1",.,"A",.,"A",.,"A",18,"D",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819065,20,0,"1",.,"A",400,"D",300,"D",100,"D",.,"A",.,"A",.,"A",50,"D",.,"A",40,"D",.,"A"
"20081",1819125,27,0,"1",1200,"D",.,"A",90,"D",.,"A",.,"A",.,"A",180,"D",.,"A",.,"A",150,"D",.,"A"
"20081",1819155,16,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819165,15,0,"1",.,"A",12,"D",.,"A",.,"A",.,"A",.,"A",35,"D",12,"D",.,"A",.,"A",.,"A"
"20081",1819205,17,0,"1",.,"A",.,"A",12,"D",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819215,21,0,"1",.,"A",24,"D",40,"D",75,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D"
"20081",1819225,13,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",5,"D",.,"A"
"20081",1819255,14,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D"
"20081",1819315,17,0,"1",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",42,"D",.,"A",.,"A",.,"A"
"20081",1819335,23,0,"1",148,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819375,35,0,"1",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",60,"D",10,"D",.,"A",.,"A",.,"A"
"20081",1819385,22,0,"1",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819415,14,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",37,"D",40,"D",.,"A",.,"A"
"20081",1819465,21,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",32,"D",.,"A",.,"A",.,"A"
"20081",1819475,19,0,"1",.,"A",.,"A",70,"D",.,"A",20,"D",45,"D",.,"A",30,"D",.,"A",0,"D",3,"D"
"20081",1819505,19,0,"1",.,"A",.,"A",120,"D",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",75,"D",10,"D"
"20081",1819515,24,0,"1",.,"A",.,"A",50,"D",100,"D",14,"D",.,"A",.,"A",70,"D",.,"A",48,"D",.,"A"
"20081",1819555,31,0,"1",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",46,"D",18,"D",20,"D"
"20081",1819575,19,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D",29,"D",.,"A"
"20081",1819605,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",500,"D",.,"A",.,"A"
"20081",1819615,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",9,"D",.,"A",.,"A",.,"A"
"20081",1819635,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A"
"20081",1819665,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1819675,25,0,"1",.,"A",.,"A",45,"D",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A"
"20081",1819695,28,0,"1",.,"A",.,"A",70,"D",.,"A",.,"A",.,"A",.,"A",12,"D",.,"A",100,"D",72,"D"
"20081",1819725,17,0,"1",.,"A",80,"D",44,"D",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A"
"20081",1819735,23,0,"1",.,"A",.,"A",.,"A",.,"A",10,"D",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20081",1819755,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",10,"D",.,"A",.,"A",.,"A"
