"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20081",1821875,37,0,"1","03","D","300","D","3","D",.,"A",.,"A","01","D","2008","D"
"20081",1834125,46,0,"1","02","D","200","D","1","D",.,"A",.,"A","01","D","2007","D"
"20081",1834305,39,0,"2","02","D","300","D","1","D",20000,"D",0,"D","10","D","2007","D"
"20081",1835985,41,0,"1","02","D","300","D","2","D",.,"A",.,"A","12","D","2007","D"
"20081",1836915,32,0,"1","01","D","100","D","2","D",.,"A",.,"A","11","D","2007","D"
"20081",1845264,47,0,"1","02","D","500","D","1","D",.,"A",.,"A","01","D","2008","D"
"20081",1848495,29,0,"2","02","D","300","D","1","D",120500,"T",15000,"D","12","D","2007","D"
"20081",1851394,32,0,"2","02","D","200","D","3","D",.,"A",.,"A","11","D","2007","D"
"20081",1861763,54,0,"1","03","D","300","D","1","D",.,"A",.,"A","02","D","2008","D"
"20081",1864535,31,0,"1","01","D","500","D","2","D",.,"A",.,"A","11","D","2007","D"
"20081",1865893,52,0,"1","03","D","500","D","1","D",.,"A",.,"A","01","D","2008","D"
"20081",1867293,67,0,"1","04","D","400","D","1","D",.,"A",.,"A","01","D","2008","D"
"20081",1872063,50,0,"1","01","D","200","D","1","D",.,"A",.,"A","01","D","2008","D"
"20081",1872063,51,0,"1","02","D","400","D","3","D",.,"A",.,"A","12","D","2007","D"
"20081",1873225,27,0,"1","01","D","200","D","3","D",.,"A",.,"A","12","D","2007","D"
"20081",1882325,37,0,"1","02","D","200","D","3","D",.,"A",.,"A","10","D","2007","D"
"20081",1886572,45,0,"1","06","D","500","D","1","D",.,"A",.,"A","12","D","2007","D"
"20081",1889512,58,0,"1","02","D","200","D","2","D",.,"A",.,"A","12","D","2007","D"
"20081",1890562,42,0,"1","02","D","200","D","1","D",.,"A",.,"A","12","D","2007","D"
"20081",1894852,71,0,"1","03","D","500","D","3","D",.,"A",.,"A","10","D","2007","D"
"20081",1894852,72,0,"1","04","D","500","D","3","D",.,"A",.,"A","11","D","2007","D"
"20081",1894852,73,0,"1","05","D","500","D","3","D",.,"A",.,"A","11","D","2007","D"
"20081",1895982,48,0,"1","02","D","200","D","2","D",.,"A",.,"A","12","D","2007","D"
"20081",1899492,31,0,"1","02","D","300","D","2","D",.,"A",.,"A","12","D","2007","D"
"20081",1903333,41,0,"1","01","D","200","D","3","D",.,"A",.,"A","01","D","2008","D"
"20081",1905364,31,0,"1","01","D","200","D","1","D",.,"A",.,"A","01","D","2008","D"
"20081",1905522,53,0,"1","03","D","200","D","1","D",.,"A",.,"A","12","D","2007","D"
"20082",1846765,52,0,"1","04","D","400","D","1","D",498167,"T",2000,"D","03","D","2008","D"
"20082",1846855,29,0,"1","02","D","300","D","1","D",120500,"V",2400,"F","01","D","2008","D"
"20082",1849425,59,0,"1","02","D","300","D","1","D",120500,"T",8000,"D","04","D","2008","D"
"20082",1852955,49,0,"1","03","D","300","D","2","D",.,"A",.,"A","03","D","2008","D"
"20082",1855695,50,0,"1","02","D","400","D","3","D",.,"A",.,"A","04","D","2007","D"
"20082",1855695,51,0,"1","03","D","400","D","3","D",.,"A",.,"A","03","D","2007","D"
"20082",1860135,37,0,"1","03","D","300","D","1","D",7000,"D",200,"D","02","D","2008","D"
"20082",1861024,52,0,"1","02","D","400","D","2","D",.,"A",.,"A","02","D","2008","D"
"20082",1861024,53,0,"1","03","D","400","D","3","D",.,"A",.,"A","02","D","2008","D"
"20082",1862994,43,0,"1","02","D","500","D","2","D",.,"A",.,"A","02","D","2008","D"
"20082",1863574,82,0,"1","02","D","300","D","3","D",.,"A",.,"A","04","D","2008","D"
"20082",1867404,52,0,"1","02","D","300","D","2","D",.,"A",.,"A","03","D","2008","D"
"20082",1869675,40,0,"1","03","D","200","D","1","D",127000,"D",2400,"D","02","D","2008","D"
"20082",1874934,56,0,"1","04","D","300","D","3","D",.,"A",.,"A","04","D","2008","D"
"20082",1875664,40,0,"1","01","D","100","D","1","D",350000,"F",2000,"F","04","D","2008","D"
