"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20081",1821275,46,0,"1","420","D","01","D",8,"D","","A","","A","","A","","A"
"20081",1821275,47,0,"1","420","D","02","D",8,"D","","A","","A","","A","","A"
"20081",1821275,48,0,"1","420","D","12","D",8,"D","","A","","A","","A","","A"
"20081",1821465,86,0,"1","420","D","12","D",18,"D","","A","","A","","A","","A"
"20081",1821465,87,0,"1","420","D","12","D",59,"D","","A","","A","","A","","A"
"20081",1821475,92,0,"1","420","D","12","D",65,"D","","A","","A","","A","","A"
"20081",1821565,103,0,"1","420","D","01","D",60,"D","","A","","A","","A","","A"
"20081",1821565,104,0,"1","410","D","01","D",29,"D","","A","","A","","A","","A"
"20081",1821595,33,0,"1","420","D","02","D",32,"D","","A","","A","","A","","A"
"20081",1821605,54,0,"1","420","D","12","D",54,"D","","A","","A","","A","","A"
"20081",1821695,56,0,"1","400","D","01","D",36,"D","","A","","A","","A","","A"
"20081",1821725,39,0,"2","400","D","10","D",25,"D","","A","","A","","A","","A"
"20081",1821765,51,0,"1","420","D","01","D",150,"D","","A","","A","","A","","A"
"20081",1821775,69,0,"1","410","D","11","D",75,"D","","A","","A","","A","","A"
"20081",1821795,59,0,"1","420","D","01","D",78,"D","","A","","A","","A","","A"
"20081",1821845,36,0,"1","420","D","01","D",180,"D","","A","","A","","A","","A"
"20081",1821905,55,0,"1","420","D","11","D",75,"D","","A","","A","","A","","A"
"20081",1821915,57,0,"1","410","D","11","D",45,"D","","A","","A","","A","","A"
"20081",1822005,83,0,"1","420","D","12","D",200,"D","","A","","A","","A","","A"
"20081",1822225,76,0,"2","420","D","12","D",24,"D","","A","","A","","A","","A"
"20081",1822225,77,0,"2","420","D","12","D",65,"D","","A","","A","","A","","A"
"20081",1822235,59,0,"1","420","D","12","D",41,"D","","A","","A","","A","","A"
"20081",1822235,60,0,"2","400","D","12","D",40,"D","","A","","A","","A","","A"
"20081",1822265,45,0,"1","410","D","02","D",26,"D","","A","","A","","A","","A"
"20081",1822265,46,0,"1","420","D","01","D",56,"D","","A","","A","","A","","A"
"20081",1822275,54,0,"1","400","D","02","D",40,"D","","A","","A","","A","","A"
"20081",1822345,74,0,"1","400","D","12","D",23,"D","","A","","A","","A","","A"
"20081",1822345,75,0,"1","430","D","12","D",.,"H","425","D","415","D","","A","","A"
"20081",1822345,75,1,"1","420","D","12","D",71,"E","","A","","A","","A","","A"
"20081",1822345,75,2,"1","420","D","12","D",22,"E","","A","","A","","A","","A"
"20081",1822385,93,0,"1","410","D","11","D",60,"D","","A","","A","","A","","A"
"20081",1822385,94,0,"1","410","D","12","D",72,"D","","A","","A","","A","","A"
"20081",1822385,95,0,"1","420","D","11","D",36,"D","","A","","A","","A","","A"
"20081",1822385,96,0,"1","420","D","12","D",36,"D","","A","","A","","A","","A"
"20081",1822395,57,0,"1","420","D","01","D",85,"D","","A","","A","","A","","A"
