"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20091",1946714,39,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1946924,79,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1946974,64,0,"5","01","D","100","D","1","D",.0475,"D",984,"D",1716,"D","01","D",82900,"D"
"20091",1947014,43,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",23500,"D"
"20091",1947054,47,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1947074,51,0,"5","01","D","100","D","1","D",.0475,"D",461,"D",-64,"D","01","D",38824,"D"
"20091",1947244,32,0,"5","01","D","100","D","1","D",.0475,"D",14,"F",561,"F","01","D",1200,"F"
"20091",1947514,62,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",20000,"D"
"20091",1947974,40,0,"5","01","D","100","D","1","D",.0475,"D",356,"D",844,"D","01","D",30000,"D"
"20091",1948034,97,0,"5","01","D","100","D","1","D",.0475,"D",297,"D",778,"D","01","D",25000,"D"
"20091",1948104,44,0,"5","01","D","100","D","1","D",.0475,"D",475,"D",-75,"D","01","D",40000,"D"
"20091",1948184,42,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",30000,"D"
"20091",1948344,46,0,"5","01","D","100","D","1","D",.0475,"D",84,"D",4416,"D","01","D",7100,"D"
"20091",1948354,60,0,"5","01","D","100","D","1","D",.0475,"D",689,"D",2961,"D","01","D",58000,"D"
"20091",1948484,58,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1948494,53,0,"5","01","D","100","D","1","D",.0475,"D",238,"D",512,"D","01","D",20000,"D"
"20091",1948834,51,0,"5","01","D","100","D","1","D",.0475,"D",435,"D",2265,"D","01","D",36600,"D"
"20091",1948994,89,0,"5","01","D","100","D","1","D",.0475,"D",192,"D",1008,"D","01","D",16200,"D"
"20091",1949184,60,0,"5","01","D","100","D","1","D",.0475,"D",131,"D",2269,"D","01","D",11000,"D"
"20091",1949234,92,0,"5","01","D","100","D","1","D",.0475,"D",2624,"D",2676,"D","01","D",220937,"D"
"20091",1949584,44,0,"5","01","D","100","D","1","D",.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1949794,60,0,"5","01","D","100","D","1","D",.0475,"D",71,"D",583,"D","01","D",6000,"D"
"20091",1949824,32,0,"5","01","D","100","D","2","D",.0475,"D",2351,"F",-579,"F","01","D",198000,"F"
"20091",1949884,56,0,"5","01","D","100","D","1","D",.0475,"D",127,"D",1073,"D","01","D",10700,"D"
"20091",1950074,50,0,"5","01","D","100","D","1","D",.0475,"D",1425,"D",-60,"D","01","D",120000,"D"
"20091",1950344,40,0,"5","01","D","100","D","1","D",.0475,"D",576,"D",24,"D","01","D",48500,"D"
"20091",1950464,44,0,"5","01","D","100","D","1","D",.0475,"D",32,"D",283,"D","01","D",2700,"D"
"20091",1950894,85,0,"5","01","D","100","D","1","D",.0475,"D",59,"D",166,"D","01","D",5000,"D"
"20091",1951013,51,0,"5","01","D","100","D","1","D",.0475,"D",249,"D",2901,"D","01","D",21000,"D"
"20091",1951033,57,0,"5","01","D","100","D","1","D",.0475,"D",343,"D",257,"D","01","D",28900,"D"
"20091",1951063,41,0,"5","01","D","100","D","1","D",.0475,"D",71,"D",255,"D","01","D",6000,"D"
"20091",1951224,38,0,"5","01","D","100","D","1","D",.0475,"D",249,"F",29729,"V","01","D",21000,"F"
"20091",1951513,44,0,"5","01","D","100","D","1","D",.0475,"D",1333,"D",-337,"D","01","D",112285,"D"
"20091",1951583,51,0,"5","01","D","100","D","1","D",.0475,"D",65,"D",1435,"D","01","D",5500,"D"
"20091",1951703,96,0,"5","01","D","100","D","1","D",.0475,"D",950,"D",706,"D","01","D",80000,"D"
"20091",1951713,78,0,"5","01","D","100","D","1","D",.0475,"D",59,"F",151,"F","01","D",4990,"F"
"20091",1951753,40,0,"5","01","D","100","D","1","D",.0475,"D",3,"D",214,"D","01","D",217,"D"
"20091",1952033,53,0,"5","01","D","100","D","1","D",.0475,"D",2197,"D",2384,"D","01","D",185000,"D"
"20091",1952033,54,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","02","D",0,"D"
"20091",1952513,35,0,"5","01","D","100","D","2","D",.0475,"D",59,"F",694,"F","01","D",5000,"F"
"20091",1952633,40,0,"5","01","D","100","D","1","D",.0475,"D",183,"D",645,"D","01","D",15438,"D"
"20091",1952703,56,0,"5","01","D","100","D","1","D",.0475,"D",404,"D",2337,"D","01","D",34000,"D"
"20091",1952984,45,0,"5","01","D","500","D","1","D",.0475,"D",950,"F",706,"F","02","D",80000,"F"
"20091",1952984,46,0,"5","01","D","500","D","1","D",.0475,"D",144,"F",516,"F","01","D",12130,"F"
"20091",1953123,59,0,"5","01","D","100","D","1","D",.0475,"D",50,"D",700,"D","01","D",4200,"D"
"20091",1953643,41,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1954113,27,0,"5","01","D","100","D","1","D",.0475,"D",71,"F",229,"F","01","D",6000,"F"
"20091",1954153,45,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1954713,49,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1954865,42,0,"5","01","D","100","D","1","D",.0475,"D",1425,"D",6,"D","01","D",120000,"D"
"20091",1954873,47,0,"5","01","D","100","D","1","D",.0475,"D",199,"D",763,"D","01","D",16795,"D"
"20091",1954893,41,0,"5","01","D","100","D","1","D",.0475,"D",202,"D",2798,"D","01","D",17000,"D"
"20091",1955133,47,0,"5","01","D","100","D","2","D",.0475,"D",2197,"F",2384,"F","01","D",185000,"F"
"20091",1955253,27,0,"5","01","D","100","D","2","D",.0475,"D",89,"F",2161,"F","01","D",7500,"F"
"20091",1955403,35,0,"5","01","D","100","D","1","D",.0475,"D",451,"D",299,"D","01","D",38000,"D"
"20091",1955453,50,0,"5","01","D","100","D","1","D",.0475,"D",582,"D",548,"D","01","D",49000,"D"
"20091",1955493,40,0,"5","01","D","100","D","2","D",.0475,"D",0,"F",0,"F","01","D",0,"F"
"20091",1955593,33,0,"5","01","D","100","D","1","D",.0475,"D",463,"D",737,"D","01","D",39000,"D"
"20091",1955663,58,0,"5","01","D","100","D","1","D",.0475,"D",595,"D",280,"D","01","D",50095,"D"
"20091",1955743,46,0,"5","01","D","100","D","2","D",.0475,"D",114,"F",886,"F","01","D",9577,"F"
"20091",1955833,99,0,"5","01","D","100","D","1","D",.0475,"D",166,"D",8034,"D","01","D",14000,"D"
"20091",1956233,32,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1956494,71,0,"5","01","D","100","D","1","D",.0475,"D",439,"F",77,"F","01","D",36927,"F"
"20091",1956773,38,0,"5","01","D","100","D","1","D",.0475,"D",445,"F",1279,"F","01","D",37436,"F"
"20091",1957093,52,0,"5","01","D","100","D","1","D",.0475,"D",356,"D",619,"D","01","D",30000,"D"
"20091",1957403,40,0,"5","01","D","100","D","1","D",.0475,"D",665,"D",1135,"D","01","D",56000,"D"
"20091",1957463,58,0,"5","01","D","100","D","1","D",.0475,"D",273,"D",207,"D","01","D",23000,"D"
"20091",1957553,24,0,"5","01","D","100","D","1","D",.0475,"D",1164,"D",66,"D","01","D",98000,"D"
"20091",1957713,54,0,"5","01","D","100","D","1","D",.0475,"D",190,"D",1310,"D","01","D",16000,"D"
"20091",1957873,55,0,"5","01","D","100","D","1","D",.0475,"D",5,"D",770,"D","01","D",460,"D"
"20091",1958454,36,0,"5","01","D","100","D","2","D",.0475,"D",273,"F",327,"F","01","D",23000,"F"
"20091",1958753,34,0,"5","01","D","100","D","1","D",.0475,"D",177,"D",123,"D","01","D",14900,"D"
"20091",1958763,38,0,"5","01","D","100","D","2","D",.0475,"D",1176,"F",924,"F","01","D",99000,"F"
"20091",1958813,54,0,"5","01","D","100","D","1","D",.0475,"D",177,"D",198,"D","01","D",14900,"D"
"20091",1959033,43,0,"5","01","D","100","D","1","D",.0475,"D",12,"F",1488,"F","01","D",1000,"F"
"20091",1959043,48,0,"5","01","D","100","D","1","D",.0475,"D",166,"D",1634,"D","01","D",14000,"D"
"20091",1959293,64,0,"5","01","D","100","D","1","D",.0475,"D",986,"D",943,"D","01","D",83000,"D"
"20091",1959333,42,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1959393,36,0,"5","01","D","100","D","1","D",.0475,"D",1045,"F",1655,"F","01","D",88000,"F"
"20091",1959463,36,0,"5","01","D","100","D","1","D",.0475,"D",594,"D",606,"D","01","D",50000,"D"
"20091",1959683,37,0,"5","01","D","100","D","1","D",.0475,"D",831,"D",-102,"D","01","D",70000,"D"
"20091",1959873,47,0,"5","01","D","500","D","1","D",.0475,"D",451,"F",398,"F","01","D",38000,"F"
"20091",1959933,29,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",50000,"D"
"20091",1960273,29,0,"5","01","D","100","D","1","D",.0475,"D",1781,"D",2419,"D","01","D",150000,"D"
"20091",1960403,59,0,"5","01","D","100","D","1","D",.0475,"D",97,"D",653,"D","01","D",8200,"D"
"20091",1960853,42,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1961913,29,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",21000,"D"
"20091",1962323,62,0,"5","01","D","100","D","1","D",.0475,"D",45,"D",255,"D","01","D",3800,"D"
"20091",1962415,46,0,"5","02","D","300","D","1","D",.0475,"D",36,"D",564,"D","01","D",3000,"D"
"20091",1962913,68,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1962934,35,0,"5","01","D","100","D","1","D",.0475,"D",95,"F",940,"F","01","D",8000,"F"
"20091",1963183,49,0,"5","01","D","100","D","1","D",.0475,"D",333,"D",675,"D","01","D",28000,"D"
"20091",1963403,55,0,"5","01","D","100","D","1","D",.0475,"D",1188,"D",1812,"D","01","D",100000,"D"
"20091",1963513,31,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",1500,"D"
"20091",1963923,36,0,"5","01","D","100","D","1","D",.0475,"D",144,"D",516,"D","01","D",12130,"D"
"20091",1964903,42,0,"5","01","D","100","D","1","D",.0475,"D",95,"D",205,"D","01","D",8000,"D"
"20091",1964983,75,0,"5","01","D","100","D","1","D",.0475,"D",1686,"D",489,"D","01","D",142000,"D"
"20091",1965333,44,0,"5","02","D","300","D","1","D",.0475,"D",273,"D",177,"D","01","D",23000,"D"
"20091",1965523,77,0,"5","01","D","100","D","1","D",.0475,"D",2,"D",198,"D","01","D",200,"D"
"20091",1965643,58,0,"5","01","D","100","D","1","D",.0475,"D",2696,"D",304,"D","01","D",227000,"D"
"20091",1965873,57,0,"5","01","D","100","D","1","D",.0475,"D",595,"D",-172,"D","01","D",50088,"D"
"20091",1966023,58,0,"5","01","D","100","D","1","D",.0475,"D",499,"D",1976,"D","01","D",42000,"D"
"20091",1966153,47,0,"5","01","D","100","D","1","D",.0475,"D",202,"F",2798,"F","01","D",17000,"F"
"20091",1966173,30,0,"5","01","D","100","D","1","D",.0475,"D",131,"F",169,"F","01","D",11000,"F"
"20091",1966183,46,0,"5","01","D","100","D","1","D",.0475,"D",2161,"D",29729,"T","01","D",182000,"D"
"20091",1966503,44,0,"5","01","D","100","D","1","D",.0475,"D",1140,"D",60,"D","01","D",96000,"D"
"20091",1966773,63,0,"5","01","D","100","D","1","D",.0475,"D",1342,"D",-67,"D","01","D",113000,"D"
"20091",1966893,27,0,"5","01","D","100","D","1","D",.0475,"D",12,"D",1488,"D","01","D",1000,"D"
"20091",1966973,45,0,"5","01","D","100","D","1","D",.0475,"D",475,"D",1145,"D","01","D",40000,"D"
"20091",1966993,53,0,"5","01","D","100","D","1","D",.0475,"D",713,"F",37,"F","01","D",60000,"F"
"20091",1967003,47,0,"5","01","D","100","D","1","D",.0475,"D",249,"D",351,"D","01","D",21000,"D"
"20091",1967103,47,0,"5","01","D","100","D","1","D",.0475,"D",208,"D",401,"D","01","D",17500,"D"
"20091",1967123,49,0,"5","01","D","100","D","1","D",.0475,"D",499,"D",701,"D","01","D",42000,"D"
"20091",1967553,42,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",31000,"D"
"20091",1968413,56,0,"5","01","D","100","D","","C",.0475,"D",463,"F",187,"F","01","D",39000,"F"
"20091",1968533,51,0,"5","01","D","100","D","1","D",.0475,"D",359,"D",3641,"D","01","D",30200,"D"
"20091",1969143,54,0,"5","01","D","100","D","1","D",.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1969823,45,0,"5","01","D","100","D","1","D",.0475,"D",238,"D",2762,"D","01","D",20000,"D"
"20091",1969974,45,0,"5","01","D","100","D","1","D",.0475,"D",89,"D",2161,"D","01","D",7500,"D"
"20091",1970023,36,0,"5","01","D","100","D","1","D",.0475,"D",709,"D",-409,"D","01","D",59700,"D"
"20091",1970215,35,0,"5","02","D","200","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
"20091",1970283,37,0,"5","01","D","100","D","1","D",.0475,"D",40,"D",960,"D","01","D",3400,"D"
"20091",1970303,49,0,"5","01","D","100","D","1","D",.0475,"D",182,"D",298,"D","01","D",15300,"D"
"20091",1970603,40,0,"5","01","D","100","D","1","D",.0475,"D",26,"D",374,"D","01","D",2227,"D"
"20091",1970653,81,0,"5","01","D","100","D","1","D",.0475,"D",0,"D",0,"D","01","D",0,"D"
"20091",1970753,72,0,"5","01","D","100","D","1","D",.0475,"D",226,"D",104,"D","01","D",19000,"D"
"20091",1971113,32,0,"5","01","D","100","D","1","D",.0475,"D",451,"D",1049,"D","01","D",38000,"D"
"20091",1971123,68,0,"5","01","D","100","D","1","D",.0475,"D",143,"D",607,"D","01","D",12000,"D"
"20091",1971223,32,0,"5","01","D","100","D","1","D",.0475,"D",772,"D",128,"D","01","D",65000,"D"
"20091",1971253,36,0,"5","01","D","100","D","1","D",.0475,"D",439,"D",77,"D","01","D",36927,"D"
"20091",1971313,42,0,"5","01","D","100","D","1","D",.0475,"D",10,"F",790,"F","01","D",800,"F"
"20091",1971343,77,0,"5","01","D","100","D","1","D",.0475,"D",966,"D",-337,"D","01","D",81354,"D"
"20091",1971473,42,0,"5","01","D","100","D","1","D",.0475,"D",356,"D",2644,"D","01","D",30000,"D"
"20091",1971483,49,0,"5","01","D","100","D","1","D",.0475,"D",1021,"D",1379,"D","01","D",86000,"D"
"20091",1971753,46,0,"5","01","D","100","D","1","D",.0475,"D",18,"D",1412,"D","01","D",1500,"D"
"20091",1971963,32,0,"5","01","D","100","D","1","D",.0475,"D",796,"D",-796,"D","01","D",67000,"D"
"20091",1972293,52,0,"5","01","D","100","D","1","D",.0475,"D",356,"D",244,"D","01","D",30000,"D"
"20091",1972544,57,0,"5","01","D","100","D","1","D",.0475,"D",249,"D",951,"D","01","D",21000,"D"
"20091",1972643,33,0,"5","01","D","100","D","1","D",.0475,"D",1093,"D",707,"D","01","D",92000,"D"
"20091",1972653,61,0,"5","01","D","100","D","1","D",.0475,"D",208,"D",1592,"D","01","D",17500,"D"
"20091",1972803,61,0,"5","01","D","100","D","1","D",.0475,"D",1627,"D",673,"D","01","D",137000,"D"
"20091",1972893,30,0,"5","01","D","100","D","1","D",.0475,"D",356,"F",619,"F","01","D",30000,"F"
"20091",1973003,39,0,"5","01","D","100","D","1","D",.0475,"D",36,"D",-36,"D","01","D",3000,"D"
"20091",1973053,43,0,"5","01","D","100","D","1","D",.0475,"D",1378,"D",1079,"D","01","D",116000,"D"
"20091",1973113,38,0,"5","02","D","400","D","1","D",.0475,"D",249,"D",701,"D","01","D",21000,"D"
"20091",1973133,80,0,"5","01","D","100","D","1","D",.0475,"D",356,"D",1234,"D","01","D",30000,"D"
"20091",1973312,51,0,"5","01","D","100","D","1","D",.0475,"D",178,"D",372,"D","01","D",15000,"D"
"20091",1973422,61,0,"5","01","D","100","D","1","D",.0475,"D",333,"D",-33,"D","01","D",28000,"D"
"20091",1973542,29,0,"5","01","D","100","D","1","D",.0475,"D",1449,"D",-279,"D","01","D",122000,"D"
"20091",1973952,44,0,"5","01","D","100","D","1","D",.0475,"D",463,"D",-213,"D","01","D",39000,"D"
"20091",1974073,29,0,"1","01","D","200","D","2","D",.0475,"D",.,"A",.,"A","01","D",1300,"D"
"20091",1974272,42,0,"5","01","D","100","D","2","D",.0475,"D",831,"F",-82,"F","01","D",70000,"F"
"20091",1974412,47,0,"5","01","D","100","D","2","D",.0475,"D",.,"A",.,"A","01","D",0,"D"
