"NEWID","CUID","RBTMO","RBTMO_","RBTAMT","RBTAMT_","CHCKEFT","CHCKEFT_","HOWUSED","HOWUSED_","USDINTMO","USDINTYR"
1849265,184926,"05","D",1200,"D",,"C","3","D","06","2008"
1849395,184939,"05","D",600,"D","1","D","3","D","06","2008"
1849485,184948,"05","D",1500,"D","2","D","3","D","06","2008"
1849565,184956,"05","D",900,"D","1","D","3","D","06","2008"
1849675,184967,"05","D",682,"D","2","D","1","D","06","2008"
1849905,184990,"05","D",600,"D","1","D","2","D","06","2008"
1850195,185019,"05","D",484,"D","2","D","2","D","06","2008"
1850375,185037,"05","D",1200,"D","2","D","2","D","06","2008"
1850405,185040,"05","D",1200,"D","1","D","3","D","06","2008"
1850415,185041,"05","D",900,"D","2","D","2","D","06","2008"
1850485,185048,"05","D",600,"D","2","D","3","D","06","2008"
1850525,185052,"05","D",380,"D","2","D","2","D","06","2008"
1850575,185057,"05","D",1200,"D","2","D","3","D","06","2008"
1850835,185083,"05","D",600,"D","1","D","2","D","06","2008"
1850835,185083,"06","D",1200,"D","1","D","2","D","06","2008"
1850865,185086,"04","D",1200,"D","2","D","2","D","06","2008"
1851005,185100,"05","D",1800,"D","2","D","1","D","06","2008"
1851275,185127,"06","D",1200,"D","1","D","1","D","06","2008"
1851295,185129,"06","D",1200,"D","1","D","3","D","06","2008"
1851485,185148,"05","D",300,"D","1","D","3","D","06","2008"
1851795,185179,"05","D",570,"D","2","D","3","D","06","2008"
1851795,185179,"05","D",600,"D","2","D","3","D","06","2008"
1851795,185179,"05","D",600,"D","2","D","3","D","06","2008"
1851845,185184,"05","D",1200,"D","2","D","1","D","06","2008"
1851855,185185,"06","D",600,"D","1","D","1","D","06","2008"
1851935,185193,"05","D",1642,"D","2","D","1","D","06","2008"
1851955,185195,"05","D",1200,"D","1","D","3","D","06","2008"
1852085,185208,"05","D",600,"D","2","D","2","D","06","2008"
1852195,185219,"05","D",1800,"D","2","D","2","D","06","2008"
1852275,185227,"06","D",1500,"D","2","D","3","D","06","2008"
1852395,185239,"06","D",1200,"D","1","D","3","D","06","2008"
1852585,185258,"06","D",900,"D","1","D","3","D","06","2008"
1852675,185267,"05","D",1800,"D","2","D","1","D","06","2008"
1852675,185267,"05","D",1200,"D","2","D","1","D","06","2008"
1852775,185277,"05","D",1200,"D","2","D","1","D","06","2008"
1853015,185301,"05","D",1800,"D","2","D","3","D","06","2008"
1853105,185310,"05","D",1200,"D","2","D","1","D","06","2008"
1853175,185317,"05","D",275,"D","2","D","2","D","06","2008"
1853385,185338,"05","D",600,"D","1","D","1","D","06","2008"
1853405,185340,"06","D",300,"D","2","D","2","D","06","2008"
1853405,185340,"06","D",1200,"D","2","D","2","D","06","2008"
1853575,185357,"06","D",600,"D","1","D","3","D","06","2008"
1853675,185367,"05","D",658,"D","2","D","3","D","06","2008"
1853705,185370,"06","D",600,"D","1","D","1","D","06","2008"
1853865,185386,"05","D",1800,"D","1","D","3","D","06","2008"
1853995,185399,"05","D",600,"D","2","D","3","D","06","2008"
1854005,185400,"04","D",1800,"D","2","D","1","D","06","2008"
1854065,185406,"06","D",600,"D","1","D","2","D","06","2008"
1854065,185406,"05","D",600,"D","2","D","2","D","06","2008"
1854185,185418,"05","D",300,"D","1","D","3","D","06","2008"
1854205,185420,"05","D",600,"D","1","D","3","D","06","2008"
1854365,185436,"06","D",900,"D","1","D","2","D","06","2008"
1854455,185445,"05","D",1200,"D","1","D","3","D","06","2008"
1854655,185465,"05","D",2000,"D","1","D","1","D","06","2008"
1854715,185471,"05","D",911,"D","1","D","1","D","06","2008"
1854775,185477,"05","D",1200,"D","2","D","3","D","06","2008"
1854965,185496,"05","D",1300,"D","2","D","3","D","06","2008"
1855015,185501,"05","D",600,"D","1","D","1","D","06","2008"
1855075,185507,"05","D",600,"D","2","D","2","D","06","2008"
1855115,185511,"05","D",600,"D","1","D","2","D","06","2008"
1855165,185516,"06","D",1200,"D","1","D","3","D","06","2008"
1855215,185521,"05","D",300,"D","1","D","1","D","06","2008"
1855275,185527,"05","D",900,"D","2","D","3","D","06","2008"
1855305,185530,"05","D",600,"D","2","D","2","D","06","2008"
1855385,185538,"05","D",1200,"D","2","D","1","D","06","2008"
1855605,185560,"05","D",600,"D","2","D","3","D","06","2008"
1855765,185576,"05","D",300,"D","1","D","3","D","06","2008"
1855925,185592,"05","D",600,"D","2","D","2","D","06","2008"
1855925,185592,"05","D",600,"D","2","D","2","D","06","2008"
1855925,185592,"05","D",300,"D","2","D","2","D","06","2008"
1855925,185592,"05","D",300,"D","2","D","2","D","06","2008"
1856335,185633,"06","D",600,"D","1","D","3","D","06","2008"
1856335,185633,"06","D",600,"D","1","D","3","D","06","2008"
1856345,185634,"05","D",1500,"D","2","D","3","D","06","2008"
1856405,185640,"05","D",1200,"D","2","D","1","D","06","2008"
1856425,185642,"05","D",600,"D","2","D","3","D","06","2008"
1856685,185668,"04","D",600,"D","2","D","2","D","06","2008"
1856825,185682,"05","D",300,"D","2","D","3","D","06","2008"
1856955,185695,"05","D",1200,"D","2","D","3","D","06","2008"
1856975,185697,"04","D",600,"D","2","D","1","D","06","2008"
1856975,185697,"04","D",600,"D","2","D","1","D","06","2008"
1857325,185732,"05","D",300,"D","2","D","3","D","06","2008"
1857565,185756,"05","D",600,"D","2","D","3","D","06","2008"
1857705,185770,"05","D",600,"D","2","D","1","D","06","2008"
1857745,185774,"06","D",399,"D","2","D","1","D","06","2008"
1857765,185776,"06","D",300,"D","2","D","1","D","06","2008"
1857825,185782,"05","D",1800,"D","2","D","3","D","06","2008"
1858095,185809,"04","D",1500,"D","2","D","2","D","06","2008"
1858105,185810,"05","D",600,"D","1","D","2","D","06","2008"
1858135,185813,"05","D",300,"D","1","D","1","D","06","2008"
1858165,185816,"04","D",600,"D","2","D","1","D","06","2008"
1858185,185818,"06","D",1200,"D","1","D","1","D","06","2008"
1858295,185829,"06","D",300,"D","1","D","2","D","06","2008"
1858345,185834,"06","D",1200,"D","1","D","3","D","06","2008"
1858435,185843,"05","D",1200,"D","2","D","3","D","06","2008"
1858575,185857,"05","D",317,"D","1","D","2","D","06","2008"
1858635,185863,"04","D",600,"D",,"C",,"C","06","2008"
1858645,185864,"04","D",600,"D","1","D","2","D","06","2008"
