"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20081",1818445,61,0,"1",1,"D",110,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",.,"A",.,"A"
"20081",1819955,40,0,"1",5,"D",.,"A",150,"D",80,"D",.,"A","","A","","A","","A","","A",750,"D",20,"D"
"20081",1821415,82,0,"1",1,"D",79,"G",4,"G",1,"G",6,"G","","A","","A","","A","","A",22,"G",18,"G"
"20081",1822265,39,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A","","A","","A","","A","","A",100,"D",.,"A"
"20081",1823525,70,0,"1",1,"D",169,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",30,"D",.,"A"
"20081",1825795,60,0,"1",1,"D",175,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",40,"D",.,"A"
"20081",1829035,45,0,"1",21,"D",2111,"G",295,"G",103,"G",640,"G","","A","","A","","A","","A",1022,"G",329,"G"
"20081",1831535,60,0,"1",1,"D",85,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",.,"A",.,"A"
"20081",1836875,48,0,"1",1,"D",72,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",29,"D",.,"A"
"20081",1838664,60,0,"1",1,"D",110,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",40,"D",.,"A"
"20081",1839894,42,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A","1","D","1","D","1","D","2","D",.,"A",.,"A"
"20081",1840304,74,0,"1",1,"D",200,"D",.,"A",.,"A",150,"D","","A","","A","","A","","A",70,"D",25,"D"
"20081",1844525,47,0,"1",1,"D",300,"G",.,"A",.,"A",.,"A","2","D","1","D","2","D","1","D",100,"D",.,"A"
"20081",1848954,40,0,"1",1,"D",100,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",.,"A",.,"A"
"20081",1849594,47,0,"1",1,"D",272,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",.,"A",.,"A"
"20081",1849604,59,0,"1",1,"D",125,"D",8,"D",.,"A",.,"A","","A","","A","","A","","A",40,"D",.,"A"
"20081",1850244,30,0,"1",6,"D",600,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",2000,"D",.,"A"
"20081",1850524,67,0,"1",1,"D",57,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",.,"A",.,"A"
"20081",1851834,44,0,"1",2,"D",600,"D",.,"A",.,"A",.,"A","","A","","A","","A","","A",200,"D",.,"A"
"20081",1854084,28,0,"1",1,"D",119,"G",17,"G",20,"D",.,"A","1","D","1","D","2","D","2","D",39,"G",0,"D"
"20081",1854364,28,0,"1",3,"D",105,"G",17,"G",.,"A",40,"G","1","D","1","D","1","D","2","D",168,"G",.,"A"
