NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
04544524,1,0,0,2021,2020,3,.15300,.15300,1,.12000,.12000,33,D,.06480,.06090,65000,D,0,D,0,D,0,D,0,D,0,D,0,D,8000,D,0,D,0,D,2,D,2,D,2,D,9036,D,-1970,2044,-2969,-971,2056,2032,9945,9945,67477,67477,67477,65831,4500,6500,0,6500,0,0,0,0,58441,58441,0,0,5531,5529,5531,5529,11200,11200,17036,16589,0,0,0,0,0,0,0
04544524,2,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,33,D,.06000,.06570,25000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,405,733,-486,1295,742,723,3825,3825,25000,25000,25000,24390,0,0,0,0,0,0,0,0,25000,25000,0,0,1315,1295,1315,1295,8000,8000,0,0,0,0,0,0,0,0,0
04544524,4,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,33,D,.05900,.06090,30000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1005,1069,115,1895,1079,1060,4590,4590,30000,30000,30000,29268,0,0,0,0,0,0,0,0,30000,30000,0,0,1915,1895,1915,1895,8000,8000,0,0,0,0,0,0,0,0,0
04544534,1,0,25,2021,2020,0,.15300,.15300,2,.12000,.12000,05,D,.04000,.04000,34801,D,17260,D,0,D,432,D,0,D,0,D,25116,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1541,460,-240,3321,482,438,7965,7965,56093,56093,56093,54725,0,0,0,0,0,0,0,0,56093,56093,0,0,3360,3321,3360,3321,9202,9202,0,0,0,0,0,0,0,0,0
04544554,1,0,0,2021,2020,2,.15300,.15300,1,.12000,.12000,03,D,.02590,.02590,61917,D,0,D,0,D,0,D,0,D,0,D,0,D,2400,D,1203,D,0,D,1,D,1,D,1,D,0,D,491,998,-449,1431,1006,991,9473,9473,62257,62257,62257,60739,2500,3500,0,3500,0,0,0,0,62257,62257,0,0,4951,4931,4951,4931,18600,18600,4609,4482,0,0,0,0,0,0,0
04544564,1,0,64,2021,2020,0,.03800,.03800,2,.24000,.24000,45,D,.04950,.04950,322520,D,0,D,0,D,0,D,0,D,0,D,0,D,3300,D,230,D,0,D,0,D,0,D,0,D,33252,D,55125,15965,55183,55066,15965,15965,27081,27601,322520,322520,322520,314654,0,0,0,0,0,0,0,0,289268,289268,0,0,55183,55066,55183,55066,0,0,0,0,0,0,0,0,0,0,0
04544594,1,0,0,2021,2020,0,.15300,.15300,1,.12000,.12000,10,D,.00000,.00000,38800,D,0,D,0,D,8200,D,0,D,0,D,0,D,2500,D,75,D,0,D,0,D,0,D,0,D,0,D,3045,0,2155,3935,0,0,5936,5936,47000,47000,0,0,0,0,0,0,0,0,0,0,47000,47000,0,0,3955,3935,3955,3935,0,0,0,0,0,0,0,0,0,0,0
04544604,1,38,0,2021,2020,3,.15300,.15300,2,.12000,.12000,22,D,.05000,.05000,40000,D,65000,D,0,D,0,D,0,D,0,D,0,D,3200,D,0,D,0,D,1,D,3,D,3,D,8256,D,-641,4268,-1471,190,4280,4256,16065,16065,105000,105000,105000,102439,6000,9000,0,9000,0,0,0,0,105000,105000,0,0,9229,9190,9229,9190,0,0,0,0,0,0,0,0,0,0,0
04544634,1,0,0,2021,2020,0,.15300,.15300,1,-.0765,-.0765,07,D,-.0176,-.0176,0,D,0,D,0,D,0,D,0,D,0,D,0,D,6000,D,105,D,0,D,0,D,0,D,0,D,1140,D,-900,0,-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04544644,1,0,0,2021,2020,0,.15300,.15300,1,.22000,.22000,24,D,.07400,.07370,86000,D,0,D,0,D,0,D,0,D,0,D,0,D,2900,D,0,D,0,D,0,D,0,D,0,D,6612,D,8487,2980,7624,9350,2984,2977,13158,13158,74373,74373,74373,72559,0,0,0,0,0,0,0,0,74373,74373,0,0,9424,9350,9424,9350,12400,12244,9512,9280,839,806,0,0,0,0,0
