"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20121",2378645,40,0,"5","01","D","100","D",0.05,"F",30000,"F",10,"F",318,"F",,"A",,"A",,"A",,"A",0,"F",136,"F",136,"F",137,"F",14,"F",14,"F",13,"F",,"A","11","F","2003","F","2","F",,"A",7253,"F",6965,"F",6676,"F","01","D",,"A",,"A",,"A",150,"F",150,"F",150,"F","1","D","2","D"
"20121",2379385,41,0,"5","01","D","100","D",0.07,"D",30000,"D",15,"D",371,"D",,"B",,"B",,"B",,"B",101,"D",170,"D",171,"D",172,"D",100,"D",99,"D",98,"D",,"A","06","D","2003","D","1","D",,"A",17151,"D",16981,"D",16810,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2380675,37,0,"5","01","D","100","D",0.07,"F",39555,"F",14,"F",370,"F",,"A",,"A",,"A",,"A",0,"F",283,"F",285,"F",286,"F",77,"F",76,"F",75,"F",,"A","09","F","2001","F","1","F",,"A",14889,"F",14606,"F",14321,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2380675,38,0,"5","01","D","100","D",0.0859,"F",9159,"F",10,"F",114,"F",,"A",,"A",,"A",,"A",0,"F",105,"F",105,"F",106,"F",9,"F",9,"F",8,"F",,"A","10","F","2002","F","1","F",,"A",1306,"F",1202,"F",1096,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2382085,56,0,"5","02","D","200","D",0.0875,"F",28000,"F",15,"F",300,"F",,"B",,"B",,"B",,"B",20,"F",117,"F",.,"A",.,"A",163,"F",.,"A",.,"A",,"A","10","F","2006","F","1","F",,"A",22318,"F",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2383055,41,0,"5","01","D","100","D",0.065,"D",40000,"D",10,"D",650,"D",,"B",,"B",,"B",,"B",196,"D",410,"D",412,"D",414,"D",44,"D",42,"D",40,"D",,"A","05","D","2003","D","1","D",,"A",8205,"D",7796,"D",7384,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2383335,28,0,"5","02","D","300","D",0.06,"D",191250,"T",5,"D",394,"D",,"A",,"A",,"A",,"A",.,"B",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A","05","D","2012","D","1","D",,"A",.,"A",.,"A",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2384065,50,0,"5","01","D","100","D",0.0859,"D",17113,"D",10,"D",213,"D",,"A",,"A",,"A",,"A",0,"D",149,"D",150,"D",151,"D",64,"D",63,"D",62,"D",,"A","12","D","2005","D","1","D",,"A",8926,"D",8777,"D",8627,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2384255,50,0,"5","01","D","100","D",0.0525,"D",86829,"D",15,"D",750,"D",,"A",,"A","5","D",,"A",52,"D",359,"D",361,"D",363,"D",339,"D",337,"D",335,"D",,"A","06","D","2009","D","1","D",,"A",77375,"D",77015,"D",76654,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20121",2386745,78,0,"5","01","D","100","D",0.0675,"D",40000,"D",10,"D",460,"D",,"B",,"B",,"B",,"B",1,"D",324,"D",326,"D",328,"D",135,"D",133,"D",131,"D",,"A","12","D","2006","D","1","D",,"A",24005,"D",23681,"D",23355,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
