"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20121",2377175,25,0,"1","100","D","1","D","6","D","13","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377175,26,0,"2","100","D","1","D","2","D","10","D",.,"A",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377335,24,0,"1","200","D","1","D","3","D","13","D",.,"A",140,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377335,25,0,"1","360","D","1","D","3","D","11","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377345,15,0,"1","200","D","1","D","3","D","13","D",.,"A",1150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377625,24,0,"2","310","D","2","D","1","D","10","D",.,"A",400,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377865,29,0,"1","350","D","1","D","1","D","12","D",.,"A",85,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377985,26,0,"1","300","D","2","D","1","D","12","D",.,"A",4500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378055,19,0,"1","200","D","1","D","3","D","13","D",.,"A",550,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378665,14,0,"1","200","D","1","D","3","D","13","D",.,"A",520,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378795,22,0,"1","200","D","1","D","3","D","13","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378825,23,0,"1","100","D","1","D","6","D","13","D",.,"A",24,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378855,19,0,"1","300","D","1","D","2","D","13","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378855,20,0,"2","300","D","1","D","2","D","10","D",.,"A",260,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378945,15,0,"1","300","D","2","D","2","D","12","D",.,"A",398,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379135,15,0,"1","100","D","2","D","6","D","13","D",.,"A",23,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379155,24,0,"1","360","D","1","D","1","D","12","D",.,"A",105,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379155,25,0,"1","200","D","1","D","3","D","12","D",.,"A",230,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379185,24,0,"1","350","D","1","D","2","D","12","D",.,"A",3,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379295,19,0,"1","350","D","1","D","2","D","12","D",.,"A",12,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379405,15,0,"1","100","D","1","D","6","D","12","D",.,"A",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379425,19,0,"1","200","D","1","D","3","D","13","D",.,"A",2000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379545,27,0,"1","300","D","1","D","1","D","13","D",.,"A",1112,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379815,26,0,"1","100","D","1","D","6","D","10","D",.,"A",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379815,27,0,"1","100","D","1","D","6","D","11","D",.,"A",495,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379905,25,0,"1","300","D","1","D","1","D","13","D",.,"A",873,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379905,26,0,"1","310","D","1","D","1","D","13","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379905,27,0,"2","300","D","1","D","1","D","10","D",.,"A",873,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379935,27,0,"1","300","D","1","D","5","D","10","D",.,"A",500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379975,17,0,"1","310","D","1","D","1","D","13","D",.,"A",650,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379975,18,0,"1","350","D","1","D","1","D","11","D",.,"A",3000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379975,19,0,"1","320","D","1","D","1","D","13","D",.,"A",500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379975,20,0,"2","350","D","2","D","1","D","10","D",.,"A",800,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379985,13,0,"1","350","D","1","D","1","D","12","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379995,25,0,"1","100","D","1","D","6","D","13","D",.,"A",175,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380265,18,0,"1","310","D","1","D","1","D","13","D",.,"A",1500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380335,37,0,"1","200","D","1","D","3","D","13","D",.,"A",1000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380335,38,0,"2","345","D","1","D","2","D","10","D",.,"A",14,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380335,39,0,"2","350","D","1","D","2","D","10","D",.,"A",24,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380525,14,0,"1","350","D","1","D","6","D","11","D",.,"A",155,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380565,16,0,"1","300","D","2","D","1","D","12","D",.,"A",2100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380625,17,0,"1","100","D","1","D","6","D","13","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380675,19,0,"1","100","D","1","D","6","D","13","D",.,"A",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380705,41,0,"1","100","D","1","D","6","D","13","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380705,42,0,"1","200","D","1","D","3","D","13","D",.,"A",400,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380705,43,0,"2","100","D","1","D","6","D","10","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380745,15,0,"1","350","D","1","D","2","D","12","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380745,16,0,"2","100","D","1","D","6","D","10","D",.,"A",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380925,34,0,"1","360","D","1","D","2","D","12","D",.,"A",49,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380995,15,0,"1","300","D","1","D","1","D","10","D",.,"A",6000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381095,23,0,"1","300","D","2","D","1","D","12","D",.,"A",530,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381095,24,0,"1","310","D","2","D","1","D","13","D",.,"A",750,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381205,15,0,"1","200","D","1","D","4","D","13","D",.,"A",640,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381205,16,0,"2","350","D","1","D","4","D","10","D",.,"A",4,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381275,20,0,"1","300","D","1","D","1","D","12","D",.,"A",5000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381275,21,0,"1","310","D","1","D","1","D","13","D",.,"A",1696,"T",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381275,22,0,"2","350","D","1","D","1","D","10","D",.,"A",45,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381285,17,0,"1","200","D","1","D","3","D","13","D",.,"A",128,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
