"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20121",2383335,33,0,"1",1,"D",189,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",8,"D",.,"A"
"20121",2383955,48,0,"1",1,"D",200,"D",22,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",18,"D",.,"A"
"20121",2384165,52,0,"1",1,"D",120,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",10,"D",.,"A"
"20121",2386285,37,0,"1",3,"D",120,"G",50,"D",.,"A",.,"A","2","D","1","D","2","D","2","D",100,"D",.,"A"
"20121",2386795,38,0,"1",5,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",100,"D"
"20121",2388985,68,0,"1",1,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20121",2394415,105,0,"1",1,"D",115,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",30,"D"
"20121",2398755,49,0,"1",5,"D",500,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20121",2402605,57,0,"1",1,"D",80,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",140,"D",.,"A"
"20121",2405485,74,0,"1",3,"D",220,"D",25,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",125,"D",30,"D"
"20121",2405855,52,0,"1",1,"D",152,"G",73,"G",.,"A",56,"G","1","D","1","D","1","D","1","D",78,"G",.,"A"
"20121",2409445,38,0,"1",1,"D",1,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2409885,66,0,"1",1,"D",65,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",35,"D",.,"A"
"20121",2412024,50,0,"1",4,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",60,"D",.,"A"
"20121",2412874,81,0,"1",1,"D",86,"D",.,"A",10,"D",.,"A",,"A",,"A",,"A",,"A",18,"D",10,"D"
"20121",2413714,51,0,"1",1,"D",40,"D",4,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",46,"D",.,"A"
"20121",2415484,48,0,"1",1,"D",75,"D",60,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",.,"A"
"20121",2416014,83,0,"1",1,"D",.,"A",.,"A",.,"A",200,"D",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2416264,72,0,"1",6,"D",80,"D",.,"A",10,"F",.,"A",,"A",,"A",,"A",,"A",50,"D",10,"F"
"20121",2417604,65,0,"1",3,"D",366,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20121",2422454,40,0,"1",1,"D",60,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",30,"D"
"20121",2423524,48,0,"1",1,"D",250,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",85,"D",.,"A"
"20121",2424934,57,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20121",2428264,71,0,"1",4,"D",280,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",20,"D"
"20121",2428624,48,0,"1",4,"D",500,"D",100,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",500,"D",.,"A"
"20121",2429734,48,0,"1",1,"D",300,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2434004,18,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",20,"F",40,"F"
"20121",2435044,41,0,"1",1,"D",200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20121",2438504,40,0,"1",1,"D",120,"D",120,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",.,"A"
"20121",2439044,32,0,"1",2,"D",72,"G",15,"G",15,"G",.,"A",,"A",,"A",,"A",,"A",49,"G",19,"G"
"20121",2439124,62,0,"1",5,"D",590,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20121",2440884,39,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2447503,48,0,"1",1,"D",60,"G",13,"G",.,"A",.,"A","1","D","1","D","2","D","2","D",27,"G",.,"A"
"20121",2447513,63,0,"1",2,"D",.,"A",120,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20121",2453873,36,0,"1",1,"D",220,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2454653,71,0,"1",3,"D",150,"D",.,"A",.,"A",150,"D",,"A",,"A",,"A",,"A",180,"D",.,"A"
"20121",2455033,63,0,"1",2,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",300,"D"
"20121",2455933,51,0,"1",1,"D",218,"G",20,"D",.,"A",52,"G","2","D","1","D","1","D","2","D",130,"D",.,"A"
"20121",2459263,54,0,"1",1,"D",110,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",25,"D",.,"A"
"20121",2460623,54,0,"1",17,"D",8000,"D",200,"D",.,"A",9000,"D",,"A",,"A",,"A",,"A",2800,"D",1000,"D"
"20121",2463133,54,0,"1",1,"D",250,"D",20,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",80,"D",.,"A"
"20121",2467903,43,0,"1",3,"D",400,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",200,"D",.,"A"
"20121",2468343,51,0,"1",2,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20121",2468453,36,0,"1",1,"D",207,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2469403,30,0,"1",1,"D",78,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2469453,49,0,"1",1,"D",91,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",40,"D",40,"D"
"20121",2471913,53,0,"1",2,"D",436,"G",.,"A",.,"A",163,"G","2","D","1","D","1","D","1","D",350,"D",40,"D"
"20121",2473143,47,0,"1",3,"D",.,"A",50,"F",100,"F",.,"A",,"A",,"A",,"A",,"A",100,"F",250,"F"
"20121",2473163,47,0,"1",2,"D",208,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",45,"D",.,"A"
"20121",2473503,27,0,"1",1,"D",48,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20121",2474863,82,0,"1",2,"D",150,"D",.,"A",.,"A",21,"D",,"A",,"A",,"A",,"A",215,"D",20,"D"
