"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX","QAFL3MCX","QAFL_MCX","QVFL3MCX","QVFL_MCX","QAGR3MCX","QAGR_MCX","QONL3MCX","QONL_MCX"
"20121",2377165,20,0,"1",.,"A",.,"A",20,"D",90,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377175,27,0,"1",.,"A",.,"A",27,"D",.,"A",.,"A",.,"A",35,"D",.,"A",.,"A",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2377235,16,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377265,15,0,"1",.,"A",.,"A",60,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A"
"20121",2377345,16,0,"1",.,"A",.,"A",.,"A",33,"D",.,"A",.,"A",.,"A",51,"D",.,"A",243,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377365,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",13,"D",.,"A",42,"D",25,"D",.,"A",.,"A"
"20121",2377405,20,0,"1",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",36,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2377455,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377475,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",100,"D",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377485,20,0,"1",.,"A",.,"A",36,"D",.,"A",.,"A",.,"A",.,"A",6,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2377575,21,0,"1",.,"A",.,"A",160,"D",.,"A",.,"A",.,"A",.,"A",.,"A",14,"D",44,"D",27,"D",.,"A",.,"A",.,"A",.,"A"
"20121",2377625,25,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",4,"D",.,"A",.,"A",.,"A",.,"A"
