"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR1","CRED_TR1","CREDITX1","CRED_TX1"
"20121",2377175,28,0,"4","130","D",30000,"D"
"20121",2377175,29,0,"4","700","D",600,"D"
"20121",2377345,17,0,"4","130","D",3862,"D"
"20121",2377365,16,0,"4","130","D",3000,"D"
"20121",2377365,17,0,"4","800","D",19000,"D"
"20121",2377385,15,0,"4","130","D",3000,"D"
"20121",2377405,21,0,"4","130","D",1,"D"
"20121",2377535,16,0,"4","120","D",1200,"D"
"20121",2377535,17,0,"4","130","D",500,"F"
"20121",2377555,19,0,"4","130","D",1000,"D"
"20121",2377625,26,0,"4","130","D",2200,"D"
"20121",2377645,16,0,"4","800","D",1500,"D"
"20121",2377695,17,0,"4","130","D",3000,"D"
"20121",2377725,19,0,"4","510","D",140000,"D"
"20121",2377755,17,0,"4","510","D",3800,"F"
"20121",2377925,20,0,"4","130","D",1000,"D"
"20121",2377925,21,0,"4","130","D",1000,"D"
"20121",2377925,22,0,"4","800","D",20000,"D"
"20121",2377925,23,0,"4","800","D",120000,"D"
"20121",2377945,14,0,"4","800","D",3000,"D"
"20121",2377985,28,0,"4","120","D",2700,"D"
"20121",2377985,29,0,"4","130","D",4000,"D"
"20121",2377985,30,0,"4","130","D",100,"D"
"20121",2377985,31,0,"4","800","D",20000,"D"
"20121",2378005,18,0,"4","130","D",80,"D"
"20121",2378095,26,0,"4","120","D",1420,"D"
"20121",2378115,17,0,"4","130","D",70000,"D"
"20121",2378175,21,0,"4","120","D",600,"D"
"20121",2378175,22,0,"4","130","D",7000,"D"
"20121",2378255,17,0,"4","130","D",10000,"D"
"20121",2378285,45,0,"4","130","D",273,"D"
"20121",2378285,46,0,"4","700","D",1541,"D"
"20121",2378365,16,0,"4","120","D",2500,"D"
"20121",2378365,17,0,"4","130","D",6000,"D"
"20121",2378515,14,0,"4","800","D",23050,"D"
"20121",2378575,18,0,"4","110","D",89,"D"
"20121",2378575,19,0,"4","120","D",89,"D"
"20121",2378575,20,0,"4","120","D",2000,"D"
"20121",2378575,21,0,"4","120","D",1000,"D"
"20121",2378585,16,0,"4","130","D",1,"D"
"20121",2378585,17,0,"4","130","D",1,"D"
"20121",2378715,16,0,"4","700","D",98000,"D"
"20121",2378715,17,0,"4","800","D",2000,"D"
"20121",2378745,26,0,"4","120","D",30,"D"
"20121",2378745,27,0,"4","130","D",600,"D"
