"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_"
"20121",2379735,53,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","1","D",1000,"F",.,"A",3000,"F",.,,"A","A",,"A",,"A",,"A"
"20121",2379775,38,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",0,"2","D","D","2","D","2","D","2","D"
"20121",2379795,31,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2379825,24,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2379865,28,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3376,"2","D","D","2","D","2","D","2","D"
"20121",2379935,54,0,"1","1","D","1","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4950,"2","D","D","2","D","2","D","2","D"
"20121",2379975,41,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",0.05,"D",.,"A",3564,"2","D","D","2","D","2","D","2","D"
"20121",2379985,32,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1980,"2","D","D","2","D","2","D","2","D"
"20121",2380025,25,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3060,"2","D","D","2","D","2","D","2","D"
"20121",2380065,47,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D"
"20121",2380095,24,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1278,"2","D","D","2","D","2","D","2","D"
"20121",2380195,26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",0.3,"D",.,"A",2100,"2","D","D","2","D","2","D","2","D"
"20121",2380235,24,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",750,"2","D","D","2","D","2","D","2","D"
"20121",2380335,71,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1800,"2","D","D","2","D","2","D","2","D"
"20121",2380545,21,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2380605,48,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1635,"2","D","D","2","D","2","D","2","D"
"20121",2380645,28,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2700,"2","D","D","2","D","2","D","2","D"
"20121",2380655,60,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","1","D",2350,"D",.,"A",1125,"D",3950,"2","D","D","2","D","2","D","2","D"
"20121",2380775,24,0,"1","1","D","2","D","1","D","2","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",1890,"2","D","D","2","D","2","D","2","D"
"20121",2380835,29,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2380845,23,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",102,"2","D","D","2","D","2","D","2","D"
"20121",2380905,19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1350,"2","D","D","2","D","2","D","2","D"
"20121",2380955,21,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1755,"2","D","D","2","D","2","D","2","D"
"20121",2380995,37,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",5010,"2","D","D","2","D","2","D","2","D"
"20121",2381205,33,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","1","D",1000,"D",.,"A",3000,"D",.,,"A","A",,"A",,"A",,"A"
"20121",2381225,75,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2325,"2","D","D","2","D","2","D","2","D"
"20121",2381275,28,0,"1","2","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",8061,"2","T","D","2","D","2","D","1","D"
"20121",2381315,20,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2100,"2","D","D","2","D","2","D","2","D"
"20121",2381345,26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","1","D",650,"F",.,"A",1950,"F",0,"2","D","D","2","D","2","D","1","D"
"20121",2381355,23,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3225,"2","D","D","2","D","2","D","2","D"
"20121",2381465,33,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1200,"2","D","D","2","D","2","D","2","D"
"20121",2381525,26,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2381545,48,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","1","D",600,"F",.,"A",0,"F",1800,"2","F","D","2","D","2","D","2","D"
"20121",2381675,33,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3000,"1","D","D","1","D","1","D","1","D"
"20121",2381735,39,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2283,"2","D","D","1","D","2","D","2","D"
"20121",2381775,24,0,"1","1","D","2","D","2","D","2","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",1425,"2","D","D","2","D","2","D","2","D"
"20121",2381795,24,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",414,"2","D","D","2","D","2","D","2","D"
"20121",2381825,38,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A"
"20121",2381885,39,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D"
"20121",2381985,37,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1850,"2","D","D","2","D","2","D","2","D"
"20121",2382065,20,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1350,"2","D","D","2","D","2","D","2","D"
"20121",2382145,27,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3300,"2","D","D","2","D","2","D","2","D"
"20121",2382175,18,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3360,"2","D","D","2","D","2","D","2","D"
