"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20121",2392925,47,11,"1",.,"A",18,"E","220","D"
"20121",2393255,98,0,"1",1,"D",.,"H",,"A"
"20121",2393255,98,1,"1",.,"A",125,"E","100","D"
"20121",2393255,98,2,"1",.,"A",31,"E","110","D"
"20121",2393255,98,3,"1",.,"A",137,"E","200","D"
"20121",2393255,98,4,"1",.,"A",48,"E","210","D"
"20121",2393255,98,5,"1",.,"A",9,"E","220","D"
"20121",2393315,61,0,"1",1,"D",.,"H",,"A"
"20121",2393315,61,1,"1",.,"A",8,"E","120","D"
"20121",2393315,61,2,"1",.,"A",89,"E","150","D"
"20121",2393315,61,3,"1",.,"A",9,"E","160","D"
"20121",2393315,61,4,"1",.,"A",1,"E","170","D"
"20121",2393315,61,5,"1",.,"A",12,"E","190","D"
"20121",2393315,61,6,"1",.,"A",11,"E","200","D"
"20121",2393315,61,7,"1",.,"A",6,"E","210","D"
"20121",2393315,61,8,"1",.,"A",14,"E","220","D"
"20121",2394155,30,0,"1",1,"D",.,"H",,"A"
"20121",2394155,30,1,"1",.,"A",60,"E","100","D"
"20121",2394155,30,2,"1",.,"A",29,"E","110","D"
"20121",2394155,30,3,"1",.,"A",52,"E","120","D"
"20121",2394155,30,4,"1",.,"A",170,"E","130","D"
"20121",2394155,30,5,"1",.,"A",184,"E","150","D"
"20121",2394155,30,6,"1",.,"A",49,"E","190","D"
"20121",2394155,30,7,"1",.,"A",36,"E","200","D"
"20121",2394155,30,8,"1",.,"A",12,"E","210","D"
"20121",2394155,30,9,"1",.,"A",8,"E","220","D"
"20121",2394305,49,0,"1",1,"D",.,"H",,"A"
"20121",2394305,49,1,"1",.,"A",24,"E","100","D"
"20121",2394305,49,2,"1",.,"A",8,"E","110","D"
"20121",2394305,49,3,"1",.,"A",13,"E","120","D"
"20121",2394305,49,4,"1",.,"A",28,"E","130","D"
"20121",2394305,49,5,"1",.,"A",1,"E","140","D"
"20121",2394305,49,6,"1",.,"A",140,"E","150","D"
"20121",2394305,49,7,"1",.,"A",15,"E","160","D"
"20121",2394305,49,8,"1",.,"A",1,"E","170","D"
"20121",2394305,49,9,"1",.,"A",20,"E","190","D"
"20121",2394465,39,0,"1",1,"D",.,"H",,"A"
"20121",2394465,39,1,"1",.,"A",5,"E","120","D"
"20121",2394465,39,2,"1",.,"A",12,"E","150","D"
"20121",2394465,39,3,"1",.,"A",3,"E","190","D"
"20121",2394855,48,0,"1",1,"D",.,"H",,"A"
"20121",2394855,48,1,"1",.,"A",81,"E","100","D"
"20121",2394855,48,2,"1",.,"A",19,"E","110","D"
"20121",2395545,41,0,"1",1,"D",.,"H",,"A"
"20121",2395545,41,1,"1",.,"A",12,"E","100","D"
"20121",2395545,41,2,"1",.,"A",3,"E","110","D"
"20121",2395545,41,3,"1",.,"A",9,"E","120","D"
"20121",2395545,41,4,"1",.,"A",3,"E","140","D"
"20121",2395545,41,5,"1",.,"A",59,"E","150","D"
"20121",2395545,41,6,"1",.,"A",1,"E","160","D"
"20121",2395545,41,7,"1",.,"A",33,"E","190","D"
"20121",2395825,34,0,"1",3,"D",.,"H",,"A"
"20121",2395825,34,1,"1",.,"A",86,"E","100","D"
"20121",2395825,34,2,"1",.,"A",30,"E","110","D"
"20121",2395825,34,3,"1",.,"A",50,"E","120","D"
"20121",2395825,34,4,"1",.,"A",100,"E","130","D"
"20121",2395825,34,5,"1",.,"A",4,"E","140","D"
"20121",2395825,34,6,"1",.,"A",497,"E","150","D"
"20121",2395825,34,7,"1",.,"A",54,"E","160","D"
"20121",2395825,34,8,"1",.,"A",6,"E","170","D"
"20121",2395825,34,9,"1",.,"A",73,"E","190","D"
"20121",2396565,51,0,"1",1,"D",.,"H",,"A"
"20121",2396565,51,1,"1",.,"A",111,"E","100","D"
"20121",2396565,51,2,"1",.,"A",29,"E","110","D"
"20121",2396705,50,0,"1",1,"D",.,"H",,"A"
"20121",2396705,50,1,"1",.,"A",12,"E","100","D"
"20121",2396705,50,2,"1",.,"A",2,"E","110","D"
"20121",2396705,50,3,"1",.,"A",8,"E","120","D"
"20121",2396705,50,4,"1",.,"A",3,"E","140","D"
"20121",2396705,50,5,"1",.,"A",46,"E","150","D"
"20121",2396705,50,6,"1",.,"A",1,"E","160","D"
"20121",2396705,50,7,"1",.,"A",28,"E","190","D"
"20121",2398455,61,0,"1",1,"D",.,"H",,"A"
"20121",2398455,61,1,"1",.,"A",17,"E","200","D"
"20121",2398455,61,2,"1",.,"A",7,"E","210","D"
"20121",2398455,61,3,"1",.,"A",1,"E","220","D"
"20121",2399125,28,0,"1",4,"D",.,"H",,"A"
"20121",2399125,28,1,"1",.,"A",37,"E","100","D"
"20121",2399125,28,2,"1",.,"A",22,"E","110","D"
"20121",2399125,28,3,"1",.,"A",10,"E","120","D"
"20121",2399125,28,4,"1",.,"A",192,"E","150","D"
"20121",2399125,28,5,"1",.,"A",115,"E","160","D"
"20121",2399125,28,6,"1",.,"A",5,"E","170","D"
"20121",2399125,28,7,"1",.,"A",19,"E","190","D"
"20121",2399435,33,0,"1",1,"D",.,"H",,"A"
"20121",2399435,33,1,"1",.,"A",21,"E","100","D"
"20121",2399435,33,2,"1",.,"A",9,"E","110","D"
"20121",2399835,61,0,"1",5,"D",.,"H",,"A"
"20121",2399835,61,1,"1",.,"A",52,"E","200","D"
"20121",2399835,61,2,"1",.,"A",18,"E","210","D"
"20121",2399835,61,3,"1",.,"A",5,"E","220","D"
"20121",2400825,52,0,"1",1,"D",.,"H",,"A"
"20121",2400825,52,1,"1",.,"A",67,"E","100","D"
"20121",2400825,52,2,"1",.,"A",16,"E","110","D"
"20121",2400825,52,3,"1",.,"A",56,"E","200","D"
"20121",2400825,52,4,"1",.,"A",64,"E","210","D"
"20121",2400825,52,5,"1",.,"A",97,"E","220","D"
"20121",2402605,56,0,"1",1,"D",.,"H",,"A"
"20121",2402605,56,1,"1",.,"A",62,"E","100","D"
"20121",2402605,56,2,"1",.,"A",15,"E","110","D"
"20121",2402605,56,3,"1",.,"A",66,"E","200","D"
"20121",2402605,56,4,"1",.,"A",23,"E","210","D"
"20121",2402605,56,5,"1",.,"A",4,"E","220","D"
"20121",2403145,25,0,"1",1,"D",.,"H",,"A"
"20121",2403145,25,1,"1",.,"A",38,"E","120","D"
"20121",2403145,25,2,"1",.,"A",128,"E","150","D"
"20121",2403145,25,3,"1",.,"A",34,"E","190","D"
"20121",2403325,63,0,"1",1,"D",.,"H",,"A"
"20121",2403325,63,1,"1",.,"A",16,"E","120","D"
"20121",2403325,63,2,"1",.,"A",51,"E","150","D"
