"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","MEDRCARY","MEDR_ARY","MEDRGFTC","MEDR_FTC","MEDRMBMO","MEDR_BMO","MEDRMBX","MEDRMBX_","MEDRCY1","MEDRCY1_","MEDRCY2","MEDRCY2_","MEDRCY3","MEDRCY3_","MEDRCY4","MEDRCY4_","MEDRCY5","MEDRCY5_","MEDRCY6","MEDRCY6_","MEDRCY7","MEDRCY7_","MEDRCY8","MEDRCY8_","MEDRCY9","MEDRCY9_"
"20121",2377165,38,0,"1","200","D","1","D","12","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2377715,25,0,"1","120","D","1","D","12","D",76,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2378255,33,0,"1","200","D","1","D","10","D",145,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2379295,35,0,"1","620","D","1","D","12","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380075,39,0,"1","420","D","1","D","12","D",1772,"T",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2380265,31,0,"1","420","D","1","D","10","D",500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2381385,44,0,"1","420","D","1","D","10","D",110,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2382285,37,0,"1","620","D","1","D","10","D",1750,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2382285,38,0,"1","620","D","1","D","11","D",1750,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2382285,39,0,"1","620","D","1","D","12","D",1750,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2382845,37,0,"2","110","D","1","D","10","D",90,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2385005,34,0,"1","620","D","1","D","12","D",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2385345,31,0,"1","200","D","1","D","11","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2386085,37,0,"1","200","D","1","D","12","D",172,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2386975,46,0,"1","660","D","1","D","10","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2388765,35,0,"1","200","D","1","D","12","D",500,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2389025,26,0,"1","420","D","1","D","11","D",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2389175,23,0,"1","620","D","1","D","01","D",28,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2391635,33,0,"1","200","D","1","D","12","D",340,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2391775,72,0,"1","510","D","1","D","01","D",4,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2391975,42,0,"1","120","D","1","D","11","D",130,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2391995,45,0,"1","620","D","1","D","11","D",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2391995,46,0,"1","620","D","1","D","01","D",50,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2392325,24,0,"1","110","D","1","D","01","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2392325,25,0,"1","650","D","1","D","11","D",53,"T",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2392745,31,0,"1","620","D","1","D","12","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2394275,36,0,"1","420","D","1","D","01","D",189,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2394275,37,0,"1","420","D","1","D","12","D",189,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2394475,60,0,"1","620","D","1","D","11","D",75,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2396405,35,0,"2","620","D","1","D","11","D",255,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2396555,40,0,"1","200","D","1","D","12","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2397945,29,0,"2","630","D","1","D","11","D",46,"T",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2398175,63,0,"1","200","D","1","D","01","D",157,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2398665,36,0,"1","410","D","1","D","01","D",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2398665,37,0,"1","530","D","1","D","12","D",27,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2399215,32,0,"1","620","D","1","D","12","D",4,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2400675,30,0,"1","620","D","1","D","01","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2400675,31,0,"1","620","D","1","D","02","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2400675,32,0,"1","620","D","1","D","12","D",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2400915,34,0,"2","620","D","1","D","12","D",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401145,40,0,"1","530","D","1","D","01","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401145,41,0,"1","530","D","1","D","02","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401145,42,0,"1","530","D","1","D","12","D",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401855,40,0,"1","620","D","1","D","12","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401855,41,0,"1","620","D","1","D","01","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2401855,42,0,"1","620","D","2","D","02","D",150,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403095,74,0,"1","410","D","1","D","01","D",16,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403095,75,0,"1","410","D","1","D","02","D",15,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403305,17,0,"1","620","D","1","D","02","D",298,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403585,91,0,"2","620","D","1","D","12","D",114,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403815,61,0,"1","110","D","1","D","12","D",184,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2403815,62,0,"1","330","D","1","D","02","D",313,"F",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2404395,38,0,"1","700","D","1","D","12","D",276,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2404395,39,0,"1","700","D","1","D","01","D",2075,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20121",2404395,40,0,"1","710","D","1","D","01","D",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
