"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20121",2377165,19,0,"1","150","D","10","D",150,"D"
"20121",2377235,15,0,"1","150","D","13","D",125,"D"
"20121",2377265,14,0,"1","150","D","13","D",80,"D"
"20121",2377275,19,0,"1","170","D","12","D",125,"D"
"20121",2377275,20,0,"1","160","D","12","D",25,"D"
"20121",2377335,23,0,"1","170","D","12","D",125,"D"
"20121",2377355,13,0,"1","160","D","13","D",16,"D"
"20121",2377405,18,0,"1","170","D","11","D",300,"D"
"20121",2377405,19,0,"1","150","D","13","D",43,"D"
"20121",2377455,20,0,"1","170","D","11","D",100,"D"
"20121",2377455,21,0,"1","170","D","12","D",200,"D"
"20121",2377485,17,0,"1","130","D","12","D",200,"D"
"20121",2377485,18,0,"1","150","D","12","D",1400,"D"
"20121",2377485,19,0,"1","160","D","12","D",500,"D"
"20121",2377505,14,0,"1","170","D","12","D",250,"D"
"20121",2377505,15,0,"1","150","D","10","D",25,"D"
"20121",2377505,16,0,"1","150","D","11","D",25,"D"
"20121",2377535,14,0,"1","150","D","13","D",30,"D"
"20121",2377555,17,0,"1","160","D","12","D",80,"D"
"20121",2377565,20,0,"1","150","D","13","D",10,"D"
"20121",2377575,20,0,"1","160","D","12","D",30,"D"
"20121",2377625,21,0,"1","100","D","13","D",800,"D"
"20121",2377625,22,0,"1","150","D","13","D",250,"D"
"20121",2377625,23,0,"2","170","D","10","D",50,"D"
"20121",2377725,16,0,"1","170","D","12","D",200,"D"
"20121",2377725,17,0,"1","160","D","12","D",40,"D"
"20121",2377735,16,0,"1","150","D","12","D",79,"D"
"20121",2377735,17,0,"1","160","D","12","D",50,"D"
"20121",2377785,17,0,"1","150","D","12","D",1000,"D"
"20121",2377785,18,0,"1","160","D","12","D",300,"D"
"20121",2377825,13,0,"1","170","D","12","D",1000,"D"
"20121",2377845,14,0,"1","170","D","12","D",200,"D"
"20121",2377845,15,0,"1","150","D","13","D",50,"D"
"20121",2377865,26,0,"1","170","D","12","D",315,"D"
"20121",2377865,27,0,"1","150","D","13","D",840,"D"
"20121",2377965,16,0,"1","150","D","12","D",15,"D"
"20121",2377985,23,0,"1","170","D","12","D",500,"D"
"20121",2377985,24,0,"1","160","D","12","D",4000,"D"
"20121",2377985,25,0,"2","160","D","10","D",350,"D"
"20121",2378005,14,0,"1","170","D","12","D",2000,"D"
"20121",2378005,15,0,"1","170","D","12","D",1750,"D"
"20121",2378005,16,0,"1","150","D","13","D",500,"D"
"20121",2378035,21,0,"1","100","D","12","D",6000,"D"
"20121",2378035,22,0,"1","150","D","13","D",160,"D"
"20121",2378035,23,0,"1","160","D","13","D",30,"D"
"20121",2378035,24,0,"1","160","D","13","D",50,"D"
"20121",2378045,16,0,"1","150","D","13","D",100,"D"
"20121",2378055,17,0,"1","150","D","13","D",400,"D"
"20121",2378115,14,0,"1","110","D","13","D",100,"D"
"20121",2378115,15,0,"1","150","D","10","D",225,"D"
"20121",2378165,28,0,"1","160","D","11","D",200,"D"
"20121",2378265,16,0,"1","170","D","10","D",100,"D"
"20121",2378285,27,0,"1","170","D","12","D",50,"D"
"20121",2378285,28,0,"1","170","D","12","D",30,"D"
"20121",2378285,29,0,"1","130","D","12","D",1000,"D"
