"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20121",2379295,54,0,"1",1,"D",.,"H",,"A"
"20121",2379295,54,1,"1",.,"A",10,"E","100","D"
"20121",2379295,54,2,"1",.,"A",2,"E","110","D"
"20121",2379295,54,3,"1",.,"A",4,"E","120","D"
"20121",2379295,54,4,"1",.,"A",23,"E","130","D"
"20121",2379295,54,5,"1",.,"A",28,"E","150","D"
"20121",2379295,54,6,"1",.,"A",2,"E","160","D"
"20121",2379295,54,7,"1",.,"A",2,"E","170","D"
"20121",2379295,54,8,"1",.,"A",100,"E","180","D"
"20121",2379295,54,9,"1",.,"A",9,"E","190","D"
"20121",2379735,54,0,"1",1,"D",.,"H",,"A"
"20121",2379735,54,1,"1",.,"A",30,"E","120","D"
"20121",2379735,54,2,"1",.,"A",3,"E","140","D"
"20121",2379735,54,3,"1",.,"A",157,"E","150","D"
"20121",2379735,54,4,"1",.,"A",16,"E","160","D"
"20121",2379735,54,5,"1",.,"A",14,"E","170","D"
"20121",2379735,54,6,"1",.,"A",265,"E","180","D"
"20121",2379735,54,7,"1",.,"A",26,"E","190","D"
"20121",2379815,78,0,"1",2,"D",.,"H",,"A"
"20121",2379815,78,1,"1",.,"A",2,"E","120","D"
"20121",2379815,78,2,"1",.,"A",16,"E","150","D"
"20121",2379815,78,3,"1",.,"A",4,"E","160","D"
"20121",2379815,78,4,"1",.,"A",1,"E","170","D"
"20121",2379815,78,5,"1",.,"A",14,"E","180","D"
"20121",2379815,78,6,"1",.,"A",3,"E","190","D"
"20121",2381115,37,0,"1",1,"D",.,"H",,"A"
"20121",2381115,37,1,"1",.,"A",38,"E","120","D"
"20121",2381115,37,2,"1",.,"A",4,"E","140","D"
"20121",2381115,37,3,"1",.,"A",231,"E","150","D"
"20121",2381115,37,4,"1",.,"A",13,"E","160","D"
"20121",2381115,37,5,"1",.,"A",34,"E","170","D"
"20121",2381115,37,6,"1",.,"A",30,"E","190","D"
"20121",2381375,43,0,"1",1,"D",.,"H",,"A"
"20121",2381375,43,1,"1",.,"A",7,"E","120","D"
"20121",2381375,43,2,"1",.,"A",25,"E","150","D"
"20121",2381375,43,3,"1",.,"A",2,"E","160","D"
"20121",2381375,43,4,"1",.,"A",1,"E","170","D"
"20121",2381375,43,5,"1",.,"A",87,"E","180","D"
"20121",2381375,43,6,"1",.,"A",8,"E","190","D"
"20121",2382795,35,0,"1",1,"D",.,"H",,"A"
"20121",2382795,35,1,"1",.,"A",21,"E","120","D"
"20121",2382795,35,2,"1",.,"A",3,"E","140","D"
"20121",2382795,35,3,"1",.,"A",127,"E","150","D"
"20121",2382795,35,4,"1",.,"A",12,"E","160","D"
"20121",2382795,35,5,"1",.,"A",10,"E","170","D"
"20121",2382795,35,6,"1",.,"A",207,"E","180","D"
"20121",2382795,35,7,"1",.,"A",20,"E","190","D"
"20121",2386335,57,0,"1",1,"D",.,"H",,"A"
"20121",2386335,57,1,"1",.,"A",49,"E","100","D"
"20121",2386335,57,2,"1",.,"A",11,"E","110","D"
"20121",2386335,57,3,"1",.,"A",26,"E","120","D"
"20121",2386335,57,4,"1",.,"A",81,"E","130","D"
"20121",2386335,57,5,"1",.,"A",3,"E","140","D"
"20121",2386335,57,6,"1",.,"A",173,"E","150","D"
"20121",2386335,57,7,"1",.,"A",10,"E","160","D"
"20121",2386335,57,8,"1",.,"A",25,"E","170","D"
"20121",2386335,57,9,"1",.,"A",22,"E","190","D"
"20121",2387335,38,0,"1",1,"D",.,"H",,"A"
"20121",2387335,38,1,"1",.,"A",45,"E","120","D"
"20121",2387335,38,2,"1",.,"A",7,"E","140","D"
"20121",2387335,38,3,"1",.,"A",341,"E","150","D"
"20121",2387335,38,4,"1",.,"A",30,"E","160","D"
"20121",2387335,38,5,"1",.,"A",27,"E","170","D"
"20121",2387335,38,6,"1",.,"A",285,"E","180","D"
"20121",2387335,38,7,"1",.,"A",65,"E","190","D"
"20121",2389365,73,0,"1",1,"D",.,"H",,"A"
"20121",2389365,73,1,"1",.,"A",71,"E","120","D"
"20121",2389365,73,2,"1",.,"A",11,"E","140","D"
"20121",2389365,73,3,"1",.,"A",508,"E","150","D"
"20121",2389365,73,4,"1",.,"A",45,"E","160","D"
"20121",2389365,73,5,"1",.,"A",41,"E","170","D"
"20121",2389365,73,6,"1",.,"A",427,"E","180","D"
"20121",2389365,73,7,"1",.,"A",97,"E","190","D"
"20121",2389895,53,0,"1",1,"D",.,"H",,"A"
"20121",2389895,53,1,"1",.,"A",257,"E","120","D"
"20121",2389895,53,2,"1",.,"A",35,"E","140","D"
"20121",2389895,53,3,"1",.,"A",1687,"E","150","D"
"20121",2389895,53,4,"1",.,"A",101,"E","160","D"
"20121",2389895,53,5,"1",.,"A",249,"E","170","D"
"20121",2389895,53,6,"1",.,"A",221,"E","190","D"
"20121",2395385,27,0,"1",1,"D",.,"H",,"A"
"20121",2395385,27,1,"1",.,"A",82,"E","120","D"
"20121",2395385,27,2,"1",.,"A",10,"E","140","D"
"20121",2395385,27,3,"1",.,"A",393,"E","150","D"
"20121",2395385,27,4,"1",.,"A",30,"E","160","D"
"20121",2395385,27,5,"1",.,"A",58,"E","170","D"
"20121",2395385,27,6,"1",.,"A",462,"E","180","D"
"20121",2395385,27,7,"1",.,"A",65,"E","190","D"
"20121",2396275,81,0,"1",1,"D",.,"H",,"A"
"20121",2396275,81,1,"1",.,"A",199,"E","100","D"
"20121",2396275,81,2,"1",.,"A",54,"E","110","D"
"20121",2396275,81,3,"1",.,"A",92,"E","120","D"
"20121",2396275,81,4,"1",.,"A",356,"E","130","D"
"20121",2396275,81,5,"1",.,"A",15,"E","140","D"
"20121",2396275,81,6,"1",.,"A",693,"E","150","D"
"20121",2396275,81,7,"1",.,"A",62,"E","160","D"
"20121",2396275,81,8,"1",.,"A",57,"E","170","D"
"20121",2396275,81,9,"1",.,"A",583,"E","180","D"
"20121",2396275,81,10,"1",.,"A",133,"E","190","D"
"20121",2396275,81,11,"1",.,"A",86,"E","200","D"
"20121",2396275,81,12,"1",.,"A",110,"E","210","D"
"20121",2396275,81,13,"1",.,"A",158,"E","220","D"
"20121",2396455,72,0,"1",1,"D",.,"H",,"A"
"20121",2396455,72,1,"1",.,"A",22,"E","120","D"
"20121",2396455,72,2,"1",.,"A",7,"E","140","D"
"20121",2396455,72,3,"1",.,"A",169,"E","150","D"
"20121",2396455,72,4,"1",.,"A",15,"E","160","D"
"20121",2396455,72,5,"1",.,"A",13,"E","170","D"
"20121",2396455,72,6,"1",.,"A",142,"E","180","D"
"20121",2396455,72,7,"1",.,"A",32,"E","190","D"
"20121",2396635,90,0,"1",1,"D",.,"H",,"A"
"20121",2396635,90,1,"1",.,"A",27,"E","120","D"
"20121",2396635,90,2,"1",.,"A",3,"E","140","D"
"20121",2396635,90,3,"1",.,"A",159,"E","150","D"
"20121",2396635,90,4,"1",.,"A",9,"E","160","D"
"20121",2396635,90,5,"1",.,"A",23,"E","170","D"
"20121",2396635,90,6,"1",.,"A",20,"E","190","D"
"20121",2398975,52,0,"1",1,"D",.,"H",,"A"
"20121",2398975,52,1,"1",.,"A",21,"E","120","D"
"20121",2398975,52,2,"1",.,"A",3,"E","140","D"
"20121",2398975,52,3,"1",.,"A",93,"E","150","D"
"20121",2398975,52,4,"1",.,"A",18,"E","160","D"
"20121",2398975,52,5,"1",.,"A",12,"E","170","D"
"20121",2398975,52,6,"1",.,"A",14,"E","190","D"
"20121",2399335,62,0,"1",1,"D",.,"H",,"A"
"20121",2399335,62,1,"1",.,"A",53,"E","120","D"
"20121",2399335,62,2,"1",.,"A",12,"E","140","D"
"20121",2399335,62,3,"1",.,"A",404,"E","150","D"
"20121",2399335,62,4,"1",.,"A",36,"E","160","D"
"20121",2399335,62,5,"1",.,"A",33,"E","170","D"
"20121",2399335,62,6,"1",.,"A",340,"E","180","D"
"20121",2399335,62,7,"1",.,"A",77,"E","190","D"
"20121",2400505,42,0,"1",2,"D",.,"H",,"A"
"20121",2400505,42,1,"1",.,"A",92,"E","100","D"
"20121",2400505,42,2,"1",.,"A",29,"E","110","D"
"20121",2400505,42,3,"1",.,"A",54,"E","120","D"
"20121",2400505,42,4,"1",.,"A",153,"E","130","D"
"20121",2400505,42,5,"1",.,"A",8,"E","140","D"
"20121",2400505,42,6,"1",.,"A",317,"E","150","D"
"20121",2400505,42,7,"1",.,"A",33,"E","160","D"
"20121",2400505,42,8,"1",.,"A",28,"E","170","D"
"20121",2400505,42,9,"1",.,"A",534,"E","180","D"
"20121",2400505,42,10,"1",.,"A",52,"E","190","D"
"20121",2402085,69,0,"1",1,"D",.,"H",,"A"
"20121",2402085,69,1,"1",.,"A",70,"E","100","D"
"20121",2402085,69,2,"1",.,"A",18,"E","110","D"
"20121",2402085,69,3,"1",.,"A",44,"E","120","D"
"20121",2402085,69,4,"1",.,"A",5,"E","140","D"
"20121",2402085,69,5,"1",.,"A",272,"E","150","D"
"20121",2402085,69,6,"1",.,"A",16,"E","160","D"
"20121",2402085,69,7,"1",.,"A",40,"E","170","D"
"20121",2402085,69,8,"1",.,"A",35,"E","190","D"
"20121",2406535,46,0,"1",1,"D",.,"H",,"A"
