"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFRT3MCX","QFRT_MCX","QREP3MCX","QREP_MCX"
"20121",2377335,35,0,"1",40,"D",.,"A"
"20121",2381225,31,0,"1",223,"D",.,"A"
"20121",2382285,24,0,"1",.,"A",400,"D"
"20121",2382745,48,0,"1",.,"A",0,"D"
"20121",2383965,27,0,"1",.,"A",43,"D"
"20121",2387265,39,0,"1",.,"A",25,"D"
"20121",2387615,31,0,"1",.,"A",137,"D"
"20121",2388205,31,0,"1",.,"A",1633,"D"
"20121",2394395,54,0,"1",.,"A",225,"D"
"20121",2395735,23,0,"1",.,"A",800,"D"
"20121",2402275,23,0,"1",450,"D",.,"A"
"20121",2411284,25,0,"1",.,"A",25,"D"
"20121",2420344,22,0,"1",864,"D",.,"A"
"20121",2420614,32,0,"1",.,"A",50,"D"
"20121",2421644,35,0,"1",432,"D",.,"A"
"20121",2427604,23,0,"1",.,"A",0,"D"
"20121",2428874,28,0,"1",.,"A",15,"D"
"20121",2434004,14,0,"1",356,"F",.,"A"
"20121",2438394,28,0,"1",100,"D",.,"A"
"20121",2439074,26,0,"1",.,"A",140,"D"
"20121",2442924,35,0,"1",.,"A",250,"D"
"20121",2443723,35,0,"1",.,"A",75,"D"
"20121",2449413,14,0,"1",.,"A",.,"A"
"20121",2449713,29,0,"1",.,"A",400,"D"
"20121",2451363,23,0,"1",840,"D",.,"A"
"20121",2457443,35,0,"1",.,"A",50,"D"
"20121",2460743,19,0,"1",242,"D",.,"A"
"20121",2463013,32,0,"1",300,"D",.,"A"
"20121",2465863,15,0,"1",.,"A",.,"A"
"20121",2467313,29,0,"1",.,"A",5,"D"
"20121",2468833,32,0,"1",.,"A",62,"D"
"20121",2470003,18,0,"1",.,"A",0,"D"
"20121",2474133,50,0,"1",.,"A",460,"D"
"20121",2476804,14,0,"1",.,"A",.,"A"
"20121",2477662,16,0,"1",264,"D",.,"A"
"20121",2479822,19,0,"1",.,"A",.,"A"
"20121",2482265,40,0,"1",.,"A",30,"D"
"20121",2482352,16,0,"1",.,"A",830,"D"
"20121",2482952,21,0,"1",.,"A",240,"D"
"20121",2486552,26,0,"1",.,"A",95,"D"
"20121",2486692,19,0,"1",.,"A",0,"D"
"20121",2487443,16,0,"1",420,"D",.,"A"
"20121",2487773,27,0,"1",108,"D",.,"A"
"20121",2489382,54,0,"1",.,"A",43,"D"
"20121",2489952,21,0,"1",.,"A",600,"D"
"20121",2496742,27,0,"1",.,"A",2057,"D"
"20121",2497062,31,0,"1",.,"A",60,"D"
"20121",2498912,32,0,"1",.,"A",10,"D"
"20121",2499054,18,0,"1",600,"D",.,"A"
"20121",2500902,17,0,"1",.,"A",40,"D"
"20121",2503862,22,0,"1",.,"A",35,"D"
"20121",2503952,25,0,"1",.,"A",30,"D"
"20121",2504312,31,0,"1",.,"A",0,"D"
"20121",2504852,26,0,"1",.,"A",100,"D"
"20121",2505372,17,0,"1",100,"D",.,"A"
"20121",2505642,18,0,"1",.,"A",35,"D"
"20121",2509362,25,0,"1",.,"A",400,"D"
"20121",2538053,15,0,"1",.,"A",150,"D"
"20122",2409935,39,0,"1",.,"A",116,"D"
"20122",2418135,15,0,"1",.,"A",.,"A"
"20122",2427605,22,0,"1",.,"A",150,"D"
"20122",2428375,35,0,"1",.,"A",12,"D"
"20122",2429055,25,0,"1",.,"A",125,"D"
"20122",2431285,66,0,"1",.,"A",0,"D"
"20122",2431645,22,0,"1",140,"D",.,"A"
"20122",2432055,30,0,"1",.,"A",0,"D"
"20122",2432415,15,0,"1",.,"A",.,"A"
"20122",2434435,39,0,"1",.,"A",35,"D"
"20122",2436395,19,0,"1",.,"A",5,"D"
"20122",2438825,33,0,"1",.,"A",130,"D"
"20122",2440315,18,0,"1",.,"A",100,"D"
"20122",2444524,19,0,"1",.,"A",80,"D"
"20122",2450214,14,0,"1",.,"A",.,"A"
"20122",2450744,24,0,"1",.,"A",250,"D"
"20122",2450914,20,0,"1",.,"A",750,"D"
"20122",2451364,25,0,"1",840,"D",.,"A"
"20122",2452444,23,0,"1",397,"D",.,"A"
"20122",2456184,14,0,"1",.,"A",.,"A"
"20122",2459994,14,0,"1",.,"A",.,"A"
"20122",2460484,15,0,"1",.,"A",21,"D"
"20122",2464984,20,0,"1",.,"A",40,"D"
"20122",2466404,39,0,"1",.,"A",450,"D"
"20122",2471014,26,0,"1",.,"A",259,"D"
"20122",2477663,18,0,"1",44,"D",.,"A"
"20122",2479603,19,0,"1",138,"D",.,"A"
"20122",2480403,27,0,"1",.,"A",0,"D"
"20122",2482803,14,0,"1",.,"A",.,"A"
"20122",2483603,35,0,"1",.,"A",1000,"D"
"20122",2486693,15,0,"1",.,"A",300,"D"
"20122",2487774,18,0,"1",135,"D",.,"A"
"20122",2488813,25,0,"1",.,"A",0,"D"
"20122",2489953,25,0,"1",.,"A",1100,"D"
"20122",2495743,19,0,"1",.,"A",200,"D"
"20122",2496773,16,0,"1",270,"D",.,"A"
"20122",2497133,29,0,"1",.,"A",33,"D"
"20122",2502083,22,0,"1",300,"D",.,"A"
"20122",2502333,22,0,"1",.,"A",30,"D"
"20122",2504313,42,0,"1",.,"A",108,"D"
"20122",2505413,26,0,"1",.,"A",20,"D"
"20122",2508273,21,0,"1",.,"A",300,"D"
"20122",2511353,25,0,"1",.,"A",60,"D"
"20122",2512082,70,0,"1",.,"A",30,"D"
"20122",2512792,20,0,"1",.,"A",50,"D"
"20122",2514742,29,0,"1",550,"D",.,"A"
"20122",2516652,21,0,"1",.,"A",20,"D"
"20122",2516702,14,0,"1",.,"A",.,"A"
"20122",2517392,32,0,"1",.,"A",250,"D"
"20122",2517582,39,0,"1",.,"A",40,"D"
"20122",2519502,29,0,"1",.,"A",25,"D"
"20122",2528082,19,0,"1",.,"A",300,"D"
"20122",2529632,16,0,"1",261,"D",.,"A"
"20122",2530412,19,0,"1",.,"A",0,"D"
"20122",2532812,30,0,"1",.,"A",115,"D"
"20122",2535992,14,0,"1",.,"A",.,"A"
"20122",2543432,31,0,"1",.,"A",170,"D"
"20122",2544492,27,0,"1",105,"D",.,"A"
"20122",2555975,19,0,"1",651,"D",.,"A"
"20122",2564742,15,0,"1",0,"D",.,"A"
"20122",2565744,18,0,"1",100,"D",.,"A"
"20122",2571372,19,0,"1",.,"A",0,"D"
"20122",2575205,21,0,"1",.,"A",160,"D"
"20123",2446765,29,0,"1",.,"A",40,"D"
"20123",2450215,17,0,"1",.,"A",.,"A"
