"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20121",2377365,40,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",575,"D","01","D",40000,"D"
"20121",2378255,40,0,"5","01","D","100","D","1","D",0.0475,"D",401,"D",229,"D","01","D",33800,"D"
"20121",2378285,124,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20121",2379195,34,0,"5","01","D","100","D","1","D",0.0475,"D",392,"F",-116,"F","01","D",33000,"F"
"20121",2379205,26,0,"5","01","D","100","D","1","D",0.0475,"D",112,"F",1788,"F","01","D",9400,"F"
"20121",2379545,45,0,"5","01","D","100","D","1","D",0.0475,"D",195,"F",405,"F","01","D",16455,"F"
"20121",2379665,61,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",7,"D","01","D",36000,"D"
"20121",2379885,40,0,"5","01","D","100","D","1","D",0.0475,"D",950,"D",-215,"D","01","D",80000,"D"
"20121",2379995,45,0,"5","01","D","100","D","1","D",0.0475,"D",141,"D",459,"D","01","D",11900,"D"
"20121",2380625,51,0,"5","01","D","100","D","1","D",0.0475,"D",43,"F",-7,"F","01","D",3607,"F"
"20121",2380745,47,0,"5","01","D","100","D","1","D",0.0475,"D",58,"D",23228,"T","01","D",4900,"D"
"20121",2380765,66,0,"5","01","D","100","D","1","D",0.0475,"D",48,"D",120,"D","01","D",4000,"D"
"20121",2381405,66,0,"5","01","D","100","D","1","D",0.0475,"D",1591,"D",209,"D","01","D",134000,"D"
"20121",2382605,30,0,"5","01","D","100","D","1","D",0.0475,"D",74,"F",175,"F","01","D",6200,"F"
"20121",2382745,66,0,"5","01","D","100","D","1","D",0.0475,"D",594,"D",3156,"D","01","D",50000,"D"
"20121",2383535,59,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20121",2384425,84,0,"5","01","D","100","D","1","D",0.0475,"D",534,"D",841,"D","01","D",45000,"D"
"20121",2384725,67,0,"5","01","D","100","D","1","D",0.0475,"D",83,"D",1917,"D","01","D",7000,"D"
"20121",2385135,39,0,"5","01","D","100","D","2","D",0.0475,"D",475,"F",350,"F","01","D",40000,"F"
"20121",2385415,47,0,"5","01","D","500","D","2","D",0.0475,"D",.,"A",.,"A","01","D",2,"D"
"20121",2385445,37,0,"5","01","D","100","D","2","D",0.0475,"D",297,"F",1203,"F","01","D",25000,"F"
"20121",2385495,39,0,"5","01","D","100","D","1","D",0.0475,"D",249,"D",1251,"D","01","D",21000,"D"
"20121",2385775,49,0,"5","01","D","100","D","1","D",0.0475,"D",249,"D",351,"D","01","D",21000,"D"
"20121",2385795,92,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20121",2386305,75,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",273000,"D"
"20121",2386415,62,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",10000,"D"
"20121",2386495,31,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20121",2386705,41,0,"5","01","D","100","D","1","D",0.0475,"D",713,"F",787,"F","01","D",60000,"F"
"20121",2387255,37,0,"5","01","D","100","D","1","D",0.0475,"D",594,"F",906,"F","01","D",50000,"F"
"20121",2387395,38,0,"5","01","D","100","D","1","D",0.0475,"D",451,"D",164,"D","01","D",38000,"D"
"20121",2387525,52,0,"5","01","D","100","D","1","D",0.0475,"D",2969,"D",-935,"D","01","D",250000,"D"
"20121",2388265,48,0,"5","01","D","100","D","1","D",0.0475,"D",102,"D",288,"D","01","D",8600,"D"
"20121",2388645,52,0,"5","01","D","100","D","1","D",0.0475,"D",95,"D",6605,"D","01","D",8000,"D"
"20121",2388735,35,0,"5","01","D","100","D","1","D",0.0475,"D",321,"D",579,"D","01","D",27000,"D"
"20121",2389205,122,0,"5","01","D","100","D","1","D",0.0475,"D",321,"D",2679,"D","01","D",27000,"D"
"20121",2389705,50,0,"5","01","D","100","D","1","D",0.0475,"D",119,"D",2281,"D","01","D",10000,"D"
"20121",2390245,63,0,"5","01","D","100","D","1","D",0.0475,"D",131,"F",2069,"F","01","D",11000,"F"
"20121",2390305,53,0,"5","01","D","100","D","1","D",0.0475,"D",1686,"D",2163,"D","01","D",142000,"D"
"20121",2390375,36,0,"5","01","D","100","D","1","D",0.0475,"D",787,"D",1013,"D","01","D",66279,"D"
"20121",2390405,57,0,"5","01","D","100","D","1","D",0.0475,"D",74,"D",76,"D","01","D",6200,"D"
"20121",2390625,37,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",662,"D","01","D",20000,"D"
"20121",2391125,58,0,"5","01","D","100","D","1","D",0.0475,"D",689,"D",871,"D","01","D",58000,"D"
"20121",2391145,40,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",550,"D","01","D",12000,"D"
"20121",2391335,43,0,"5","01","D","100","D","1","D",0.0475,"D",2146,"D",-646,"D","01","D",180693,"D"
"20121",2391445,30,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20121",2391495,52,0,"5","01","D","100","D","1","D",0.0475,"D",273,"D",1261,"D","01","D",23000,"D"
"20121",2391665,45,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
