"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV"
"20124",2584005,27,0,"1",260,"D",65,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",.,"A",195,"D","2","D",.,"A"
"20124",2584012,96,0,"1",1950,"D",0,"D",.,"A",2600,"D",600,"D",.,"A",.,"A",.,"A",1950,"D","2","D",300,"D"
"20124",2584023,42,0,"1",325,"D",65,"D",260,"D",520,"D",1050,"D",546,"D",2184,"D",.,"A",260,"D","2","D",105,"D"
"20124",2584042,50,0,"1",3250,"D",260,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",2990,"D","2","D",.,"A"
"20124",2584082,44,0,"1",1651,"D",228,"F",.,"A",65,"D",.,"A",.,"A",.,"A",.,"A",995,"F","2","D",.,"A"
"20124",2584092,64,0,"1",1625,"D",390,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",1235,"D","2","D",.,"A"
"20124",2584122,44,0,"1",2600,"D",1300,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D",150,"D"
"20124",2584132,32,0,"1",5200,"D",1300,"D",1300,"D",1300,"D",.,"A",.,"A",.,"A",.,"A",3900,"D","2","D",.,"A"
"20124",2584142,69,0,"1",1040,"D",130,"D",.,"A",650,"D",0,"D",.,"A",.,"A",160,"D",910,"D","2","D",90,"D"
"20124",2584152,58,0,"1",715,"D",195,"D",260,"D",390,"D",75,"D",.,"A",.,"A",120,"D",520,"D","2","D",0,"D"
"20124",2584172,45,0,"1",1950,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1755,"D","2","D",.,"A"
"20124",2584192,40,0,"1",2600,"D",585,"D",.,"A",650,"D",195,"D",.,"A",.,"A",.,"A",2015,"D","2","D",300,"D"
"20124",2584212,25,0,"1",1950,"D",325,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D",.,"A"
"20124",2584222,43,0,"1",1625,"D",260,"D",260,"D",390,"D",.,"A",.,"A",.,"A",.,"A",1365,"D","2","D",.,"A"
"20124",2584242,46,0,"1",1950,"D",325,"D",.,"A",1170,"D",0,"D",.,"A",.,"A",.,"A",1625,"D","2","D",450,"D"
"20124",2584262,78,0,"1",5850,"D",1950,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",.,"A",3900,"D","2","D",120,"D"
"20124",2584272,64,0,"1",1950,"D",650,"D",65,"D",169,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D",60,"D"
"20124",2584282,49,0,"1",1300,"D",176,"F",156,"D",363,"F",.,"A",.,"A",.,"A",.,"A",700,"F","2","D",.,"A"
"20124",2584292,45,0,"1",975,"D",130,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",845,"D","2","D",.,"A"
"20124",2584302,68,0,"1",1300,"D",130,"D",.,"A",975,"D",.,"A",.,"A",.,"A",.,"A",1170,"D","2","D",.,"A"
"20124",2584312,49,0,"1",2145,"D",390,"D",351,"D",0,"D",0,"D",.,"A",.,"A",.,"A",1755,"D","2","D",225,"D"
"20124",2584322,35,0,"1",1426,"F",.,"A",.,"A",629,"F",.,"A",.,"A",.,"A",.,"A",1179,"F","2","D",.,"A"
"20124",2584334,21,0,"1",1950,"D",325,"D",.,"A",725,"F",.,"A",.,"A",.,"A",.,"A",1625,"D","2","D",.,"A"
"20124",2584352,65,0,"1",520,"D",0,"D",520,"D",780,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D",.,"A"
