"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20121",2377265,21,0,"5","01","D","110","D","2009","D",.,"A",60,"D","06","F",500,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",500,"D",500,"D",500,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","FORBC","D",,"A"
"20121",2377355,20,0,"5","01","D","100","D","2010","D",.,"A",.,"C","02","F",530,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",530,"D",530,"D",530,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAN","D",,"A"
"20121",2377725,35,0,"1","01","D","100","D","2012","D",.,"A",72,"D","01","D",380,"D","3","D",.,"A",2250,"D",2000,"D",.,"A","12","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2000,"D",.,"A","FORBA","D","2011","D"
"20121",2378175,44,0,"5","01","D","110","D","2011","D",.,"A",48,"D","05","D",389,"D","3","D",.,"A",2000,"D",.,"A",.,"A",,"A",389,"D",389,"D",389,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBP","D",,"A"
"20121",2378285,93,0,"5","03","D","100","D","2012","D",.,"A",36,"D","09","D",488,"D","3","D",.,"A",1790,"D",488,"D",.,"A",,"A",488,"D",488,"D",488,"D",.,"A",.,"A",.,"A",488,"D",.,"A","ACUAG","D",,"A"
"20121",2378285,94,0,"5","04","D","110","D","2012","D",.,"A",36,"D","10","D",489,"D","3","D",.,"A",2900,"D",.,"A",.,"A",,"A",489,"D",489,"D",489,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAG","D",,"A"
"20121",2379165,24,0,"5","01","D","100","D","2007","D",.,"A",48,"D","04","D",650,"D","3","D",.,"A",.,"A",.,"A",.,"A","11","D",650,"D",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A",5000,"D","HONAA","D",,"A"
"20121",2379855,29,0,"5","01","D","100","D","2001","D",.,"A",1,"D","01","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A","11","D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","HYUAA","D",,"A"
"20121",2379855,30,0,"5","02","D","110","D","1998","D",.,"A",1,"D","06","D",.,"C","7","D",.,"A",.,"A",.,"A",.,"A","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","FORAV","D",,"A"
"20121",2379855,31,0,"5","03","D","100","D","2002","D",.,"A",1,"D","06","D",.,"C","7","D",.,"A",.,"A",.,"A",.,"A","11","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAI","D",,"A"
"20121",2379855,32,0,"5","04","D","110","D","2002","D",.,"A",24,"D","09","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A","12","D",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAB","D",,"A"
"20121",2380075,28,0,"5","01","D","110","D","2009","D",0.3,"D",60,"D","08","D",351,"D","3","D",.,"A",.,"A",5000,"D",.,"A",,"A",351,"D",351,"D",351,"D",.,"A",.,"A",.,"A",5000,"D",.,"A","TOYAN","D",,"A"
"20121",2380625,39,0,"5","02","D","100","D","2012","D",.,"A",39,"D","11","D",340,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",.,"A",340,"D",340,"D",.,"A",.,"A",.,"A",.,"A",.,"A","FORBA","D",,"A"
"20121",2380745,33,0,"5","01","D","100","D","2010","D",.,"A",36,"D","04","D",205,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",205,"D",205,"D",205,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A"
"20121",2380775,20,0,"1","01","D","100","D","2011","D",.,"A",36,"D","05","D",435,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",435,"D",435,"D",435,"D",.,"A",.,"A",.,"A",.,"A",.,"A","SUBAC","D",,"A"
"20121",2381005,23,0,"5","01","D","100","D","2011","D",.,"A",.,"C","06","D",460,"D","3","D",.,"A",.,"A",7500,"D",.,"A",,"A",460,"D",460,"D",460,"D",.,"A",.,"A",.,"A",7500,"D",.,"A","AUDAG","D",,"A"
"20121",2381095,42,0,"5","01","D","100","D","2010","D",0.15,"D",36,"D","02","D",700,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",700,"D",700,"D",700,"D",.,"A",.,"A",.,"A",2000,"D",.,"A","AUDAH","D",,"A"
"20121",2383165,32,0,"5","01","D","100","D","2011","D",.,"A",36,"D","06","D",279,"D","3","D",.,"A",3000,"D",4000,"D",.,"A",,"A",279,"D",279,"D",279,"D",.,"A",.,"A",.,"A",4000,"D",.,"A","HONAA","D",,"A"
"20121",2383245,38,0,"5","01","D","110","D","2010","D",.,"A",36,"D","09","D",435,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",435,"D",435,"D",435,"D",.,"A",.,"A",.,"A",.,"A",.,"A","JEEAI","D",,"A"
"20121",2384285,27,0,"5","01","D","100","D","2011","D",.,"A",36,"D","07","D",695,"D","3","D",.,"A",.,"C",.,"A",.,"A",,"A",695,"D",695,"D",695,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAB","D",,"A"
"20121",2384395,28,0,"5","02","D","100","D","2011","D",.,"A",24,"D","06","D",300,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","FORBJ","D",,"A"
"20121",2384445,29,0,"5","01","D","110","D","2003","D",.,"A",48,"D","11","D",322,"D","3","D",.,"A",4000,"D",1000,"D",.,"A",,"A",.,"A",322,"D",322,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","DODAV","D",,"A"
"20121",2384875,23,0,"5","01","D","100","D","2007","D",.,"A",48,"D","11","D",349,"D","3","D",.,"A",300,"D",2500,"D",.,"A",,"A",349,"D",349,"D",349,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","HONAA","D",,"A"
"20121",2385415,36,0,"5","01","D","100","D","2010","D",.,"A",36,"D","04","D",300,"D","3","D",.,"A",.,"A",1500,"D",.,"A","11","D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",1500,"D",.,"A","TOYAC","D",,"A"
"20121",2385795,73,0,"5","01","D","100","D","2011","D",.,"A",36,"D","06","D",284,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",284,"D",284,"D",284,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAA","D",,"A"
"20121",2386335,40,0,"5","01","D","100","D","2009","D",.,"A",39,"D","06","D",456,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",456,"D",456,"D",456,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","NISAG","D",,"A"
"20121",2386745,63,0,"5","01","D","100","D","2008","D",.,"A",36,"D","01","D",202,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",202,"D",202,"D",202,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","TOYAC","D",,"A"
"20121",2386845,37,0,"5","01","D","100","D","2009","D",.,"A",36,"D","12","D",600,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",600,"D",600,"D",600,"D",.,"A",.,"A",.,"A",.,"A",.,"A","BMWAN","D",,"A"
"20121",2386895,48,0,"5","02","D","100","D","2011","D",.,"A",36,"D","02","D",235,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",235,"D",235,"D",235,"D",.,"A",.,"A",.,"A",.,"A",.,"A","NISAD","D",,"A"
"20121",2387465,19,0,"1","01","D","100","D","2011","D",.,"A",36,"D","07","D",238,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",238,"D",238,"D",238,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAF","D",,"A"
"20121",2388205,41,0,"5","01","D","100","D","2010","D",.,"A",24,"D","09","D",182,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",182,"D",182,"D",182,"D",.,"A",.,"A",.,"A",.,"A",.,"A","MAZAN","D",,"A"
"20121",2388685,35,0,"5","01","D","110","D","2011","D",.,"A",.,"C","03","D",400,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",400,"D",400,"D",400,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAO","D",,"A"
"20121",2389195,38,0,"5","01","D","110","D","2011","D",.,"A",48,"D","01","D",379,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",379,"D",379,"D",379,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBS","D",,"A"
"20121",2389215,32,0,"5","01","D","100","D","2010","D",.,"A",36,"D","07","D",242,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",242,"D",242,"D",242,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAB","D",,"A"
"20121",2390335,44,0,"5","02","D","100","D","2012","D",.,"A",42,"D","10","D",260,"D","3","D",.,"A",1600,"D",3000,"D",.,"A",,"A",260,"D",260,"D",260,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","SUBAN","D",,"A"
"20121",2390565,33,0,"5","01","D","110","D","2008","D",.,"A",36,"D","04","D",620,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",620,"D",620,"D",620,"D",.,"A",.,"A",.,"A",.,"A",.,"A","ACUAM","D",,"A"
"20121",2391375,34,0,"5","01","D","100","D","2009","D",.,"A",39,"D","12","D",293,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",293,"D",293,"D",293,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAI","D",,"A"
