"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX","QAFL3MCX","QAFL_MCX","QVFL3MCX","QVFL_MCX","QAGR3MCX","QAGR_MCX","QONL3MCX","QONL_MCX"
"20121",2476942,23,0,"1",.,"A",35,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2476952,15,0,"1",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1500,"D",165,"D",355,"D",.,"A",3,"D",38,"D"
"20121",2477062,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477072,26,0,"1",.,"A",.,"A",20,"D",20,"D",.,"A",.,"A",175,"D",60,"D",.,"A",310,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477112,19,0,"1",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",.,"A",43,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477122,35,0,"1",.,"A",.,"A",135,"D",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477134,20,0,"1",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477182,27,0,"1",.,"A",.,"A",.,"A",39,"F",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",43,"F",26,"F",19,"F",33,"F"
"20121",2477202,27,0,"1",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",25,"D",.,"A",828,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477222,21,0,"1",260,"D",25,"D",40,"D",.,"A",.,"A",.,"A",60,"D",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477242,15,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477252,23,0,"1",75,"D",115,"D",130,"D",25,"D",.,"A",15,"D",200,"D",54,"D",.,"A",300,"D",.,"A",.,"A",.,"A",5,"D",.,"A"
"20121",2477272,16,0,"1",.,"A",.,"A",80,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477282,31,0,"1",650,"D",.,"A",20,"D",14,"D",.,"A",.,"A",80,"D",15,"D",.,"A",.,"A",.,"A",5,"D",.,"A",20,"D",.,"A"
"20121",2477332,25,0,"1",.,"A",100,"D",.,"A",0,"D",.,"A",14,"D",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477352,18,0,"1",.,"A",.,"A",15,"D",.,"A",.,"A",.,"A",.,"A",16,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477372,33,0,"1",.,"A",60,"D",77,"D",30,"D",.,"A",150,"D",.,"A",18,"D",.,"A",15,"D",5,"D",25,"D",.,"A",.,"A",.,"A"
"20121",2477422,13,0,"1",.,"A",.,"A",16,"D",.,"A",.,"A",.,"A",.,"A",34,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20121",2477482,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",100,"D",100,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
