"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV"
"20111",2227674,37,0,"1",520,"D",65,"D",195,"D",65,"D",.,"A",.,"A",.,"A",.,"A",455,"D","2","D",.,"A"
"20111",2227734,31,0,"1",650,"D",195,"D",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",455,"D","2","D",.,"A"
"20111",2227764,37,0,"1",1579,"F",.,"A",.,"A",413,"F",.,"A",.,"A",.,"A",.,"A",1324,"F","2","D",.,"A"
"20111",2227775,63,0,"1",1625,"D",195,"D",390,"D",1300,"D",.,"A",.,"A",.,"A",144,"D",1430,"D","2","D",.,"A"
"20111",2227814,22,0,"1",1508,"F",.,"A",.,"A",0,"D",0,"D",540,"F",2161,"F",.,"A",1226,"F","2","D",136,"F"
"20111",2227824,55,0,"1",1300,"D",520,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D",.,"A"
"20111",2227835,30,0,"1",650,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D",.,"A"
"20111",2227845,59,0,"1",1300,"D",0,"D",.,"A",130,"D",0,"D",.,"A",.,"A",.,"A",1300,"D","2","D",15,"D"
"20111",2227864,31,0,"1",975,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",975,"D","2","D",.,"A"
"20111",2227885,48,0,"1",1950,"D",585,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1365,"D","2","D",.,"A"
"20111",2227914,77,0,"1",2275,"D",390,"D",260,"D",390,"D",0,"D",.,"A",.,"A",26,"D",1885,"D","2","D",300,"D"
"20111",2227944,47,0,"1",520,"D",26,"D",.,"A",585,"D",120,"D",.,"A",.,"A",.,"A",494,"D","2","D",30,"D"
"20111",2227975,30,0,"1",780,"D",195,"D",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",585,"D","2","D",.,"A"
"20111",2227984,52,0,"1",975,"D",91,"D",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",884,"D","2","D",.,"A"
"20111",2228024,49,0,"1",2275,"D",325,"D",195,"D",260,"D",.,"A",.,"A",.,"A",.,"A",1950,"D","2","D",.,"A"
"20111",2228034,49,0,"1",325,"D",0,"D",.,"A",260,"D",150,"D",.,"A",.,"A",.,"A",325,"D","2","D",150,"D"
"20111",2228075,40,0,"1",1690,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1495,"D","2","D",.,"A"
"20111",2228094,58,0,"1",1950,"D",520,"D",325,"D",975,"D",60,"D",.,"A",.,"A",.,"A",1430,"D","2","D",240,"D"
"20111",2228105,31,0,"1",2925,"D",715,"D",390,"D",780,"D",.,"A",.,"A",.,"A",.,"A",2210,"D","2","D",.,"A"
"20111",2228115,86,0,"1",2600,"D",390,"D",260,"D",650,"D",60,"D",.,"A",.,"A",.,"A",2210,"D","2","D",375,"D"
