"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMYUPD","NUMYUPD_","TOTYUPDX","TOTY_PDX","TOTYUPDY","TOTY_PDY"
"20111",2228094,48,0,"1",1,"D",.,"H",,"A"
"20111",2228094,48,1,"1",.,"A",337,"E","100","D"
"20111",2228094,48,2,"1",.,"A",63,"E","110","D"
"20111",2228375,67,0,"1",1,"D",.,"H",,"A"
"20111",2228375,67,1,"1",.,"A",21,"E","200","D"
"20111",2228375,67,2,"1",.,"A",23,"E","210","D"
"20111",2228375,67,3,"1",.,"A",56,"E","220","D"
"20111",2228964,71,0,"1",5,"D",.,"H",,"A"
"20111",2228964,71,1,"1",.,"A",1,"E","120","D"
"20111",2228964,71,2,"1",.,"A",12,"E","150","D"
"20111",2228964,71,3,"1",.,"A",28,"E","180","D"
"20111",2228964,71,4,"1",.,"A",1,"E","190","D"
"20111",2228964,71,5,"1",.,"A",1,"E","200","D"
"20111",2228964,71,6,"1",.,"A",2,"E","210","D"
"20111",2228964,71,7,"1",.,"A",5,"E","220","D"
"20111",2229634,56,0,"1",1,"D",.,"H",,"A"
"20111",2229634,56,1,"1",.,"A",121,"E","100","D"
"20111",2229634,56,2,"1",.,"A",70,"E","110","D"
"20111",2229634,56,3,"1",.,"A",149,"E","200","D"
"20111",2229634,56,4,"1",.,"A",264,"E","210","D"
"20111",2229634,56,5,"1",.,"A",46,"E","220","D"
"20111",2229924,151,0,"1",1,"D",.,"H",,"A"
"20111",2229924,151,1,"1",.,"A",19,"E","200","D"
"20111",2229924,151,2,"1",.,"A",9,"E","210","D"
"20111",2229924,151,3,"1",.,"A",7,"E","220","D"
"20111",2230965,48,0,"1",1,"D",.,"H",,"A"
"20111",2230965,48,1,"1",.,"A",15,"E","100","D"
"20111",2230965,48,2,"1",.,"A",2,"E","110","D"
"20111",2230965,48,3,"1",.,"A",5,"E","120","D"
"20111",2230965,48,4,"1",.,"A",20,"E","130","D"
"20111",2230965,48,5,"1",.,"A",29,"E","150","D"
"20111",2230965,48,6,"1",.,"A",103,"E","180","D"
"20111",2230965,48,7,"1",.,"A",6,"E","190","D"
"20111",2230984,30,0,"1",1,"D",.,"H",,"A"
"20111",2230984,30,1,"1",.,"A",3,"E","120","D"
"20111",2230984,30,2,"1",.,"A",75,"E","150","D"
"20111",2230984,30,3,"1",.,"A",8,"E","160","D"
"20111",2230984,30,4,"1",.,"A",1,"E","170","D"
"20111",2230984,30,5,"1",.,"A",1,"E","200","D"
"20111",2230984,30,6,"1",.,"A",5,"E","210","D"
"20111",2231824,69,0,"1",2,"D",.,"H",,"A"
"20111",2231824,69,1,"1",.,"A",29,"E","200","D"
"20111",2231824,69,2,"1",.,"A",36,"E","210","D"
"20111",2231824,69,3,"1",.,"A",85,"E","220","D"
"20111",2232335,46,0,"1",2,"D",.,"H",,"A"
"20111",2232335,46,1,"1",.,"A",30,"E","100","D"
"20111",2232335,46,2,"1",.,"A",6,"E","110","D"
"20111",2232335,46,3,"1",.,"A",12,"E","120","D"
"20111",2232335,46,4,"1",.,"A",39,"E","130","D"
"20111",2232335,46,5,"1",.,"A",2,"E","140","D"
"20111",2232335,46,6,"1",.,"A",145,"E","150","D"
"20111",2232335,46,7,"1",.,"A",14,"E","160","D"
"20111",2232335,46,8,"1",.,"A",12,"E","170","D"
"20111",2232335,46,9,"1",.,"A",59,"E","190","D"
"20111",2235454,104,0,"1",3,"D",.,"H",,"A"
"20111",2235454,104,1,"1",.,"A",619,"E","100","D"
"20111",2235454,104,2,"1",.,"A",115,"E","110","D"
"20111",2235454,104,3,"1",.,"A",315,"E","120","D"
"20111",2235454,104,4,"1",.,"A",1127,"E","130","D"
"20111",2235454,104,5,"1",.,"A",46,"E","140","D"
"20111",2235454,104,6,"1",.,"A",2631,"E","150","D"
"20111",2235454,104,7,"1",.,"A",4585,"E","180","D"
"20111",2235454,104,8,"1",.,"A",331,"E","190","D"
"20111",2235454,104,9,"1",.,"A",364,"E","200","D"
"20111",2235454,104,10,"1",.,"A",426,"E","210","D"
"20111",2235454,104,11,"1",.,"A",1041,"E","220","D"
"20111",2235745,65,0,"1",1,"D",.,"H",,"A"
"20111",2235745,65,1,"1",.,"A",15,"E","120","D"
"20111",2235745,65,2,"1",.,"A",1,"E","140","D"
"20111",2235745,65,3,"1",.,"A",56,"E","150","D"
"20111",2235745,65,4,"1",.,"A",202,"E","180","D"
"20111",2235745,65,5,"1",.,"A",11,"E","190","D"
"20111",2235745,65,6,"1",.,"A",13,"E","200","D"
"20111",2235745,65,7,"1",.,"A",15,"E","210","D"
"20111",2235745,65,8,"1",.,"A",37,"E","220","D"
"20111",2236114,52,0,"1",1,"D",.,"H",,"A"
"20111",2236114,52,1,"1",.,"A",74,"E","100","D"
"20111",2236114,52,2,"1",.,"A",16,"E","110","D"
"20111",2237215,61,0,"1",2,"D",.,"H",,"A"
"20111",2237215,61,1,"1",.,"A",19,"E","120","D"
"20111",2237215,61,2,"1",.,"A",2,"E","140","D"
"20111",2237215,61,3,"1",.,"A",104,"E","150","D"
"20111",2237215,61,4,"1",.,"A",355,"E","180","D"
"20111",2237215,61,5,"1",.,"A",20,"E","190","D"
"20111",2238055,20,0,"1",1,"D",.,"H",,"A"
"20111",2238055,20,1,"1",.,"A",7,"E","100","D"
"20111",2238055,20,2,"1",.,"A",3,"E","110","D"
"20111",2238555,67,0,"1",1,"D",.,"H",,"A"
"20111",2238555,67,1,"1",.,"A",9,"E","200","D"
"20111",2238555,67,2,"1",.,"A",13,"E","210","D"
"20111",2238555,67,3,"1",.,"A",28,"E","220","D"
"20111",2239105,50,0,"1",1,"D",.,"H",,"A"
"20111",2239105,50,1,"1",.,"A",98,"E","100","D"
"20111",2239105,50,2,"1",.,"A",29,"E","110","D"
"20111",2239105,50,3,"1",.,"A",109,"E","120","D"
"20111",2239105,50,4,"1",.,"A",7,"E","140","D"
"20111",2239105,50,5,"1",.,"A",593,"E","150","D"
"20111",2239105,50,6,"1",.,"A",104,"E","160","D"
"20111",2239105,50,7,"1",.,"A",7,"E","170","D"
"20111",2239105,50,8,"1",.,"A",53,"E","190","D"
"20111",2239484,50,0,"1",1,"D",.,"H",,"A"
"20111",2239484,50,1,"1",.,"A",32,"E","100","D"
"20111",2239484,50,2,"1",.,"A",13,"E","110","D"
"20111",2239684,52,0,"1",2,"D",.,"H",,"A"
"20111",2239684,52,1,"1",.,"A",82,"E","100","D"
"20111",2239684,52,2,"1",.,"A",18,"E","110","D"
"20111",2239755,50,0,"1",1,"D",.,"H",,"A"
"20111",2239755,50,1,"1",.,"A",75,"E","100","D"
"20111",2239755,50,2,"1",.,"A",10,"E","110","D"
"20111",2239755,50,3,"1",.,"A",25,"E","120","D"
"20111",2239755,50,4,"1",.,"A",2,"E","140","D"
"20111",2239755,50,5,"1",.,"A",448,"E","150","D"
"20111",2241715,71,0,"1",10,"D",.,"H",,"A"
"20111",2241715,71,1,"1",.,"A",29,"G","200","D"
"20111",2241715,71,2,"1",.,"A",36,"G","210","D"
"20111",2241715,71,3,"1",.,"A",85,"G","220","D"
"20111",2242314,23,0,"1",1,"D",.,"H",,"A"
"20111",2242314,23,1,"1",.,"A",5,"G","120","D"
"20111",2242314,23,2,"1",.,"A",50,"G","150","D"
"20111",2242314,23,3,"1",.,"A",5,"G","160","D"
"20111",2242814,67,0,"1",1,"D",.,"H",,"A"
"20111",2242814,67,1,"1",.,"A",39,"E","100","D"
"20111",2242814,67,2,"1",.,"A",11,"E","110","D"
"20111",2246745,53,0,"1",1,"D",.,"H",,"A"
"20111",2246745,53,1,"1",.,"A",51,"E","100","D"
"20111",2246745,53,2,"1",.,"A",9,"E","110","D"
"20111",2247004,45,0,"1",1,"D",.,"H",,"A"
"20111",2247004,45,1,"1",.,"A",15,"E","200","D"
"20111",2247004,45,2,"1",.,"A",13,"E","210","D"
"20111",2247004,45,3,"1",.,"A",12,"E","220","D"
"20111",2247285,65,0,"1",1,"D",.,"H",,"A"
"20111",2247285,65,1,"1",.,"A",59,"E","100","D"
"20111",2247285,65,2,"1",.,"A",14,"E","110","D"
"20111",2247285,65,3,"1",.,"A",35,"E","200","D"
