"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOD","PROP0NOD","OWNYD","OWNYD_","DISPMTHD","DISP_THD","DISPX","DISPX_","DISPEXPX","DISP_XPX","DISPMO","DISPMO_","DISPYR","DISPYR_"
"20111",2234665,52,0,"1","02","D","500","D","3","D",.,"A",.,"A","10","D","2010","D"
"20111",2240705,36,0,"1","02","D","500","D","1","D",.,"A",.,"A","11","D","2010","D"
"20111",2243845,52,0,"1","02","D","400","D","1","D",313000,"T",17320,"D","12","D","2010","D"
"20111",2243915,38,0,"1","03","D","300","D","3","D",.,"A",.,"A","11","D","2010","D"
"20111",2247274,30,0,"1","02","D","400","D","1","D",5000,"D",1000,"D","11","D","2010","D"
"20111",2260325,44,0,"2","01","D","200","D","1","D",75000,"D",5000,"D","11","D","2010","D"
"20111",2262325,48,0,"1","02","D","200","D","1","D",.,"A",.,"A","12","D","2010","D"
"20111",2266365,33,0,"1","02","D","200","D","1","D",139000,"D",3000,"D","11","D","2010","D"
"20111",2269744,38,0,"2","02","D","200","D","1","D",143000,"D",15000,"D","11","D","2010","D"
"20111",2273465,33,0,"1","02","D","300","D","1","D",0,"D",165,"D","12","D","2010","D"
"20111",2275254,38,0,"2","03","D","500","D","3","D",.,"A",.,"A","11","D","2010","D"
"20111",2282464,69,0,"2","04","D","300","D","1","D",18000,"D",200,"D","12","D","2010","D"
"20111",2289014,38,0,"1","01","D","300","D","3","D",.,"A",.,"A","01","D","2011","D"
"20111",2293444,53,0,"2","02","D","300","D","3","D",.,"A",.,"A","12","D","2010","D"
"20111",2298844,48,0,"1","02","D","300","D","1","D",18000,"F",200,"F","12","D","2010","D"
"20111",2300434,46,0,"2","02","D","500","D","3","D",.,"A",.,"A","12","D","2010","D"
"20111",2301844,32,0,"1","01","D","200","D","3","D",.,"A",.,"A","01","D","2011","D"
"20111",2313083,34,0,"1","01","D","200","D","3","D",.,"A",.,"A","12","D","2010","D"
