"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMLOC","NUMLOC_","LOCLODGX","LOCL_DGX","ALCMEALX","ALCM_ALX","ALCGROCX","ALCG_OCX","LOCADMSX","LOCA_MSX","FOODLCDL","FOOD_CDL","LODGLCDL","LODG_CDL","ENTRLCDL","ENTR_CDL","ELSELCDL","ELSE_CDL","QLCMLAX","QLCMLAX_","QLCGLAX","QLCGLAX_"
"20111",2229955,66,0,"1",1,"D",119,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20111",2230565,79,0,"1",1,"D",90,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20111",2230844,83,0,"1",1,"D",70,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",15,"D",15,"D"
"20111",2232084,67,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",300,"D",.,"A"
"20111",2235624,23,0,"1",1,"D",126,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",15,"F",.,"A"
"20111",2240445,30,0,"1",3,"D",.,"A",.,"A",.,"A",.,"A","1","D","1","D","1","D","2","D",.,"A",.,"A"
"20111",2242605,66,0,"1",1,"D",125,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",25,"D"
"20111",2242814,69,0,"1",1,"D",47,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",.,"A",.,"A"
"20111",2248194,67,0,"1",1,"D",30,"D",140,"D",.,"A",60,"D",,"A",,"A",,"A",,"A",80,"D",2,"D"
"20111",2253365,65,0,"1",3,"D",50,"D",50,"D",.,"A",125,"D",,"A",,"A",,"A",,"A",100,"D",.,"A"
"20111",2253714,72,0,"1",5,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",150,"D",.,"A"
"20111",2255174,40,0,"1",4,"D",648,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",50,"D",.,"A"
"20111",2258674,43,0,"1",60,"D",4200,"D",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",500,"D",.,"A"
