"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20111",2227944,34,0,"5","01","D","100","D",0.045,"D",56210,"D",15,"D",430,"D",,"A",,"A",,"A",,"A",0,"D",219,"D",220,"D",221,"D",211,"D",210,"D",209,"D",,"A","10","D","2010","D","1","D",,"A",56210,"D",55991,"D",55771,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2228115,60,0,"5","01","D","100","D",0.0859,"F",100000,"F",10,"F",1245,"F",,"A",,"A",,"A",,"A",0,"F",1339,"V",1392,"V",1399,"V",763,"F",753,"F",742,"F",,"A","11","F","2005","F","2","F",,"A",60539,"F",59728,"F",58910,"F","01","D",,"A",,"A",,"A",2191,"F",2191,"F",2191,"F","1","D","2","D"
"20111",2228244,46,0,"5","01","D","100","D",0.08,"D",21870,"D",15,"D",209,"D",,"A",,"A",,"A",,"A",0,"D",87,"D",88,"D",88,"D",122,"D",121,"D",121,"D",,"A","10","D","2006","D","1","D",,"A",18309,"D",18222,"D",18134,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2229264,30,0,"5","01","D","100","D",0.0625,"D",63972,"D",13,"D",600,"D",,"A",,"A",,"A",,"A",0,"D",567,"D",570,"D",573,"D",25,"D",23,"D",20,"D",,"A","09","D","1998","D","1","D",,"A",6397,"D",5831,"D",5261,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2229275,55,0,"5","01","D","100","D",0.072,"D",23925,"D",5,"D",476,"D",,"A",,"A",,"A",,"A",0,"D",448,"D",451,"D",454,"D",28,"D",25,"D",22,"D",,"A","08","D","2006","D","1","D",,"A",4607,"D",4159,"D",3708,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2229365,43,0,"5","02","D","400","D",0.0859,"D",48326,"T",12,"D",167,"D",,"A",,"A",,"A",,"A",0,"D",417,"T",420,"T",422,"T",17,"D",16,"D",15,"D",,"A","01","D","2000","D","1","D",,"A",2368,"D",2218,"D",2067,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2230924,53,0,"5","01","D","100","D",0.043,"D",45000,"D",10,"D",541,"D",,"B",,"B",,"B",,"B",79,"D",311,"D",312,"D",313,"D",151,"D",150,"D",149,"D",,"A","01","D","2010","D","1","D",,"A",42254,"D",41944,"D",41632,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2231305,38,0,"5","01","D","100","D",0.08,"F",30000,"F",20,"F",1000,"F","3","F",,"A",,"A",,"A",749,"F",170,"F",171,"F",172,"F",81,"F",80,"F",79,"F",,"A","11","F","1995","F","1","F",,"A",12183,"F",12014,"F",11843,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2231614,48,0,"5","01","D","100","D",0.0925,"D",20000,"D",10,"D",260,"D",,"B",,"B",,"B",,"B",4,"D",135,"D",136,"D",137,"D",121,"D",120,"D",119,"D",,"A","09","D","2007","D","1","D",,"A",15659,"D",15524,"D",15387,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20111",2232165,76,0,"5","01","D","100","D",0.0859,"D",33000,"D",16,"D",317,"D",,"A",,"A",,"A",,"A",0,"D",440,"D",443,"D",446,"D",60,"D",57,"D",54,"D",,"A","04","D","1996","D","2","D",,"A",5332,"D",5053,"D",4773,"D","01","D","1","D",,"A",,"A",800,"D",1000,"D",500,"D","1","D","2","D"
