"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20111",2228234,32,0,"1","100","D",.,"A",100,"D","2","D"
"20111",2229435,93,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2230365,40,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2230565,74,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2231104,56,0,"1","100","D",.,"A",362,"F","2","D"
"20111",2233015,71,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2233435,43,0,"1","100","D",.,"A",80,"D","2","D"
"20111",2233694,43,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2235454,100,0,"1","200","D",.,"A",.,"A","1","D"
"20111",2235624,20,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2235624,21,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2235745,63,0,"1","100","D",.,"A",200,"D","2","D"
"20111",2236065,21,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2236245,81,0,"1","150","D",.,"A",.,"A","1","D"
"20111",2239524,55,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2240014,52,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2241095,53,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2241095,54,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2241675,55,0,"1","100","D",.,"A",290,"D","2","D"
"20111",2243384,36,0,"1","100","D",.,"A",294,"D","2","D"
"20111",2243554,59,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2244365,60,0,"1","100","D",1,"D",0,"D","2","D"
"20111",2244425,96,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2250034,55,0,"1","100","D",.,"A",219,"D","2","D"
"20111",2252535,55,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2252894,49,0,"1","100","D",.,"A",189,"D","2","D"
"20111",2258284,70,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2259385,55,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2259665,40,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2261775,55,0,"1","100","D",.,"A",160,"D","2","D"
"20111",2263024,32,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2263124,35,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2264325,75,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2265875,74,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2265875,75,0,"1","180","D",.,"A",.,"A","1","D"
"20111",2269764,73,0,"1","100","D",.,"A",327,"D","2","D"
"20111",2269944,29,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2270505,41,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2273955,70,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2274485,52,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2274934,48,0,"1","100","D",1,"D",0,"D","2","D"
"20111",2276045,39,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2276204,43,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2278364,65,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2278895,50,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2281954,23,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2281954,24,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2282775,59,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2282775,60,0,"1","100","D",.,"A",500,"D","2","D"
"20111",2287924,52,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2287924,53,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2289924,72,0,"1","110","D",.,"A",1102,"D","2","D"
"20111",2291004,32,0,"1","100","D",.,"A",150,"D","2","D"
"20111",2291264,29,0,"1","100","D",.,"A",50,"D","2","D"
"20111",2294834,57,0,"1","110","D",.,"A",120,"D","2","D"
"20111",2294834,58,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2296495,40,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2297535,71,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2300434,57,0,"1","100","D",.,"A",50,"D","2","D"
"20111",2302804,34,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2303154,61,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2304735,27,0,"1","100","D",.,"A",550,"D","2","D"
"20111",2306455,46,0,"1","100","D",.,"A",900,"D","2","D"
"20111",2307154,84,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2307154,85,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2308983,40,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2308983,41,0,"1","110","D",.,"A",27,"D","2","D"
"20111",2310193,137,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2310193,138,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310193,139,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310193,140,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310193,141,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310193,142,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310193,143,0,"1","110","D",.,"A",.,"A","1","D"
"20111",2310273,39,0,"1","100","D",.,"A",72,"D","2","D"
"20111",2310733,74,0,"1","100","D",.,"A",.,"A","1","D"
"20111",2310733,75,0,"1","100","D",.,"A",125,"D","2","D"
