"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20111",2227775,61,0,"1","410","D","12","D",18,"D",,"A",,"A",,"A",,"A"
"20111",2227845,57,0,"2","420","D","10","D",54,"D",,"A",,"A",,"A",,"A"
"20111",2228094,56,0,"2","420","D","10","D",34,"D",,"A",,"A",,"A",,"A"
"20111",2228225,48,0,"2","420","D","10","D",65,"D",,"A",,"A",,"A",,"A"
"20111",2228234,48,0,"1","420","D","10","D",54,"D",,"A",,"A",,"A",,"A"
"20111",2228234,49,0,"1","410","D","11","D",18,"D",,"A",,"A",,"A",,"A"
"20111",2228254,58,0,"1","420","D","11","D",199,"D",,"A",,"A",,"A",,"A"
"20111",2228325,57,0,"1","420","D","12","D",54,"D",,"A",,"A",,"A",,"A"
"20111",2228735,33,0,"2","410","D","10","D",20,"D",,"A",,"A",,"A",,"A"
"20111",2228735,34,0,"2","420","D","10","D",47,"D",,"A",,"A",,"A",,"A"
"20111",2228825,33,0,"1","420","D","11","D",75,"D",,"A",,"A",,"A",,"A"
"20111",2228915,47,0,"1","400","D","11","D",30,"D",,"A",,"A",,"A",,"A"
"20111",2228915,48,0,"1","420","D","12","D",57,"D",,"A",,"A",,"A",,"A"
"20111",2229094,33,0,"1","410","D","11","D",25,"D",,"A",,"A",,"A",,"A"
"20111",2229275,69,0,"1","420","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20111",2229315,51,0,"1","400","D","10","D",99,"D",,"A",,"A",,"A",,"A"
"20111",2229355,47,0,"1","420","D","12","D",112,"D",,"A",,"A",,"A",,"A"
"20111",2229365,60,0,"1","420","D","11","D",72,"D",,"A",,"A",,"A",,"A"
"20111",2229374,43,0,"1","410","D","12","D",30,"D",,"A",,"A",,"A",,"A"
"20111",2229374,44,0,"1","420","D","12","D",98,"D",,"A",,"A",,"A",,"A"
"20111",2229405,46,0,"1","420","D","11","D",550,"D",,"A",,"A",,"A",,"A"
"20111",2229414,63,0,"1","420","D","10","D",67,"D",,"A",,"A",,"A",,"A"
"20111",2229585,66,0,"1","420","D","12","D",220,"F",,"A",,"A",,"A",,"A"
"20111",2229634,65,0,"1","400","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20111",2229634,66,0,"1","420","D","11","D",351,"D",,"A",,"A",,"A",,"A"
"20111",2229694,36,0,"1","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
"20111",2229724,43,0,"1","410","D","10","D",5,"D",,"A",,"A",,"A",,"A"
"20111",2229824,53,0,"1","400","D","10","D",25,"D",,"A",,"A",,"A",,"A"
"20111",2229824,54,0,"2","420","D","10","D",154,"D",,"A",,"A",,"A",,"A"
"20111",2229915,86,0,"1","420","D","11","D",54,"D",,"A",,"A",,"A",,"A"
"20111",2229915,87,0,"1","430","D","12","D",.,"H","415","D","410","D",,"A",,"A"
"20111",2229915,87,1,"1","420","D","12","D",63,"E",,"A",,"A",,"A",,"A"
