"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20111",2228355,30,0,"1","01","D","110","D","2010","D",.,"A",.,"C","11","D",.,"C","3","D",.,"A",.,"A",.,"C",.,"A",,"A",.,"A",200,"F",200,"F",.,"A",.,"A",.,"A",2500,"F",.,"A","BMWAM","D",,"A"
"20111",2228624,18,0,"5","01","D","100","D","2010","D",.,"A",36,"D","09","D",150,"D","3","D",.,"A",.,"A",3400,"D",.,"A",,"A",150,"D",150,"D",150,"D",.,"A",.,"A",.,"A",3400,"D",.,"A","HONAA","D",,"A"
"20111",2229905,33,0,"5","01","D","110","D","2008","D",.,"A",42,"D","05","D",587,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",587,"D",587,"D",587,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","CHEBE","D",,"A"
"20111",2230255,30,0,"5","01","D","100","D","2008","D",.,"A",36,"D","03","D",250,"D","3","D",.,"A",.,"A",3000,"D",.,"A",,"A",250,"D",250,"D",250,"D",.,"A",.,"A",.,"A",3000,"D",.,"A","SAAAC","D",,"A"
"20111",2230924,39,0,"5","01","D","100","D","2008","D",.,"A",36,"D","07","D",235,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",235,"D",235,"D",235,"D",.,"A",.,"A",.,"A",.,"A",.,"A","PONAR","D",,"A"
"20111",2230924,40,0,"5","02","D","110","D","2007","D",.,"A",48,"D","07","D",385,"D","3","D",.,"A",.,"A",.,"A",.,"A","12","D",385,"D",385,"D",385,"D",.,"A",.,"A",.,"A",.,"A",21261,"D","CHEAZ","D",,"A"
"20111",2232294,38,0,"5","01","D","100","D","2009","D",.,"A",3,"D","09","D",158,"D","3","D",.,"A",.,"A",1000,"D",.,"A",,"A",158,"D",158,"D",158,"D",.,"A",.,"A",.,"A",1000,"D",.,"A","HONAB","D",,"A"
"20111",2233035,59,0,"5","01","D","110","D","2007","D",.,"A",48,"D","02","D",380,"D","3","D",.,"A",.,"A",2500,"D",.,"A",,"A",380,"D",380,"D",380,"D",.,"A",.,"A",.,"A",2500,"D",.,"A","HONAG","D",,"A"
"20111",2233405,35,0,"5","01","D","100","D","2011","D",0.5,"D",60,"D","10","D",275,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",275,"D",275,"D",275,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAU","D",,"A"
"20111",2233805,27,0,"5","01","D","100","D","2008","D",.,"A",36,"D","09","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"F",300,"F",300,"F",.,"A",.,"A",.,"A",.,"A",.,"A","BMWXX","D",,"A"
