"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","QSUB3MCX","QSUB_MCX"
"20111",2232644,43,0,"1","150","D","1","D",10,"D"
"20111",2232665,64,0,"1","150","D","1","D",30,"D"
"20111",2232704,35,0,"1","150","D","1","D",15,"D"
"20111",2232935,92,0,"1","150","D","1","D",78,"D"
"20111",2232935,93,0,"1","830","D","1","D",201,"D"
"20111",2232935,94,0,"1","830","D","1","D",180,"D"
"20111",2232975,65,0,"1","840","D","1","D",45,"D"
"20111",2233015,72,0,"1","840","D","1","D",25,"D"
"20111",2233024,28,0,"1","150","D","1","D",0,"D"
"20111",2233035,100,0,"1","150","D","1","D",38,"D"
"20111",2233035,101,0,"1","830","D","1","D",330,"D"
"20111",2233035,102,0,"1","830","D","1","D",30,"D"
"20111",2233194,43,0,"1","150","D","1","D",48,"D"
"20111",2233344,67,0,"1","150","D","1","D",15,"F"
"20111",2233395,53,0,"1","840","D","1","D",35,"D"
"20111",2233405,53,0,"1","150","D","1","D",40,"D"
"20111",2233435,45,0,"1","840","D","1","D",0,"D"
"20111",2233554,58,0,"1","840","D","1","D",0,"D"
"20111",2233654,55,0,"1","150","D","1","D",119,"D"
"20111",2233654,56,0,"1","150","D","1","D",22,"D"
"20111",2233654,57,0,"1","810","D","1","D",21,"D"
"20111",2233694,44,0,"1","830","D","1","D",90,"D"
"20111",2233755,77,0,"1","150","D","1","D",30,"D"
"20111",2233805,39,0,"1","150","D","1","D",90,"D"
"20111",2233844,48,0,"1","810","D","1","D",40,"D"
"20111",2234144,32,0,"1","150","D","1","D",60,"D"
"20111",2234244,70,0,"1","910","D","1","D",0,"D"
"20111",2234284,52,0,"1","840","D","1","D",50,"D"
"20111",2234375,51,0,"1","150","D","1","D",5,"D"
"20111",2234375,52,0,"1","840","D","1","D",20,"D"
"20111",2234415,79,0,"1","150","D","1","D",334,"D"
"20111",2234415,80,0,"1","600","D","1","D",1300,"D"
"20111",2234415,81,0,"1","800","D","1","D",4449,"D"
"20111",2234535,38,0,"1","150","D","1","D",52,"D"
"20111",2234814,57,0,"1","150","D","1","D",27,"D"
"20111",2234824,68,0,"1","150","D","1","D",36,"D"
"20111",2234824,69,0,"1","150","D","1","D",20,"D"
"20111",2234824,70,0,"1","150","D","1","D",20,"D"
"20111",2234824,71,0,"1","840","D","1","D",50,"D"
"20111",2234864,42,0,"1","840","D","1","D",10,"D"
"20111",2234874,25,0,"1","150","D","1","D",0,"D"
"20111",2234994,104,0,"1","150","D","1","D",99,"D"
"20111",2234994,105,0,"1","150","D","1","D",48,"D"
"20111",2234994,106,0,"1","150","D","1","D",66,"D"
"20111",2234994,107,0,"1","150","D","1","D",0,"D"
"20111",2234994,108,0,"1","200","D","1","D",42,"D"
"20111",2234994,109,0,"1","910","D","1","D",63,"D"
"20111",2235144,67,0,"1","830","D","1","D",30,"D"
"20111",2235144,68,0,"1","830","D","1","D",60,"D"
"20111",2235414,44,0,"1","150","D","1","D",37,"D"
"20111",2235454,101,0,"1","150","D","1","D",45,"D"
"20111",2235454,102,0,"1","800","D","1","D",1365,"D"
"20111",2235484,51,0,"1","830","D","1","D",120,"D"
"20111",2235855,21,0,"1","150","D","1","D",42,"D"
"20111",2236094,42,0,"1","150","D","1","D",25,"D"
"20111",2236104,33,0,"1","150","D","1","D",60,"D"
"20111",2236114,51,0,"1","830","D","1","D",250,"D"
"20111",2236134,78,0,"1","150","D","1","D",39,"D"
"20111",2236134,79,0,"1","150","D","1","D",0,"D"
"20111",2236134,80,0,"1","150","D","1","D",29,"D"
"20111",2236134,81,0,"1","150","D","1","D",12,"D"
"20111",2236134,82,0,"1","150","D","1","D",16,"D"
"20111",2236134,83,0,"1","150","D","1","D",12,"D"
"20111",2236134,84,0,"1","150","D","1","D",5,"D"
"20111",2236134,85,0,"1","950","D","1","D",33,"D"
"20111",2236174,26,0,"1","830","D","1","D",0,"D"
"20111",2236245,82,0,"1","830","D","1","D",60,"D"
"20111",2236264,83,0,"1","150","D","1","D",32,"D"
"20111",2236364,50,0,"1","830","D","1","D",84,"D"
"20111",2236415,71,0,"1","150","D","1","D",60,"D"
"20111",2236545,95,0,"1","830","D","1","D",360,"D"
"20111",2236554,37,0,"1","830","D","1","D",90,"D"
"20111",2236614,58,0,"1","150","D","1","D",30,"D"
"20111",2236724,70,0,"1","830","D","1","D",10,"D"
"20111",2236805,36,0,"1","150","D","1","D",40,"D"
"20111",2236885,35,0,"1","840","D","1","D",25,"D"
"20111",2236974,58,0,"1","150","D","1","D",45,"D"
"20111",2236995,81,0,"1","150","D","1","D",15,"D"
"20111",2236995,82,0,"1","150","D","1","D",6,"D"
"20111",2236995,83,0,"1","150","D","1","D",5,"D"
"20111",2237045,44,0,"1","150","D","1","D",54,"D"
"20111",2237115,58,0,"1","830","D","1","D",80,"D"
"20111",2237215,59,0,"1","150","D","1","D",45,"D"
"20111",2237215,60,0,"1","830","D","1","D",80,"D"
"20111",2237235,54,0,"1","150","D","1","D",44,"D"
"20111",2237444,39,0,"1","150","D","1","D",18,"D"
"20111",2237524,50,0,"1","840","D","1","D",45,"D"
"20111",2237665,67,0,"1","830","D","1","D",90,"D"
"20111",2237694,65,0,"1","830","D","1","D",144,"D"
"20111",2237755,93,0,"1","150","D","1","D",48,"D"
"20111",2237755,94,0,"1","150","D","1","D",0,"D"
"20111",2237755,95,0,"1","150","D","1","D",18,"D"
"20111",2237755,96,0,"1","830","D","1","D",93,"D"
"20111",2237775,46,0,"1","820","D","1","D",0,"D"
"20111",2237775,47,0,"1","830","D","1","D",0,"D"
"20111",2237835,57,0,"1","150","D","1","D",44,"D"
"20111",2238195,86,0,"1","600","D","1","D",417,"D"
"20111",2238265,52,0,"1","150","D","1","D",54,"D"
"20111",2238265,53,0,"1","830","D","1","D",1000,"D"
"20111",2238304,72,0,"1","800","D","1","D",898,"D"
"20111",2238304,73,0,"1","830","D","1","D",58,"D"
"20111",2238555,64,0,"1","150","D","1","D",21,"D"
"20111",2238555,65,0,"1","150","D","1","D",16,"D"
"20111",2238555,66,0,"1","910","D","1","D",13,"D"
"20111",2238605,41,0,"1","830","D","1","D",60,"D"
"20111",2238705,70,0,"1","150","D","1","D",24,"D"
"20111",2238705,71,0,"1","150","D","1","D",0,"D"
"20111",2238705,72,0,"1","830","D","1","D",135,"D"
"20111",2238755,67,0,"1","150","D","1","D",65,"D"
"20111",2238755,68,0,"1","840","D","1","D",160,"D"
"20111",2238805,66,0,"1","830","D","1","D",54,"D"
"20111",2238865,38,0,"1","150","D","1","D",40,"D"
"20111",2238944,53,0,"1","150","D","1","D",0,"D"
"20111",2238964,53,0,"1","200","D","1","D",50,"D"
"20111",2238964,54,0,"1","810","D","1","D",110,"D"
"20111",2239034,50,0,"1","830","D","1","D",30,"D"
"20111",2239095,51,0,"1","830","D","1","D",60,"D"
"20111",2239235,48,0,"1","150","D","1","D",86,"D"
"20111",2239255,46,0,"1","830","D","1","D",90,"D"
"20111",2239285,47,0,"1","500","D","1","D",1000,"D"
"20111",2239414,77,0,"1","830","D","1","D",194,"D"
"20111",2239464,58,0,"1","150","D","1","D",24,"D"
"20111",2239464,59,0,"1","830","D","1","D",60,"D"
"20111",2239484,49,0,"1","150","D","1","D",0,"D"
"20111",2239524,56,0,"1","150","D","1","D",26,"D"
"20111",2239555,95,0,"1","150","D","1","D",30,"D"
"20111",2239555,96,0,"1","200","D","1","D",55,"D"
"20111",2239555,97,0,"1","830","D","1","D",50,"D"
"20111",2239555,98,0,"1","830","D","1","D",130,"D"
"20111",2239555,99,0,"1","840","D","1","D",40,"D"
"20111",2239714,57,0,"1","150","D","2","D",60,"D"
"20111",2239755,49,0,"1","150","D","1","D",79,"D"
"20111",2239804,28,0,"1","150","D","1","D",6,"D"
"20111",2239854,43,0,"1","830","D","1","D",0,"D"
"20111",2239935,78,0,"1","200","D","2","D",50,"D"
"20111",2239935,79,0,"1","150","D","1","D",120,"D"
"20111",2239935,80,0,"1","830","D","1","D",120,"D"
"20111",2239984,47,0,"1","150","D","1","D",50,"D"
"20111",2239984,48,0,"1","150","D","1","D",50,"D"
"20111",2239984,49,0,"1","840","D","1","D",36,"D"
"20111",2239984,50,0,"1","840","D","1","D",36,"D"
"20111",2240004,50,0,"1","150","D","1","D",56,"D"
"20111",2240014,53,0,"1","830","D","1","D",42,"D"
"20111",2240014,54,0,"1","830","D","1","D",270,"D"
"20111",2240045,73,0,"1","150","D","1","D",41,"D"
"20111",2240045,74,0,"1","200","D","1","D",105,"D"
"20111",2240045,75,0,"1","800","D","1","D",5,"D"
"20111",2240094,63,0,"1","150","D","1","D",33,"D"
"20111",2240094,64,0,"1","830","D","1","D",156,"D"
"20111",2240295,55,0,"1","830","D","1","D",40,"D"
"20111",2240324,76,0,"1","150","D","1","D",30,"D"
"20111",2240574,64,0,"1","150","D","1","D",20,"D"
"20111",2240574,65,0,"1","150","D","1","D",38,"D"
"20111",2240595,59,0,"1","150","D","1","D",48,"D"
"20111",2240865,68,0,"1","150","D","1","D",25,"D"
"20111",2240865,69,0,"1","500","D","1","D",800,"D"
"20111",2240865,70,0,"1","500","D","1","D",0,"D"
"20111",2240925,48,0,"1","830","D","1","D",150,"D"
"20111",2241024,66,0,"1","830","D","1","D",126,"D"
"20111",2241114,53,0,"1","200","D","1","D",20,"D"
"20111",2241114,54,0,"1","830","D","1","D",180,"D"
"20111",2241154,51,0,"1","830","D","1","D",60,"D"
"20111",2241395,104,0,"1","840","D","1","D",45,"D"
"20111",2241514,49,0,"1","150","D","1","D",20,"D"
"20111",2241555,80,0,"1","150","D","1","D",31,"D"
"20111",2241555,81,0,"1","810","D","1","D",95,"D"
"20111",2241635,48,0,"1","840","D","1","D",50,"D"
"20111",2241635,49,0,"1","830","D","1","D",80,"D"
"20111",2241675,56,0,"1","150","D","1","D",0,"D"
"20111",2241685,44,0,"1","150","D","1","D",40,"D"
"20111",2241685,45,0,"1","150","D","1","D",30,"D"
"20111",2241685,46,0,"1","150","D","1","D",30,"D"
"20111",2241685,47,0,"1","150","D","1","D",291,"F"
"20111",2241685,48,0,"1","150","D","1","D",15,"D"
"20111",2241715,66,0,"1","150","D","1","D",40,"D"
"20111",2241715,67,0,"1","830","D","1","D",105,"D"
"20111",2241715,68,0,"1","830","D","1","D",165,"D"
"20111",2241754,38,0,"1","150","D","1","D",70,"D"
"20111",2241765,54,0,"1","830","D","1","D",60,"D"
"20111",2241814,45,0,"1","150","D","1","D",44,"D"
"20111",2241845,49,0,"1","150","D","1","D",45,"D"
"20111",2241845,50,0,"1","830","D","2","D",534,"D"
"20111",2241845,51,0,"1","840","D","1","D",35,"D"
"20111",2241955,41,0,"1","810","D","1","D",30,"D"
"20111",2241995,41,0,"1","150","D","1","D",120,"D"
"20111",2242054,35,0,"1","830","D","1","D",48,"D"
"20111",2242245,49,0,"1","150","D","1","D",35,"D"
"20111",2242345,71,0,"1","830","D","1","D",0,"D"
"20111",2242514,66,0,"1","800","D","1","D",50,"D"
"20111",2242585,39,0,"1","830","D","1","D",45,"D"
"20111",2242585,40,0,"1","840","D","1","D",0,"D"
"20111",2242605,64,0,"1","150","D","1","D",45,"D"
"20111",2242605,65,0,"1","840","D","1","D",45,"D"
"20111",2242624,64,0,"1","150","D","1","D",54,"D"
"20111",2242814,63,0,"1","150","D","1","D",62,"D"
"20111",2242814,64,0,"1","150","D","1","D",75,"D"
"20111",2242814,65,0,"1","800","D","1","D",270,"D"
"20111",2242814,66,0,"1","830","D","1","D",189,"D"
"20111",2242994,36,0,"1","150","D","1","D",0,"D"
"20111",2243014,72,0,"1","150","D","1","D",45,"D"
"20111",2243014,73,0,"1","150","D","1","D",80,"D"
"20111",2243014,74,0,"1","830","D","1","D",1800,"D"
"20111",2243014,75,0,"1","830","D","1","D",500,"D"
"20111",2243014,76,0,"1","840","D","1","D",30,"D"
"20111",2243125,62,0,"1","150","D","1","D",18,"D"
"20111",2243125,63,0,"1","600","D","1","D",173,"D"
"20111",2243125,64,0,"1","800","D","1","D",1650,"D"
"20111",2243125,65,0,"1","810","D","1","D",325,"D"
"20111",2243205,53,0,"1","150","D","1","D",45,"D"
"20111",2243234,44,0,"1","830","D","1","D",255,"D"
"20111",2243244,26,0,"1","830","D","1","D",80,"D"
"20111",2243255,54,0,"1","150","D","1","D",38,"D"
"20111",2243384,38,0,"1","840","D","1","D",100,"D"
"20111",2243415,52,0,"1","830","D","1","D",150,"D"
"20111",2243464,72,0,"1","150","D","1","D",26,"D"
