"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CREDITR1","CRED_TR1","CREDITX1","CRED_TX1"
"20111",2227824,17,0,"4","130","D",25000,"D"
"20111",2227824,18,0,"4","130","D",8000,"D"
"20111",2227824,19,0,"4","800","D",3400,"D"
"20111",2227885,20,0,"4","700","D",1500,"D"
"20111",2227914,29,0,"4","130","D",30000,"D"
"20111",2228024,22,0,"4","130","D",2500,"F"
"20111",2228225,19,0,"4","130","D",3000,"D"
"20111",2228254,22,0,"4","130","D",2100,"D"
"20111",2228274,14,0,"4","700","D",196,"D"
"20111",2228415,18,0,"4","120","D",1500,"D"
"20111",2228415,19,0,"4","130","D",12000,"D"
"20111",2228455,21,0,"4","130","D",2500,"F"
"20111",2228535,16,0,"4","130","D",600,"D"
"20111",2228535,17,0,"4","700","D",210,"D"
"20111",2228614,16,0,"4","130","D",400,"D"
"20111",2228964,29,0,"4","130","D",326,"D"
"20111",2228964,30,0,"4","130","D",2049,"D"
"20111",2228964,31,0,"4","130","D",2049,"D"
"20111",2228974,22,0,"4","130","D",376,"D"
"20111",2228974,23,0,"4","800","D",1000,"D"
"20111",2229315,17,0,"4","130","D",2000,"D"
"20111",2229384,15,0,"4","130","D",2000,"D"
"20111",2229565,28,0,"4","130","D",5000,"D"
"20111",2229565,29,0,"4","130","D",1000,"D"
"20111",2229634,23,0,"4","130","D",900,"D"
"20111",2229634,24,0,"4","510","D",640,"D"
"20111",2229634,25,0,"4","800","D",268,"D"
"20111",2229675,20,0,"4","130","D",1400,"D"
"20111",2229824,18,0,"4","130","D",5600,"D"
"20111",2229824,19,0,"4","130","D",4100,"D"
"20111",2229905,24,0,"4","130","D",3000,"D"
"20111",2229915,23,0,"4","120","D",120,"F"
"20111",2229924,68,0,"4","130","D",8000,"D"
"20111",2229924,69,0,"4","130","D",12000,"D"
"20111",2229924,70,0,"4","130","D",2000,"D"
"20111",2229924,71,0,"4","130","D",9000,"D"
"20111",2229924,72,0,"4","130","D",9000,"D"
"20111",2229955,32,0,"4","130","D",3800,"F"
"20111",2230235,34,0,"4","130","D",440,"D"
"20111",2230235,35,0,"4","130","D",2140,"D"
"20111",2230255,21,0,"4","130","D",4000,"D"
"20111",2230305,14,0,"4","130","D",10000,"F"
"20111",2230315,26,0,"4","130","D",693,"D"
"20111",2230315,27,0,"4","130","D",60,"D"
"20111",2230324,32,0,"4","130","D",2000,"F"
"20111",2230365,15,0,"4","800","D",104000,"D"
"20111",2230434,26,0,"4","130","D",210,"D"
"20111",2230785,20,0,"4","130","D",8000,"D"
"20111",2230814,29,0,"4","130","D",1400,"D"
"20111",2230825,22,0,"4","130","D",1,"D"
"20111",2230834,27,0,"4","130","D",11000,"D"
"20111",2230844,26,0,"4","120","D",500,"F"
"20111",2230844,27,0,"4","130","D",1100,"F"
"20111",2230844,28,0,"4","130","D",1200,"F"
"20111",2230924,26,0,"4","130","D",3000,"D"
"20111",2230965,20,0,"4","130","D",3000,"D"
"20111",2231015,35,0,"4","130","D",3000,"D"
"20111",2231015,36,0,"4","130","D",1000,"D"
"20111",2231155,20,0,"4","130","D",1900,"D"
"20111",2231244,23,0,"4","700","D",400,"D"
"20111",2231255,19,0,"4","800","D",3896,"D"
"20111",2231274,25,0,"4","120","D",100,"D"
"20111",2231274,26,0,"4","130","D",2000,"D"
"20111",2231274,27,0,"4","800","D",5200,"D"
"20111",2231305,18,0,"4","130","D",2000,"D"
"20111",2231365,19,0,"4","800","D",35000,"F"
"20111",2231365,20,0,"4","130","D",7900,"F"
"20111",2231365,21,0,"4","120","D",200,"F"
"20111",2231534,20,0,"4","130","D",900,"D"
"20111",2231555,17,0,"4","130","D",3300,"F"
