"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20111",2227914,56,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20111",2228034,29,0,"5","01","D","100","D","1","D",0.0475,"D",59,"D",1441,"D","01","D",5000,"D"
"20111",2228254,41,0,"5","01","D","100","D","1","D",0.0475,"D",190,"F",435,"F","01","D",16000,"F"
"20111",2229264,31,0,"5","01","D","100","D","1","D",0.0475,"D",713,"D",1087,"D","01","D",60000,"D"
"20111",2229505,51,0,"5","01","D","100","D","1","D",0.0475,"D",368,"D",388,"D","01","D",31000,"D"
"20111",2229955,59,0,"5","01","D","100","D","1","D",0.0475,"D",214,"D",836,"D","01","D",18000,"D"
"20111",2230814,51,0,"5","01","D","100","D","1","D",0.0475,"D",487,"D",1106,"D","01","D",41000,"D"
"20111",2230994,40,0,"5","01","D","100","D","1","D",0.0475,"D",119,"D",181,"D","01","D",10000,"D"
"20111",2231015,79,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",1072,"D","01","D",36000,"D"
"20111",2231274,52,0,"5","01","D","100","D","1","D",0.0475,"D",95,"D",205,"D","01","D",8000,"D"
"20111",2231565,69,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",362,"D","01","D",20000,"D"
"20111",2231595,28,0,"5","01","D","100","D",,"C",0.0475,"D",134,"F",400,"F","01","D",11300,"F"
"20111",2231725,49,0,"5","01","D","100","D","1","D",0.0475,"D",261,"D",1239,"D","01","D",22000,"D"
"20111",2232244,58,0,"5","02","D","200","D","2","D",0.0475,"D",.,"A",.,"A","01","D",263000,"D"
"20111",2232294,51,0,"5","01","D","100","D","1","D",0.0475,"D",32,"D",1318,"D","01","D",2727,"D"
