"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX","QPYP3MCX","QPYP_MCX","QPRP3MCX","QPRP_MCX"
"20111",2227764,33,0,"1",.,"A",.,"A",0,"D"
"20111",2228644,24,0,"1",.,"A",.,"A",120,"D"
"20111",2228935,24,0,"1",.,"A",.,"A",30,"D"
"20111",2229094,31,0,"1",20,"D",.,"A",.,"A"
"20111",2229815,48,0,"1",30,"D",.,"A",.,"A"
"20111",2229844,39,0,"1",65,"D",.,"A",.,"A"
"20111",2230704,27,0,"1",10,"D",.,"A",.,"A"
"20111",2230984,33,0,"1",40,"D",.,"A",.,"A"
"20111",2231225,33,0,"1",.,"A",.,"A",215,"D"
"20111",2231255,38,0,"1",.,"A",.,"A",180,"D"
"20111",2231725,62,0,"1",.,"A",.,"A",120,"D"
"20111",2231824,75,0,"1",60,"D",.,"A",.,"A"
"20111",2232625,55,0,"1",50,"D",.,"A",.,"A"
"20111",2232795,46,0,"1",70,"D",.,"A",.,"A"
"20111",2233315,52,0,"1",15,"D",.,"A",.,"A"
"20111",2233395,58,0,"1",60,"D",.,"A",.,"A"
"20111",2233514,22,0,"1",.,"A",.,"A",0,"D"
"20111",2233575,49,0,"1",.,"A",.,"A",100,"D"
"20111",2235164,21,0,"1",.,"A",.,"A",.,"A"
"20111",2235515,31,0,"1",0,"D",.,"A",.,"A"
"20111",2236114,59,0,"1",40,"D",.,"A",.,"A"
"20111",2236665,36,0,"1",70,"D",.,"A",.,"A"
"20111",2236724,74,0,"1",40,"D",.,"A",.,"A"
"20111",2236964,52,0,"1",20,"D",.,"A",105,"D"
"20111",2236974,64,0,"1",108,"D",.,"A",.,"A"
"20111",2236995,91,0,"1",.,"A",.,"A",193,"D"
"20111",2237154,25,0,"1",25,"D",.,"A",.,"A"
"20111",2237175,36,0,"1",.,"A",.,"A",45,"D"
"20111",2237364,42,0,"1",40,"D",.,"A",.,"A"
"20111",2237694,72,0,"1",.,"A",.,"A",20,"D"
"20111",2237755,104,0,"1",20,"D",.,"A",.,"A"
"20111",2237994,30,0,"1",0,"D",.,"A",.,"A"
"20111",2238235,59,0,"1",25,"D",.,"A",.,"A"
"20111",2238255,37,0,"1",.,"A",.,"A",75,"D"
"20111",2238545,24,0,"1",32,"F",.,"A",.,"A"
"20111",2239034,56,0,"1",10,"D",.,"A",.,"A"
"20111",2239484,56,0,"1",20,"D",.,"A",.,"A"
"20111",2239714,64,0,"1",150,"D",.,"A",.,"A"
"20111",2239804,32,0,"1",.,"A",.,"A",.,"A"
"20111",2240115,49,0,"1",.,"A",.,"A",40,"D"
"20111",2240185,50,0,"1",.,"A",.,"A",60,"D"
"20111",2240905,35,0,"1",.,"A",.,"A",25,"D"
"20111",2240954,39,0,"1",10,"D",.,"A",.,"A"
"20111",2241045,82,0,"1",.,"A",.,"A",60,"D"
"20111",2241435,33,0,"1",35,"D",.,"A",.,"A"
"20111",2241754,44,0,"1",.,"A",.,"A",50,"D"
"20111",2242384,32,0,"1",.,"A",.,"A",20,"D"
"20111",2242485,25,0,"1",0,"D",.,"A",.,"A"
"20111",2242965,31,0,"1",25,"D",.,"A",.,"A"
"20111",2243045,47,0,"1",90,"D",.,"A",.,"A"
"20111",2243295,84,0,"1",.,"A",.,"A",30,"D"
"20111",2243365,33,0,"1",40,"D",.,"A",.,"A"
"20111",2243464,82,0,"1",30,"D",.,"A",.,"A"
"20111",2243535,24,0,"1",16,"D",.,"A",.,"A"
"20111",2243905,67,0,"1",0,"D",.,"A",.,"A"
"20111",2244444,27,0,"1",20,"D",.,"A",.,"A"
"20111",2246454,59,0,"1",.,"A",.,"A",20,"D"
"20111",2246745,60,0,"1",.,"A",.,"A",200,"D"
"20111",2246974,42,0,"1",20,"D",.,"A",.,"A"
"20111",2247014,54,0,"1",.,"A",.,"A",40,"D"
"20111",2247035,53,0,"1",75,"D",.,"A",.,"A"
"20111",2247444,63,0,"1",.,"A",.,"A",120,"D"
"20111",2247744,56,0,"1",.,"A",.,"A",270,"D"
"20111",2247815,50,0,"1",.,"A",.,"A",21,"D"
"20111",2248914,48,0,"1",.,"A",0,"D",.,"A"
"20111",2249354,40,0,"1",.,"A",.,"A",0,"D"
"20111",2249395,42,0,"1",32,"F",.,"A",.,"A"
"20111",2249734,43,0,"1",.,"A",.,"A",150,"D"
"20111",2249874,40,0,"1",40,"D",.,"A",.,"A"
"20111",2249945,63,0,"1",.,"A",.,"A",39,"D"
"20111",2250045,67,0,"1",30,"D",.,"A",.,"A"
"20111",2250114,62,0,"1",0,"D",.,"A",.,"A"
"20111",2250344,60,0,"1",.,"A",.,"A",100,"D"
"20111",2250544,40,0,"1",.,"A",.,"A",120,"D"
"20111",2250925,61,0,"1",.,"A",.,"A",50,"D"
"20111",2251334,54,0,"1",.,"A",.,"A",.,"A"
"20111",2251515,26,0,"1",.,"A",.,"A",120,"D"
"20111",2251654,68,0,"1",.,"A",.,"A",30,"D"
"20111",2252005,36,0,"1",150,"D",.,"A",.,"A"
"20111",2252015,54,0,"1",.,"A",.,"A",60,"D"
"20111",2252094,43,0,"1",39,"D",.,"A",.,"A"
"20111",2252665,60,0,"1",.,"A",.,"A",60,"D"
"20111",2252854,60,0,"1",.,"A",.,"A",75,"D"
"20111",2253194,40,0,"1",60,"D",.,"A",.,"A"
"20111",2253524,50,0,"1",24,"D",.,"A",.,"A"
"20111",2253695,50,0,"1",40,"D",.,"A",.,"A"
"20111",2253824,46,0,"1",0,"D",.,"A",.,"A"
"20111",2254104,41,0,"1",23,"D",.,"A",.,"A"
"20111",2254274,30,0,"1",20,"D",.,"A",.,"A"
"20111",2255174,43,0,"1",.,"A",.,"A",84,"D"
"20111",2255204,62,0,"1",.,"A",.,"A",21,"D"
"20111",2255384,29,0,"1",.,"A",16,"D",.,"A"
"20111",2255574,25,0,"1",5,"D",.,"A",30,"D"
"20111",2255715,48,0,"1",50,"D",.,"A",100,"D"
"20111",2255744,70,0,"1",20,"D",.,"A",.,"A"
"20111",2255815,21,0,"1",.,"A",.,"A",.,"A"
"20111",2258674,48,0,"1",30,"D",.,"A",.,"A"
"20111",2258685,32,0,"1",100,"D",.,"A",.,"A"
"20111",2259134,36,0,"1",.,"A",.,"A",60,"D"
"20111",2259564,30,0,"1",40,"D",.,"A",.,"A"
"20111",2259915,52,0,"1",30,"D",.,"A",.,"A"
"20111",2260044,31,0,"1",40,"D",.,"A",.,"A"
"20111",2260255,40,0,"1",.,"A",.,"A",44,"D"
"20111",2260345,87,0,"1",.,"A",.,"A",20,"D"
"20111",2261324,59,0,"1",.,"A",.,"A",30,"D"
"20111",2262024,42,0,"1",.,"A",.,"A",50,"D"
"20111",2262205,28,0,"1",8,"D",.,"A",.,"A"
"20111",2262504,56,0,"1",.,"A",.,"A",20,"D"
"20111",2262754,52,0,"1",.,"A",.,"A",112,"D"
"20111",2262764,32,0,"1",.,"A",.,"A",135,"D"
"20111",2262965,105,0,"1",.,"A",.,"A",107,"D"
"20111",2263105,43,0,"1",40,"D",.,"A",.,"A"
"20111",2263124,43,0,"1",.,"A",.,"A",10,"D"
"20111",2263315,41,0,"1",60,"D",.,"A",.,"A"
"20111",2264164,56,0,"1",10,"D",.,"A",50,"D"
"20111",2264995,33,0,"1",.,"A",.,"A",45,"D"
"20111",2265004,43,0,"1",10,"D",.,"A",.,"A"
"20111",2265054,39,0,"1",.,"A",.,"A",120,"D"
"20111",2265465,36,0,"1",55,"D",.,"A",.,"A"
"20111",2266375,44,0,"1",25,"D",.,"A",.,"A"
"20111",2266585,70,0,"1",180,"D",.,"A",.,"A"
"20111",2267164,63,0,"1",.,"A",.,"A",20,"D"
"20111",2267454,38,0,"1",0,"D",.,"A",.,"A"
"20111",2267775,104,0,"1",.,"A",.,"A",85,"D"
"20111",2268114,46,0,"1",98,"D",.,"A",.,"A"
"20111",2268545,42,0,"1",2,"D",.,"A",.,"A"
"20111",2269004,38,0,"1",.,"A",.,"A",20,"D"
"20111",2269115,65,0,"1",50,"D",.,"A",.,"A"
"20111",2269364,36,0,"1",30,"D",.,"A",.,"A"
"20111",2269485,35,0,"1",.,"A",0,"D",.,"A"
"20111",2269535,50,0,"1",200,"D",.,"A",.,"A"
"20111",2269934,35,0,"1",.,"A",8,"D",.,"A"
"20111",2270554,55,0,"1",30,"D",.,"A",.,"A"
"20111",2270905,40,0,"1",55,"D",.,"A",.,"A"
"20111",2271365,59,0,"1",.,"A",.,"A",50,"D"
"20111",2271485,50,0,"1",.,"A",.,"A",67,"D"
"20111",2271824,20,0,"1",.,"A",.,"A",60,"D"
"20111",2272385,31,0,"1",14,"D",.,"A",.,"A"
"20111",2272654,29,0,"1",80,"D",.,"A",.,"A"
"20111",2273335,52,0,"1",30,"D",.,"A",.,"A"
"20111",2273794,70,0,"1",.,"A",.,"A",40,"D"
"20111",2273814,65,0,"1",.,"A",.,"A",90,"D"
"20111",2274114,31,0,"1",.,"A",.,"A",90,"D"
"20111",2274205,50,0,"1",120,"D",.,"A",120,"D"
"20111",2274334,48,0,"1",10,"D",.,"A",.,"A"
"20111",2274774,39,0,"1",40,"D",.,"A",.,"A"
"20111",2274804,47,0,"1",0,"D",.,"A",.,"A"
"20111",2274824,37,0,"1",75,"D",.,"A",.,"A"
"20111",2274894,52,0,"1",34,"D",.,"A",.,"A"
"20111",2275254,61,0,"1",0,"D",.,"A",.,"A"
"20111",2275515,41,0,"1",12,"D",2,"D",.,"A"
"20111",2275635,48,0,"1",50,"D",.,"A",.,"A"
"20111",2275864,44,0,"1",0,"D",.,"A",.,"A"
"20111",2276615,39,0,"1",0,"D",.,"A",.,"A"
"20111",2276665,50,0,"1",20,"D",.,"A",.,"A"
"20111",2276755,22,0,"1",80,"D",.,"A",.,"A"
"20111",2278014,18,0,"1",.,"A",.,"A",.,"A"
"20111",2278564,95,0,"1",25,"D",.,"A",.,"A"
"20111",2279114,59,0,"1",.,"A",.,"A",15,"D"
"20111",2279695,28,0,"1",12,"D",.,"A",.,"A"
