"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20111",2227674,14,0,"1","160","D","12","D",20,"D"
"20111",2227734,14,0,"1","150","D","13","D",20,"D"
"20111",2227775,21,0,"1","160","D","12","D",20,"D"
"20111",2227814,13,0,"1","150","D","13","D",24,"D"
"20111",2227824,15,0,"1","170","D","12","D",200,"D"
"20111",2227835,14,0,"1","150","D","13","D",64,"D"
"20111",2227835,15,0,"1","160","D","12","D",3,"D"
"20111",2227845,17,0,"1","160","D","12","D",140,"D"
"20111",2227885,18,0,"1","170","D","12","D",30,"D"
"20111",2227914,23,0,"1","170","D","12","D",100,"D"
"20111",2227914,24,0,"1","150","D","13","D",20,"D"
"20111",2227914,25,0,"1","160","D","12","D",50,"D"
"20111",2227944,19,0,"1","110","D","13","D",1800,"D"
"20111",2227944,20,0,"1","150","D","12","D",700,"D"
"20111",2227944,21,0,"1","150","D","12","D",400,"D"
"20111",2227984,19,0,"1","170","D","12","D",150,"D"
"20111",2227984,20,0,"1","150","D","13","D",75,"D"
"20111",2227984,21,0,"1","160","D","12","D",50,"D"
"20111",2228024,17,0,"1","150","D","13","D",200,"D"
"20111",2228024,18,0,"1","160","D","10","D",40,"D"
"20111",2228024,19,0,"1","160","D","11","D",40,"D"
"20111",2228024,20,0,"1","160","D","12","D",40,"D"
"20111",2228034,14,0,"1","150","D","12","D",300,"D"
"20111",2228094,18,0,"1","160","D","10","D",30,"D"
"20111",2228094,19,0,"1","160","D","11","D",30,"D"
"20111",2228094,20,0,"1","160","D","12","D",40,"D"
"20111",2228115,31,0,"1","160","D","10","D",100,"D"
"20111",2228185,15,0,"1","170","D","13","D",15,"D"
"20111",2228185,16,0,"1","140","D","12","D",1000,"D"
"20111",2228194,17,0,"1","150","D","12","D",50,"D"
"20111",2228194,18,0,"1","160","D","12","D",10,"D"
