"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QPSF3MCX","QPSF_MCX","QSSF3MCX","QSSF_MCX","QEAD3MCX","QEAD_MCX","QREC3MCX","QREC_MCX","QFLM3MCX","QFLM_MCX","QFLP3MCX","QFLP_MCX","QPVD3MCX","QPVD_MCX","QRVD3MCX","QRVD_MCX","QENT3MCX","QENT_MCX","QBR3MCX","QBR3MCX_","QNMG3MCX","QNMG_MCX"
"20101",1995585,17,0,"1",200,"D",.,"A",30,"D",50,"D",.,"A",50,"D",.,"A",15,"D",.,"A",.,"A",.,"A"
"20101",1995685,19,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1995705,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",5,"D",.,"A",.,"A",.,"A"
"20101",1995715,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",23,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1995725,16,0,"1",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",25,"D",.,"A",.,"A",80,"D",.,"A"
"20101",1995735,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",10,"D",.,"A",16,"D",.,"A"
"20101",1995745,13,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A"
"20101",1995775,23,0,"1",.,"A",.,"A",.,"A",10,"D",.,"A",.,"A",.,"A",11,"D",.,"A",.,"A",.,"A"
"20101",1995805,17,0,"1",.,"A",.,"A",.,"A",33,"F",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",42,"D"
"20101",1995845,25,0,"1",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",20,"D",20,"D",.,"A",10,"D",8,"D"
"20101",1995875,20,0,"1",.,"A",.,"A",.,"A",40,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1995885,25,0,"1",.,"A",.,"A",40,"D",40,"D",.,"A",.,"A",.,"A",20,"D",.,"A",25,"D",174,"D"
"20101",1995915,17,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1995925,23,0,"1",.,"A",18,"D",30,"D",.,"A",.,"A",.,"A",.,"A",54,"D",.,"A",15,"D",.,"A"
"20101",1995955,33,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",32,"D",.,"A"
"20101",1995975,14,0,"1",.,"A",.,"A",8,"D",.,"A",.,"A",.,"A",.,"A",5,"D",.,"A",.,"A",5,"D"
"20101",1995985,14,0,"1",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1995995,23,0,"1",250,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",48,"D",.,"A",31,"D",10,"D"
"20101",1996005,22,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",88,"D",.,"A",.,"A",80,"D",.,"A"
"20101",1996025,19,0,"1",.,"A",.,"A",25,"D",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1996045,16,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A"
"20101",1996055,20,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",40,"D",.,"A",25,"D",.,"A",.,"A",.,"A"
"20101",1996115,16,0,"1",.,"A",.,"A",25,"D",50,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1996135,17,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",24,"D",.,"A",.,"A",.,"A"
"20101",1996175,20,0,"1",.,"A",.,"A",90,"D",.,"A",.,"A",.,"A",.,"A",55,"D",.,"A",100,"D",12,"D"
"20101",1996195,18,0,"1",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",25,"D",.,"A"
"20101",1996205,17,0,"1",.,"A",.,"A",.,"A",14,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1996225,19,0,"1",.,"A",.,"A",200,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A"
"20101",1996235,17,0,"1",.,"A",.,"A",20,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1996255,26,0,"1",30,"D",.,"A",0,"D",.,"A",.,"A",.,"A",200,"D",.,"A",.,"A",.,"A",.,"A"
"20101",1996265,23,0,"1",.,"A",.,"A",30,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A"
"20101",1996305,24,0,"1",.,"A",.,"A",50,"D",.,"A",.,"A",.,"A",100,"D",40,"D",.,"A",30,"D",50,"D"
