"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP"
"20103",2297793,41,0,"5","01","D","100","D",.,"A","3","D","08","D","2005","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297812,22,0,"1","01","D","200","D",0.5,"D","3","D","05","D","2010","D",.,"A",.,"A",.,"A",1500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297842,48,0,"5","01","D","100","D",.,"A","1","D","07","D","2008","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297863,31,0,"5","01","D","100","D",.,"A","3","D","05","D","1972","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297863,32,0,"5","02","D","300","D",.,"A","1","D","01","D","2010","D",.,"A",.,"A",.,"A",900,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297883,37,0,"5","01","D","100","D",.,"A","3","D","08","D","2009","D",.,"A",.,"A",.,"A",4700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297912,38,0,"5","01","D","100","D",.,"A","3","D","09","D","1972","D",.,"A",.,"A",.,"A",322,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297912,39,0,"5","02","D","400","D",.,"A","3","D","05","D","1987","D",.,"A",.,"A",.,"A",442,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297922,24,0,"5","01","D","100","D",.,"A","3","D","06","D","1988","D",.,"A",.,"A",.,"A",950,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297942,48,0,"5","01","D","100","D",.,"A","3","D","01","D","2008","D",.,"A",.,"A",.,"A",14928,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297973,32,0,"5","01","D","100","D",.,"A","3","D","06","D","1974","D",.,"A",.,"A",.,"A",600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2297973,33,0,"5","02","D","300","D",.,"A","3","D","08","D","2001","D",.,"A",.,"A",.,"A",0,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A"
"20103",2298002,22,0,"1","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",7000,"F",,"A",.,"A",,"A",.,"A",,"C",.,"A",,"A"
"20103",2298022,29,0,"1","01","D","100","D",.,"A","3","D","12","D","2007","D",.,"A",.,"A",.,"A",1600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298042,26,0,"5","01","D","100","D",.,"A","3","D","09","D","1983","D",.,"A",.,"A",.,"A",400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298042,27,0,"5","02","D","400","D",.,"A","3","D","07","D","1979","D",.,"A",.,"A",.,"A",50,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298053,24,0,"5","01","D","100","D",.,"A","3","D","11","D","1973","D",.,"A",.,"A",.,"A",750,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298092,22,0,"1","01","D","100","D",.,"A","3","D","07","D","2006","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298142,29,0,"1","01","D","100","D",.,"A","3","D","10","D","2000","D",.,"A",.,"A",.,"A",2300,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298173,37,0,"5","01","D","100","D",.,"A","3","D","01","D","2005","D",.,"A",.,"A",.,"A",5000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298183,35,0,"5","01","D","100","D",.,"A","3","D","11","D","2004","D",.,"A",.,"A",.,"A",5300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298222,28,0,"1","01","D","100","D",.,"A","3","D","08","D","2009","D",.,"A",.,"A",.,"A",900,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298232,44,0,"5","01","D","100","D",.,"A","1","D","08","D","2000","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298253,28,0,"5","01","D","100","D",.,"A","3","D","12","D","1987","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298262,24,0,"5","01","D","100","D",.,"A","3","D","09","D","1996","D",.,"A",.,"A",.,"A",20,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298313,29,0,"5","01","D","100","D",.,"A","3","D",,"C","1973","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298323,29,0,"5","01","D","100","D",.,"A","3","D","11","D","2000","D",.,"A",.,"A",.,"A",1152,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298433,57,0,"5","01","D","100","D",0.02,"D","3","D","01","D","2001","D",.,"A",.,"A",.,"A",588,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298463,40,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298482,35,0,"5","01","D","100","D",.,"A","3","D",,"C","1999","D",.,"A",.,"A",.,"A",700,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298513,35,0,"5","01","D","100","D",.,"A","3","D","02","D","1969","D",.,"A",.,"A",.,"A",4000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298513,36,0,"5","02","D","300","D",.,"A","3","D","02","D","1990","D",.,"A",.,"A",.,"A",4000,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298523,51,0,"5","01","D","100","D",.,"A","3","D","12","D","1998","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298523,52,0,"5","02","D","300","D",.,"A","1","D","07","D","2007","D",.,"A",.,"A",.,"A",40,"D","1","D",1,"D","2","D",.,"A",,"A",.,"A",,"A"
"20103",2298562,29,0,"5","01","D","100","D",.,"A","3","D","07","D","2008","D",.,"A",.,"A",.,"A",567,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298582,30,0,"5","01","D","100","D",.,"A","3","D","11","D","1988","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298592,35,0,"5","01","D","100","D",.,"A","3","D","05","D","2005","D",.,"A",.,"A",.,"A",80,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298623,35,0,"5","01","D","100","D",.,"A","3","D","05","D","1993","D",.,"A",.,"A",.,"A",2800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298632,38,0,"5","01","D","100","D",.,"A","3","D","05","D","2010","D",137000,"D",0,"D",7000,"D",1400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2298642,17,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298693,37,0,"1","01","D","100","D",0.12,"D","3","D","07","D","2010","D",490000,"D",240000,"D",2000,"D",2640,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2298733,22,0,"5","01","D","100","D",.,"A","3","D","09","D","1980","D",.,"A",.,"A",.,"A",14928,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298733,23,0,"5","02","D","400","D",.,"A","3","D","09","D","1980","D",.,"A",.,"A",.,"A",0,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298753,39,0,"5","01","D","100","D",.,"A","3","D","05","D","1998","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298753,40,0,"5","02","D","400","D",.,"A","3","D","04","D","2004","D",.,"A",.,"A",.,"A",200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298842,47,0,"5","01","D","100","D",.,"A","3","D","07","D","1999","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298842,48,0,"5","02","D","300","D",.,"A","3","D","05","D","2010","D",.,"A",.,"A",.,"A",1200,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A","1","D"
"20103",2298862,30,0,"5","01","D","100","D",.,"A","3","D","08","D","1985","D",.,"A",.,"A",.,"A",2454,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298902,56,0,"5","01","D","100","D",.,"A","3","D","08","D","2005","D",.,"A",.,"A",.,"A",850,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A"
"20103",2298902,57,0,"5","02","D","400","D",.,"A","3","D","03","D","1995","D",.,"A",.,"A",.,"A",500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298922,25,0,"5","01","D","100","D",.,"A","3","D","11","D","2003","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2298963,24,0,"5","01","D","100","D",.,"A","3","D","02","D","1987","D",.,"A",.,"A",.,"A",1800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299022,45,0,"5","01","D","100","D",.,"A","3","D","09","D","1999","D",.,"A",.,"A",.,"A",6200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299062,35,0,"5","01","D","100","D",.,"A","3","D",,"C","2002","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299093,24,0,"5","01","D","100","D",.,"A","3","D","06","D","2003","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299103,40,0,"5","01","D","100","D",.,"A","3","D","06","D","1996","D",.,"A",.,"A",.,"A",2700,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299115,31,0,"1","01","D","100","D",.,"A","3","D","07","D","2010","D",186000,"D",6000,"D",3400,"D",1400,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D"
"20103",2299133,36,0,"5","01","D","100","D",.,"A","3","D","12","D","1999","D",.,"A",.,"A",.,"A",2000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299233,22,0,"1","01","D","100","D",.,"A","3","D","06","D","1998","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299242,35,0,"5","01","D","100","D",.,"A","3","D","09","D","2000","D",.,"A",.,"A",.,"A",4224,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299253,33,0,"5","01","D","100","D",.,"A","3","D",,"C","1997","D",.,"A",.,"A",.,"A",728,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299292,43,0,"5","01","D","100","D",.,"A","3","D","05","D","2006","D",.,"A",.,"A",.,"A",7800,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299302,38,0,"5","01","D","100","D",.,"A","3","D","06","D","1973","D",.,"A",.,"A",.,"A",1300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299343,34,0,"5","01","D","100","D",.,"A","3","D","09","D","1996","D",.,"A",.,"A",.,"A",178,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
"20103",2299362,20,0,"5","01","D","100","D",.,"A","3","D","07","D","2009","D",.,"A",.,"A",.,"A",1000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A"
