"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","QRT3_CMX"
"20101",1995615,23,0,"1","1","D","2","D","1","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",2430,"D"
"20101",1995715,32,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",387,"D"
"20101",1995745,35,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1962,"D"
"20101",1995845,47,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2250,"D"
"20101",1995915,31,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",7593,"T"
"20101",1995925,43,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3150,"D"
"20101",1996115,32,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3090,"D"
"20101",1996145,25,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",600,"D"
"20101",1996235,25,0,"1","1","D","2","D","2","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"D"
"20101",1996245,21,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2100,"D"
"20101",1996255,50,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3600,"D"
"20101",1996265,46,0,"1","1","D","2","D","1","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",2250,"D"
"20101",1996315,33,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",450,"D"
"20101",1996345,19,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",639,"D"
"20101",1996365,24,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",610,"D"
"20101",1996425,30,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2880,"D"
"20101",1996445,35,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2397,"D"
"20101",1996475,49,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2400,"D"
"20101",1996555,39,0,"1","1","D","2","D","2","D","1","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1950,"D"
"20101",1996565,28,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","1","D",1000,"D",.,"A",3000,"D",0,"D"
"20101",1996615,25,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2700,"D"
"20101",1996635,38,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",900,"D"
"20101",1996695,23,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1050,"D"
"20101",1996705,21,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",696,"D"
"20101",1996835,32,0,"1","1","D",,"A",,"A",,"A",,"A",,"A","2","D",.,"A",.,"A",.,"A",.,"A"
"20101",1996925,24,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1350,"D"
"20101",1996995,21,0,"1","1","D","2","D","2","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",2550,"D"
"20101",1997115,30,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1050,"D"
"20101",1997225,34,0,"1","1","D","2","D","1","D","1","D","1","D","1","D","1","D",800,"D",.,"A",1545,"D",855,"D"
