"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20101",1995585,53,0,"1","100","D",.,"A",.,"A","1","D"
"20101",1997005,71,0,"1","100","D",.,"A",1100,"D","2","D"
"20101",1997705,69,0,"1","180","D",.,"A",120,"D","2","D"
"20101",1999085,47,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2000035,50,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2001335,34,0,"1","110","D",.,"A",30,"D","2","D"
"20101",2001715,50,0,"1","100","D",.,"A",145,"D","2","D"
"20101",2002355,45,0,"1","100","D",.,"A",400,"D","2","D"
"20101",2002675,44,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2002945,26,0,"1","110","D",.,"A",100,"D","2","D"
"20101",2003185,52,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2003595,50,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2004165,53,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2004275,61,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2004285,94,0,"1","100","D",.,"A",325,"D","2","D"
"20101",2004485,54,0,"1","110","D",.,"A",.,"A","1","D"
"20101",2005215,54,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2009425,48,0,"1","100","D",.,"A",100,"D","2","D"
"20101",2009635,105,0,"1","110","D",.,"A",113,"D","2","D"
"20101",2009635,106,0,"1","110","D",.,"A",95,"D","2","D"
"20101",2010205,38,0,"1","110","D",.,"A",21,"D","2","D"
"20101",2010345,54,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2013905,76,0,"1","100","D",.,"A",50,"D","2","D"
"20101",2014005,55,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2014225,52,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2017105,51,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2017265,68,0,"1","110","D",.,"A",67,"D","2","D"
"20101",2017265,69,0,"1","110","D",.,"A",50,"D","2","D"
"20101",2017335,75,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2017655,64,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2021204,50,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2021834,82,0,"1","100","D",.,"A",42,"D","2","D"
"20101",2023694,84,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2024054,78,0,"1","110","D",.,"A",105,"D","2","D"
"20101",2024674,47,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2025015,43,0,"1","110","D",.,"A",225,"D","2","D"
"20101",2025494,54,0,"1","100","D",.,"A",239,"D","2","D"
"20101",2025714,49,0,"1","100","D",.,"A",200,"D","2","D"
"20101",2025865,60,0,"1","200","D",0.99,"D",3,"D","2","D"
"20101",2027094,40,0,"1","110","D",.,"A",.,"A","1","D"
"20101",2027224,52,0,"1","110","D",.,"A",.,"A","1","D"
"20101",2027634,46,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2029344,41,0,"1","110","D",.,"A",.,"A","1","D"
"20101",2030404,63,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2030624,48,0,"1","110","D",.,"A",70,"D","2","D"
"20101",2031904,47,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2032074,38,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2032114,95,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2032124,78,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2034794,31,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2036734,67,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2036794,84,0,"1","100","D",.,"A",50,"D","2","D"
"20101",2037674,50,0,"1","100","D",.,"A",295,"D","2","D"
"20101",2037744,74,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2039904,69,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2040864,49,0,"1","100","D",1,"D",0,"D","2","D"
"20101",2171233,69,0,"1","100","D",.,"A",960,"D","2","D"
"20101",2172673,42,0,"1","100","D",.,"A",130,"D","2","D"
"20101",2173513,26,0,"1","100","D",.,"A",300,"D","2","D"
"20101",2173943,59,0,"1","100","D",.,"A",295,"D","2","D"
"20101",2174413,74,0,"1","110","D",.,"A",65,"D","2","D"
"20101",2175203,50,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2176313,59,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2177233,58,0,"1","100","D",.,"A",300,"D","2","D"
"20101",2177313,39,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2177413,74,0,"1","110","D",.,"A",20,"D","2","D"
"20101",2177413,75,0,"1","110","D",.,"A",90,"D","2","D"
"20101",2177413,76,0,"1","110","D",.,"A",50,"D","2","D"
"20101",2178453,19,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2178613,52,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2179433,56,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2180043,48,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2180393,59,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2180523,52,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2181093,24,0,"1","100","D",.,"A",53,"D","2","D"
"20101",2182173,81,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2182433,58,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2185293,46,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2185293,47,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2185523,38,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2185523,39,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2187143,52,0,"1","110","D",.,"A",240,"D","2","D"
"20101",2189783,62,0,"1","100","D",1,"D",0,"D","2","D"
"20101",2190083,34,0,"1","100","D",.,"A",1500,"D","2","D"
"20101",2191863,56,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2192503,42,0,"1","110","D",.,"A",.,"A","1","D"
"20101",2195205,54,0,"1","100","D",.,"A",235,"D","2","D"
"20101",2196133,85,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2200802,70,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2201332,39,0,"1","100","D",.,"A",27,"D","2","D"
"20101",2202682,45,0,"1","100","D",.,"A",80,"D","2","D"
"20101",2203482,34,0,"1","100","D",.,"A",850,"D","2","D"
"20101",2203622,43,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2203802,72,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2205622,41,0,"1","110","D",1,"D",0,"D","2","D"
"20101",2205752,49,0,"1","100","D",.,"A",525,"D","2","D"
"20101",2205882,62,0,"1","100","D",.,"A",97,"D","2","D"
"20101",2205922,50,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2206052,22,0,"1","100","D",.,"A",200,"D","2","D"
"20101",2206412,31,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2206592,61,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2207702,22,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2210972,40,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2211792,36,0,"1","110","D",.,"A",86,"D","2","D"
"20101",2212052,57,0,"1","100","D",.,"A",2400,"D","2","D"
"20101",2213182,59,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2213882,58,0,"1","100","D",.,"A",100,"D","2","D"
"20101",2215122,42,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2216822,63,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2217112,28,0,"1","100","D",.,"A",.,"A","1","D"
"20101",2218162,44,0,"1","100","D",.,"A",75,"D","2","D"
