"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","LSDNUM","LSDNUM_","LSDCODE","LSDCODE_","MODELYR","MODELYR_","PRCBSNSZ","PRCB_NSZ","NUMPAY","NUMPAY_","PMTMONTH","PMTM_NTH","PAYEXPX","PAYEXPX_","PAYTIME","PAYTIME_","EMPLYEXP","EMPL_EXP","TRADEEXP","TRAD_EXP","DOWNEXP","DOWNEXP_","DNEMPEXP","DNEM_EXP","LSDENDMO","LSDE_DMO","QADPMT1X","QADP_T1X","QADPMT2X","QADP_T2X","QADPMT3X","QADP_T3X","QEXTRA1X","QEXT_A1X","QEXTRA2X","QEXT_A2X","QEXTRA3X","QEXT_A3X","QADDOWNX","QADD_WNX","QADFEEX","QADFEEX_","MKMDEL","MKMDEL_","LSDENDYR","LSDE_DYR"
"20101",2005055,83,0,"5","01","D","100","D","2008","D",.,"A",36,"D","02","D",356,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",356,"D",356,"D",356,"D",.,"A",.,"A",.,"A",.,"A",.,"A","VOKAJ","D",,"A"
"20101",2005965,54,0,"5","01","D","100","D","2009","D",.,"A",36,"D","11","D",348,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",348,"D",348,"D",348,"D",.,"A",.,"A",.,"A",.,"A",.,"A","HONAA","D",,"A"
"20101",2006005,32,0,"5","01","D","110","D","2006","D",.,"A",36,"D","06","D",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",371,"F",371,"F",371,"F",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBI","D",,"A"
"20101",2006005,33,0,"5","02","D","110","D","2009","D",.,"A",36,"D","09","D",449,"D","3","D",.,"A",3000,"D",.,"A",.,"A",,"A",449,"D",449,"D",449,"D",.,"A",.,"A",.,"A",.,"A",.,"A","TOYAR","D",,"A"
"20101",2006035,33,0,"5","01","D","100","D","2008","D",.,"A",42,"D","12","D",275,"D","3","D",.,"A",.,"A",2000,"D",.,"A",,"A",275,"D",275,"D",275,"D",30,"D",30,"D",30,"D",2000,"D",.,"A","SUBAF","D",,"A"
"20101",2006985,41,0,"5","02","D","100","D","2002","D",.,"A",20,"D","09","D",220,"D","3","D",.,"A",.,"A",1800,"D",.,"A",,"A",220,"D",220,"D",220,"D",.,"A",.,"A",.,"A",1800,"D",.,"A","CHEAG","D",,"A"
"20101",2007665,35,0,"5","01","D","110","D","2005","D",.,"A",48,"D","06","D",300,"D","3","D",.,"A",.,"A",.,"A",.,"A",,"A",300,"D",300,"D",300,"D",.,"A",.,"A",.,"A",.,"A",.,"A","CHEBP","D",,"A"
"20101",2007695,21,0,"5","01","D","100","D","2001","D",.,"A",1,"D","10","D",2200,"D","7","D",.,"A",.,"A",2000,"D",.,"A",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",2000,"D",.,"A","HONAA","D",,"A"
"20101",2008825,32,0,"5","01","D","100","D","2007","D",.,"A",39,"D","01","D",558,"D","3","D",.,"A",.,"A",3000,"D",.,"A","11","D",558,"D",558,"D",.,"A",.,"A",.,"A",.,"A",3000,"D",.,"A","INFAH","D",,"A"
"20101",2008825,33,0,"1","02","D","110","D","2010","D",.,"A",36,"D","10","F",.,"C","3","D",.,"A",.,"A",.,"A",.,"A",,"A",392,"F",392,"F",392,"F",.,"A",.,"A",.,"A",.,"A",.,"A","INFAO","D",,"A"
"20101",2009215,29,0,"5","01","D","110","D","2008","D",.,"A",39,"D","11","D",550,"D","3","D",.,"A",.,"A",.,"C",.,"A",,"A",550,"D",550,"D",550,"D",.,"A",.,"A",.,"A",.,"B",.,"A","BUIAR","D",,"A"
