"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JMEALPYA","JMEA_PYA","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","FREEFOOD","FREE_OOD","JALHOMQV","JALH_MQV"
"20101",1995545,77,0,"1",975,"D",130,"D",52,"D",117,"D",.,"A",.,"A",.,"A",.,"A",845,"D","2","D",.,"A"
"20101",1995565,49,0,"1",1950,"D",246,"F",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1037,"F","2","D",.,"A"
"20101",1995585,61,0,"1",1300,"D",0,"D",390,"D",325,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D",.,"A"
"20101",1995595,34,0,"1",1300,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D",.,"A"
"20101",1995605,40,0,"1",1560,"D",260,"D",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",1300,"D","2","D",.,"A"
"20101",1995615,31,0,"1",780,"D",130,"D",130,"D",260,"D",.,"A",.,"A",.,"A",.,"A",650,"D","2","D",.,"A"
"20101",1995655,47,0,"1",1300,"D",520,"D",.,"A",130,"D",.,"A",.,"A",.,"A",.,"A",780,"D","2","D",.,"A"
"20101",1995685,52,0,"1",650,"D",130,"D",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",520,"D","2","D",.,"A"
"20101",1995705,54,0,"1",910,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",715,"D","2","D",.,"A"
"20101",1995715,40,0,"1",520,"D",104,"D",.,"A",78,"D",.,"A",.,"A",.,"A",.,"A",416,"D","2","D",.,"A"
"20101",1995725,47,0,"1",1950,"D",160,"F",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",644,"F","2","D",.,"A"
"20101",1995735,47,0,"1",650,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",.,"A",520,"D","2","D",30,"D"
