"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","CONTCODE","CONT_ODE","CONTMO","CONTMO_","CONTEXPX","CONT_XPX"
"20101",1997005,23,0,"1","160","D","12","D",100,"D"
"20101",1997005,24,0,"1","160","D","12","D",100,"D"
"20101",1997005,25,0,"1","160","D","12","D",35,"D"
"20101",1997005,26,0,"1","160","D","01","D",75,"D"
"20101",1997005,27,0,"1","160","D","01","D",50,"D"
"20101",1997005,28,0,"1","160","D","01","D",500,"D"
"20101",1997025,22,0,"1","170","D","01","D",400,"D"
"20101",1997025,23,0,"1","170","D","02","D",500,"D"
"20101",1997025,24,0,"1","160","D","01","D",25,"D"
"20101",1997025,25,0,"1","160","D","02","D",25,"D"
"20101",1997025,26,0,"1","150","D","01","D",90,"D"
"20101",1997025,27,0,"1","150","D","02","D",90,"D"
"20101",1997025,28,0,"2","170","D","12","D",200,"D"
"20101",1997025,29,0,"2","150","D","12","D",90,"D"
"20101",1997035,17,0,"1","160","D","02","D",100,"D"
"20101",1997045,26,0,"1","130","D","12","D",50,"D"
"20101",1997045,27,0,"1","150","D","13","D",125,"D"
"20101",1997055,16,0,"1","160","D","13","D",600,"D"
"20101",1997095,23,0,"1","170","D","12","D",150,"D"
"20101",1997095,24,0,"1","150","D","13","D",40,"D"
"20101",1997095,25,0,"1","150","D","13","D",25,"D"
"20101",1997105,14,0,"1","150","D","13","D",300,"D"
"20101",1997105,15,0,"1","160","D","01","D",300,"D"
"20101",1997145,31,0,"1","160","D","13","D",100,"D"
"20101",1997145,32,0,"1","150","D","13","D",133,"D"
"20101",1997165,13,0,"1","170","D","12","D",175,"D"
"20101",1997165,14,0,"1","150","D","13","D",30,"D"
"20101",1997165,15,0,"1","150","D","12","D",25,"D"
"20101",1997225,15,0,"1","150","D","13","D",120,"D"
"20101",1997225,16,0,"2","160","D","12","D",100,"D"
"20101",1997235,22,0,"1","170","D","12","D",150,"D"
"20101",1997235,23,0,"1","160","D","02","D",20,"D"
"20101",1997245,13,0,"1","150","D","13","D",125,"D"
"20101",1997245,14,0,"1","150","D","12","D",75,"D"
"20101",1997245,15,0,"1","160","D","13","D",30,"D"
"20101",1997275,17,0,"1","170","D","12","D",500,"D"
"20101",1997285,15,0,"1","150","D","13","D",40,"D"
"20101",1997295,24,0,"1","170","D","12","D",20,"D"
"20101",1997295,25,0,"1","150","D","13","D",100,"D"
"20101",1997315,19,0,"1","170","D","12","D",494,"D"
"20101",1997315,20,0,"1","140","D","12","D",100,"D"
"20101",1997315,21,0,"1","150","D","13","D",299,"D"
"20101",1997325,18,0,"1","100","D","13","D",500,"D"
"20101",1997325,19,0,"1","170","D","13","D",72,"D"
"20101",1997325,20,0,"1","150","D","11","D",20,"D"
"20101",1997345,34,0,"1","170","D","12","D",400,"D"
"20101",1997345,35,0,"1","160","D","01","D",50,"D"
"20101",1997375,15,0,"1","170","D","12","D",500,"D"
"20101",1997385,14,0,"1","140","D","01","D",50,"D"
"20101",1997385,15,0,"1","140","D","12","D",50,"D"
"20101",1997385,16,0,"1","150","D","13","D",300,"D"
"20101",1997395,13,0,"2","160","D","12","D",25,"D"
"20101",1997445,18,0,"2","160","D","12","D",1000,"D"
"20101",1997505,35,0,"1","170","D","12","D",350,"D"
