"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20101",1995545,75,0,"1","400","D","01","D",25,"D",,"A",,"A",,"A",,"A"
"20101",1995585,59,0,"1","420","D","10","D",220,"D",,"A",,"A",,"A",,"A"
"20101",1995725,45,0,"1","420","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20101",1995745,41,0,"1","420","D","01","D",9,"D",,"A",,"A",,"A",,"A"
"20101",1995775,70,0,"1","420","D","11","D",78,"D",,"A",,"A",,"A",,"A"
"20101",1995845,56,0,"1","410","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20101",1995885,66,0,"1","420","D","01","D",125,"F",,"A",,"A",,"A",,"A"
"20101",1995965,53,0,"1","420","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20101",1996025,74,0,"1","410","D","11","D",40,"D",,"A",,"A",,"A",,"A"
"20101",1996025,75,0,"2","420","D","10","D",59,"D",,"A",,"A",,"A",,"A"
"20101",1996045,57,0,"1","420","D","12","D",65,"D",,"A",,"A",,"A",,"A"
"20101",1996135,63,0,"2","400","D","10","D",50,"D",,"A",,"A",,"A",,"A"
"20101",1996135,64,0,"2","420","D","10","D",35,"D",,"A",,"A",,"A",,"A"
"20101",1996195,64,0,"1","410","D","01","D",22,"D",,"A",,"A",,"A",,"A"
"20101",1996205,51,0,"1","420","D","12","D",109,"D",,"A",,"A",,"A",,"A"
"20101",1996265,52,0,"1","430","D","12","D",.,"H","410","D","425","D",,"A",,"A"
"20101",1996265,52,1,"1","410","D","12","D",200,"E",,"A",,"A",,"A",,"A"
"20101",1996305,82,0,"1","420","D","12","D",120,"D",,"A",,"A",,"A",,"A"
"20101",1996365,32,0,"1","400","D","12","D",17,"D",,"A",,"A",,"A",,"A"
"20101",1996515,38,0,"1","420","D","11","D",100,"D",,"A",,"A",,"A",,"A"
"20101",1996645,76,0,"1","430","D","02","D",.,"H","415","D","400","D",,"A",,"A"
"20101",1996645,76,1,"1","420","D","02","D",68,"E",,"A",,"A",,"A",,"A"
"20101",1996645,76,2,"1","400","D","02","D",33,"E",,"A",,"A",,"A",,"A"
"20101",1996645,77,0,"1","420","D","01","D",50,"D",,"A",,"A",,"A",,"A"
"20101",1996865,41,0,"1","410","D","11","D",20,"D",,"A",,"A",,"A",,"A"
