"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20101",1995565,52,0,"5","01","D","100","D",0.055,"D",320040,"T",10,"D",4829,"T",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",,"A","10","D","2006","D","2","D",,"A",246694,"T",245966,"T",251729,"T","01","D","1","D",,"A",,"A",0,"D",0,"D",0,"D","1","D","2","D"
"20101",1995775,53,0,"5","01","D","100","D",0.0588,"F",46578,"F",18,"F",350,"F",,"A",,"A",,"A",,"A",0,"F",177,"F",177,"F",178,"F",173,"F",173,"F",172,"F",,"A","06","F","2003","F","1","F",,"A",35398,"F",35221,"F",35044,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1996395,34,0,"5","01","D","100","D",0.04,"D",16899,"D",15,"D",125,"D",,"A",,"A",,"A",,"A",0,"D",75,"D",76,"D",76,"D",50,"D",49,"D",49,"D",,"A","06","D","2007","D","1","D",,"A",14887,"D",14812,"D",14736,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1996395,35,0,"5","01","D","100","D",0.0475,"F",20000,"F",15,"F",156,"F",,"A",,"A",,"A",,"A",0,"F",93,"F",93,"F",93,"F",63,"F",63,"F",63,"F",,"A","12","F","2005","F","1","F",,"A",16040,"F",15947,"F",15854,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1996645,58,0,"5","01","D","100","D",0.0859,"D",20000,"D",10,"D",267,"D",,"B",,"B",,"B",,"B",18,"D",119,"D",119,"D",120,"D",130,"D",130,"D",129,"D",,"A","08","D","2008","D","1","D",,"A",18213,"D",18094,"D",17975,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997445,42,0,"5","01","D","100","D",0.065,"F",320040,"V",7,"F",4829,"V",,"B",,"B",,"B",,"B",11,"F",2090,"V",2031,"V",2077,"V",199,"F",197,"F",195,"F",,"A","03","F","2009","F","1","F",,"A",246694,"V",245966,"V",251729,"V","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997605,77,0,"5","01","D","100","D",0.08,"F",25000,"F",10,"F",316,"F",,"B",,"B",,"B",,"B",13,"F",203,"F",204,"F",206,"F",100,"F",99,"F",97,"F",,"A","10","F","2004","F","1","F",,"A",14983,"F",14780,"F",14575,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1997795,92,0,"5","01","D","100","D",0.0859,"F",30000,"F",15,"F",400,"F",,"B",,"B",,"B",,"B",103,"F",102,"F",103,"F",103,"F",195,"F",194,"F",194,"F",,"A","04","F","2007","F","1","F",,"A",27258,"F",27157,"F",27054,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20101",1998455,88,0,"5","01","D","100","D",0.065,"F",25000,"F",5,"F",489,"F",,"A",,"A",,"A",,"A",0,"F",2090,"V",2031,"V",2077,"V",81,"F",72,"F",63,"F",,"A","07","F","2005","F","2","F",,"A",4285,"F",3820,"F",3351,"F","01","D",,"A",,"A",,"A",1700,"F",1700,"F",1700,"F","1","D","2","D"
"20101",1998455,89,0,"5","01","D","100","D",0.0588,"F",46578,"F",18,"F",350,"F",,"A",,"A",,"A",,"A",0,"F",177,"F",177,"F",178,"F",173,"F",173,"F",172,"F",,"A","06","F","2003","F","1","F",,"A",35398,"F",35221,"F",35044,"F","02","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
