"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","NUMNONCU","NUMN_NCU","TRNONCUX","TRNO_CUX","TRNONCUY","TRNO_CUY"
"20101",1995885,59,0,"1",1,"D",.,"H",,"A"
"20101",1995885,59,1,"1",.,"A",44,"E","100","D"
"20101",1995885,59,2,"1",.,"A",16,"E","110","D"
"20101",1996195,54,0,"1",1,"D",.,"H",,"A"
"20101",1996195,54,1,"1",.,"A",17,"E","120","D"
"20101",1996195,54,2,"1",.,"A",2,"E","140","D"
"20101",1996195,54,3,"1",.,"A",84,"E","150","D"
"20101",1996195,54,4,"1",.,"A",20,"E","160","D"
"20101",1996195,54,5,"1",.,"A",9,"E","170","D"
"20101",1996195,54,6,"1",.,"A",7,"E","180","D"
"20101",1996195,54,7,"1",.,"A",11,"E","190","D"
"20101",1996225,52,0,"1",1,"D",.,"H",,"A"
"20101",1996225,52,1,"1",.,"A",33,"E","120","D"
"20101",1996225,52,2,"1",.,"A",5,"E","140","D"
"20101",1996225,52,3,"1",.,"A",251,"E","150","D"
"20101",1996225,52,4,"1",.,"A",40,"E","160","D"
"20101",1996225,52,5,"1",.,"A",19,"E","170","D"
"20101",1996225,52,6,"1",.,"A",218,"E","180","D"
"20101",1996225,52,7,"1",.,"A",34,"E","190","D"
"20101",1997145,88,0,"1",2,"D",.,"H",,"A"
"20101",1997145,88,1,"1",.,"A",55,"E","120","D"
"20101",1997145,88,2,"1",.,"A",10,"E","140","D"
"20101",1997145,88,3,"1",.,"A",454,"E","150","D"
"20101",1997145,88,4,"1",.,"A",73,"E","160","D"
"20101",1997145,88,5,"1",.,"A",34,"E","170","D"
"20101",1997145,88,6,"1",.,"A",394,"E","180","D"
"20101",1997145,88,7,"1",.,"A",62,"E","190","D"
"20101",1997325,85,0,"1",1,"D",.,"H",,"A"
"20101",1997325,85,1,"1",.,"A",12,"E","120","D"
"20101",1997325,85,2,"1",.,"A",2,"E","140","D"
"20101",1997325,85,3,"1",.,"A",111,"E","150","D"
"20101",1997325,85,4,"1",.,"A",17,"E","160","D"
"20101",1997325,85,5,"1",.,"A",8,"E","170","D"
"20101",1997325,85,6,"1",.,"A",93,"E","180","D"
"20101",1997325,85,7,"1",.,"A",14,"E","190","D"
"20101",1997795,106,0,"1",1,"D",.,"H",,"A"
"20101",1997795,106,1,"1",.,"A",23,"E","120","D"
"20101",1997795,106,2,"1",.,"A",3,"E","140","D"
"20101",1997795,106,3,"1",.,"A",167,"E","150","D"
"20101",1997795,106,4,"1",.,"A",27,"E","160","D"
"20101",1997795,106,5,"1",.,"A",12,"E","170","D"
"20101",1997795,106,6,"1",.,"A",145,"E","180","D"
"20101",1997795,106,7,"1",.,"A",23,"E","190","D"
"20101",2003975,96,0,"1",1,"D",.,"H",,"A"
"20101",2003975,96,1,"1",.,"A",280,"E","130","D"
"20101",2005215,56,0,"1",1,"D",.,"H",,"A"
"20101",2005215,56,1,"1",.,"A",21,"E","120","D"
"20101",2005215,56,2,"1",.,"A",4,"E","140","D"
"20101",2005215,56,3,"1",.,"A",192,"E","150","D"
"20101",2005215,56,4,"1",.,"A",30,"E","160","D"
"20101",2005215,56,5,"1",.,"A",14,"E","170","D"
"20101",2005215,56,6,"1",.,"A",164,"E","180","D"
"20101",2005215,56,7,"1",.,"A",25,"E","190","D"
"20101",2005405,79,0,"1",1,"D",.,"H",,"A"
"20101",2005405,79,1,"1",.,"A",33,"E","100","D"
"20101",2005405,79,2,"1",.,"A",8,"E","110","D"
"20101",2005405,79,3,"1",.,"A",13,"E","120","D"
"20101",2005405,79,4,"1",.,"A",2,"E","140","D"
"20101",2005405,79,5,"1",.,"A",118,"E","150","D"
"20101",2005405,79,6,"1",.,"A",19,"E","160","D"
"20101",2005405,79,7,"1",.,"A",9,"E","170","D"
"20101",2005405,79,8,"1",.,"A",102,"E","180","D"
"20101",2005405,79,9,"1",.,"A",16,"E","190","D"
"20101",2005965,67,0,"1",2,"D",.,"H",,"A"
"20101",2005965,67,1,"1",.,"A",112,"E","100","D"
"20101",2005965,67,2,"1",.,"A",33,"E","110","D"
"20101",2005965,67,3,"1",.,"A",52,"E","120","D"
"20101",2005965,67,4,"1",.,"A",220,"E","130","D"
"20101",2005965,67,5,"1",.,"A",10,"E","140","D"
"20101",2005965,67,6,"1",.,"A",459,"E","150","D"
"20101",2005965,67,7,"1",.,"A",73,"E","160","D"
"20101",2005965,67,8,"1",.,"A",34,"E","170","D"
"20101",2005965,67,9,"1",.,"A",395,"E","180","D"
"20101",2005965,67,10,"1",.,"A",62,"E","190","D"
"20101",2005965,67,11,"1",.,"A",69,"E","200","D"
"20101",2005965,67,12,"1",.,"A",83,"E","210","D"
"20101",2005965,67,13,"1",.,"A",98,"E","220","D"
"20101",2006965,75,0,"1",1,"D",.,"H",,"A"
"20101",2006965,75,1,"1",.,"A",52,"E","120","D"
"20101",2006965,75,2,"1",.,"A",9,"E","140","D"
"20101",2006965,75,3,"1",.,"A",419,"E","150","D"
"20101",2006965,75,4,"1",.,"A",67,"E","160","D"
"20101",2006965,75,5,"1",.,"A",32,"E","170","D"
"20101",2006965,75,6,"1",.,"A",364,"E","180","D"
"20101",2006965,75,7,"1",.,"A",57,"E","190","D"
"20101",2008615,40,0,"1",1,"D",.,"H",,"A"
"20101",2008615,40,1,"1",.,"A",10,"E","100","D"
"20101",2008615,40,2,"1",.,"A",4,"E","110","D"
"20101",2008615,40,3,"1",.,"A",13,"E","120","D"
"20101",2008615,40,4,"1",.,"A",23,"E","130","D"
"20101",2008615,40,5,"1",.,"A",42,"E","150","D"
"20101",2008615,40,6,"1",.,"A",8,"E","160","D"
"20101",2008615,40,7,"1",.,"A",4,"E","170","D"
"20101",2008615,40,8,"1",.,"A",65,"E","180","D"
"20101",2008615,40,9,"1",.,"A",4,"E","190","D"
"20101",2008615,40,10,"1",.,"A",7,"E","200","D"
"20101",2008615,40,11,"1",.,"A",9,"E","210","D"
"20101",2008615,40,12,"1",.,"A",11,"E","220","D"
"20101",2008825,42,0,"1",1,"D",.,"H",,"A"
"20101",2008825,42,1,"1",.,"A",144,"E","100","D"
"20101",2008825,42,2,"1",.,"A",56,"E","110","D"
"20101",2011795,50,0,"1",1,"D",.,"H",,"A"
"20101",2011795,50,1,"1",.,"A",37,"E","120","D"
"20101",2011795,50,2,"1",.,"A",6,"E","140","D"
"20101",2011795,50,3,"1",.,"A",264,"E","150","D"
"20101",2011795,50,4,"1",.,"A",20,"E","160","D"
"20101",2011795,50,5,"1",.,"A",17,"E","170","D"
"20101",2011795,50,6,"1",.,"A",421,"E","180","D"
"20101",2011795,50,7,"1",.,"A",35,"E","190","D"
"20101",2017105,54,0,"1",1,"D",.,"H",,"A"
"20101",2017105,54,1,"1",.,"A",95,"E","120","D"
"20101",2017105,54,2,"1",.,"A",399,"E","130","D"
"20101",2017105,54,3,"1",.,"A",22,"E","140","D"
"20101",2017105,54,4,"1",.,"A",824,"E","150","D"
"20101",2017105,54,5,"1",.,"A",132,"E","160","D"
"20101",2017105,54,6,"1",.,"A",63,"E","170","D"
"20101",2017105,54,7,"1",.,"A",716,"E","180","D"
"20101",2017105,54,8,"1",.,"A",113,"E","190","D"
"20101",2019734,68,0,"1",1,"D",.,"H",,"A"
"20101",2019734,68,1,"1",.,"A",66,"E","100","D"
"20101",2019734,68,2,"1",.,"A",18,"E","110","D"
"20101",2019734,68,3,"1",.,"A",28,"E","120","D"
"20101",2019734,68,4,"1",.,"A",121,"E","130","D"
"20101",2019734,68,5,"1",.,"A",5,"E","140","D"
"20101",2019734,68,6,"1",.,"A",251,"E","150","D"
"20101",2019734,68,7,"1",.,"A",40,"E","160","D"
"20101",2019734,68,8,"1",.,"A",19,"E","170","D"
"20101",2019734,68,9,"1",.,"A",218,"E","180","D"
"20101",2019734,68,10,"1",.,"A",34,"E","190","D"
"20101",2025774,120,0,"1",1,"D",.,"H",,"A"
"20101",2025774,120,1,"1",.,"A",58,"E","100","D"
"20101",2025774,120,2,"1",.,"A",20,"E","110","D"
"20101",2025774,120,3,"1",.,"A",33,"E","120","D"
"20101",2025774,120,4,"1",.,"A",137,"E","130","D"
"20101",2025774,120,5,"1",.,"A",13,"E","140","D"
"20101",2025774,120,6,"1",.,"A",231,"E","150","D"
"20101",2025774,120,7,"1",.,"A",17,"E","160","D"
"20101",2025774,120,8,"1",.,"A",15,"E","170","D"
"20101",2025774,120,9,"1",.,"A",374,"E","180","D"
"20101",2025774,120,10,"1",.,"A",31,"E","190","D"
"20101",2025774,120,11,"1",.,"A",62,"E","200","D"
"20101",2025774,120,12,"1",.,"A",54,"E","210","D"
"20101",2025774,120,13,"1",.,"A",55,"E","220","D"
"20101",2026744,81,0,"1",1,"D",.,"H",,"A"
"20101",2026744,81,1,"1",.,"A",9,"E","120","D"
"20101",2026744,81,2,"1",.,"A",1,"E","140","D"
"20101",2026744,81,3,"1",.,"A",83,"E","150","D"
"20101",2026744,81,4,"1",.,"A",13,"E","160","D"
"20101",2026744,81,5,"1",.,"A",6,"E","170","D"
"20101",2026744,81,6,"1",.,"A",72,"E","180","D"
"20101",2026744,81,7,"1",.,"A",16,"E","190","D"
"20101",2026794,59,0,"1",1,"D",.,"H",,"A"
"20101",2026794,59,1,"1",.,"A",73,"E","100","D"
"20101",2026794,59,2,"1",.,"A",19,"E","110","D"
"20101",2026794,59,3,"1",.,"A",108,"E","130","D"
"20101",2027634,50,0,"1",2,"D",.,"H",,"A"
"20101",2027634,50,1,"1",.,"A",22,"E","120","D"
"20101",2027634,50,2,"1",.,"A",3,"E","140","D"
"20101",2027634,50,3,"1",.,"A",149,"E","150","D"
"20101",2027634,50,4,"1",.,"A",31,"E","160","D"
"20101",2027634,50,5,"1",.,"A",10,"E","170","D"
"20101",2027634,50,6,"1",.,"A",164,"E","180","D"
"20101",2027634,50,7,"1",.,"A",21,"E","190","D"
"20101",2032534,78,0,"1",1,"D",.,"H",,"A"
"20101",2032534,78,1,"1",.,"A",35,"E","120","D"
"20101",2032534,78,2,"1",.,"A",111,"E","130","D"
"20101",2032534,78,3,"1",.,"A",4,"E","140","D"
"20101",2032534,78,4,"1",.,"A",237,"E","150","D"
"20101",2032534,78,5,"1",.,"A",42,"E","160","D"
"20101",2032534,78,6,"1",.,"A",16,"E","170","D"
"20101",2032534,78,7,"1",.,"A",1029,"E","180","D"
