"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20101",1995725,35,0,"5","01","D","100","D","2","D",0.0475,"D",950,"F",-485,"F","01","D",80000,"F"
"20101",1996005,49,0,"5","01","D","100","D","1","D",0.0475,"D",3325,"F",-2956,"V","01","D",280000,"F"
"20101",1996085,31,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20101",1996135,48,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",29000,"D"
"20101",1996225,45,0,"5","01","D","100","D","1","D",0.0475,"D",2138,"F",412,"F","01","D",180000,"F"
"20101",1996305,50,0,"5","01","D","100","D","1","D",0.0475,"D",653,"D",2747,"D","01","D",55000,"D"
"20101",1996715,71,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",622,"D","01","D",36000,"D"
"20101",1996815,36,0,"5","01","D","100","D","1","D",0.0475,"D",641,"D",167,"D","01","D",54000,"D"
"20101",1997035,37,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",-139,"D","01","D",40000,"D"
"20101",1997145,72,0,"5","01","D","100","D","1","D",0.0475,"D",322,"D",221,"D","01","D",27091,"D"
"20101",1997245,38,0,"5","01","D","100","D","1","D",0.0475,"D",2838,"D",1188,"D","01","D",239000,"D"
"20101",1997325,62,0,"5","01","D","100","D","1","D",0.0475,"D",570,"D",330,"D","01","D",48000,"D"
"20101",1997605,79,0,"5","01","D","100","D","1","D",0.0475,"D",1449,"D",687,"D","01","D",122054,"D"
"20101",1997705,52,0,"5","01","D","100","D","1","D",0.0475,"D",734,"D",-134,"D","01","D",61843,"D"
"20101",1997755,78,0,"5","01","D","100","D","1","D",0.0475,"D",297,"D",753,"D","01","D",25000,"D"
"20101",1997875,122,0,"5","01","D","100","D","1","D",0.0475,"D",606,"D",-36,"D","01","D",51000,"D"
"20101",1998015,35,0,"5","01","D","100","D","1","D",0.0475,"D",475,"D",1490,"D","01","D",40000,"D"
"20101",1998075,84,0,"5","01","D","100","D","1","D",0.0475,"D",1188,"D",1812,"D","01","D",100000,"D"
"20101",1998105,34,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20101",1998205,53,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20101",1998485,50,0,"5","01","D","100","D","1","D",0.0475,"D",107,"F",793,"F","01","D",9000,"F"
